,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,3,PEO1 TX,0.0,1,A01,750,941.8059312323173,13815.679616002772,214,330.150634765625,123.86880493164062,97658.6953125,79476.7109375,20898961.008064184,0.15567171573638916,0.04380965977907181,33.31374857989032,16231.7822265625,15868.76953125,3473601.326654841,27844998,38549580.0,5958829679.392263,1128.1263427734375,560.26953125,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,1.0023419203747075
1,3,PEO1 TX,0.015625,2,A02,750,914.3761663638393,11781.172429160868,152,316.3764953613281,126.73452758789062,91228.5,87495.25,13866732.367275957,0.13262321054935455,0.03370599076151848,20.158727145104304,13474.025390625,17083.9453125,2048051.805490309,26213754,51475736.0,3984490681.2206497,1260.2254638671875,681.4432983398438,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,0.7119437939110072
2,3,PEO1 TX,0.03125,3,A03,750,918.9196434264134,8925.272181880116,114,304.7944030761719,133.1048583984375,86878.0234375,95190.1015625,9904094.965192618,0.10603955388069153,0.029387585818767548,12.088508746748952,10215.9013671875,14727.390625,1164612.7127074024,25710370,54212356.0,2930982243.8755302,1539.009521484375,849.8863525390625,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,0.5339578454332553
3,3,PEO1 TX,0.0625,4,B01,750,905.3229927372973,13415.448543913148,138,304.2655029296875,111.45585632324219,82466.7265625,65306.28125,11380408.510238528,0.14932262897491455,0.033765893429517746,20.606523194906142,13006.6982421875,12388.1611328125,1794924.3186007882,21420428,28775240.0,2956018965.541158,1310.3004150390625,668.2279663085938,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,0.6463700234192038
4,3,PEO1 TX,0.125,5,B02,750,914.3761663638393,11903.082823005143,145,308.9313049316406,134.08607482910156,89078.0,93280.65625,12916310.313750034,0.12966811656951904,0.029192913323640823,18.801875866005815,12440.7275390625,15502.6884765625,1803905.4896486579,26306532,51776912.0,3814447236.7626467,1365.80517578125,705.717529296875,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,0.6791569086651055
5,3,PEO1 TX,0.25,6,B03,750,914.3761663638393,9115.446735285319,111,305.62469482421875,107.6503677368164,82462.9140625,57360.99609375,9153383.820757369,0.10937728732824326,0.032112617045640945,12.140879168587597,9505.16015625,8454.2021484375,1055072.8276318423,20855452,21466828.0,2314955071.1986327,1470.490478515625,692.5206909179688,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate3\Plate3.ics,Niraparib,PEO1,TX,0.2846666666666666,0.5199063231850117
6,4,PEO1 TX,0.5,1,A01,750,905.3229927372973,10555.116007773138,31,271.2334899902344,85.39007568359375,63506.5703125,38285.1640625,1968703.6764456192,0.12141836434602737,0.027570389211177826,3.763969306959633,8296.0859375,6975.90185546875,257178.6681555897,13627660,11938493.0,422457456.07169175,2536.010986328125,1425.5765380859375,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate4\Plate4.ics,Niraparib,PEO1,TX,0.2846666666666666,0.14519906323185014
7,4,PEO1 TX,1.0,2,A02,750,914.3761663638393,12549.095223066592,15,285.1299743652344,132.99810791015625,77744.671875,84593.109375,1166170.1200581016,0.12964703142642975,0.02303621731698513,1.9447054099098247,10761.01953125,13200.630859375,161415.2937485597,22165208,38475024.0,332478109.8317283,4496.2080078125,2845.704833984375,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate4\Plate4.ics,Niraparib,PEO1,TX,0.2846666666666666,0.07025761124121781
8,4,PEO1 TX,2.0,3,A03,750,896.3148597755636,12989.54183770648,19,290.95684814453125,139.1751708984375,81701.53125,82287.6328125,1552329.148470252,0.13013997673988342,0.01942656934261322,2.4726596492276354,11944.390625,15728.29296875,226943.4146890479,23196158,37510676.0,440727004.54327583,3059.58251953125,3172.072509765625,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate4\Plate4.ics,Niraparib,PEO1,TX,0.2846666666666666,0.0889929742388759
9,4,PEO1 TX,4.0,4,B01,750,905.3229927372973,10789.829199024256,8,401.6223449707031,153.4196319580078,145171.5,103840.9140625,1161372.0480577138,0.12566925585269928,0.027728382498025894,1.0053540414103417,17953.837890625,15357.26171875,143630.69640398445,49366152,49021016.0,394929215.31656176,5461.9619140625,3990.83154296875,2020-07-02,18:53:06,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate4\Plate4.ics,Niraparib,PEO1,TX,0.2846666666666666,0.037470725995316166
