Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
30.586, 0.000 to 61.171, 0
91.757, 61.171 to 122.343, 0
152.928, 122.343 to 183.514, 0
214.100, 183.514 to 244.685, 0
275.271, 244.685 to 305.857, 0
336.442, 305.857 to 367.028, 0
397.613, 367.028 to 428.199, 2
458.785, 428.199 to 489.370, 4
519.956, 489.370 to 550.542, 16
581.127, 550.542 to 611.713, 6
642.299, 611.713 to 672.884, 15
703.470, 672.884 to 734.056, 11
764.641, 734.056 to 795.227, 9
825.813, 795.227 to 856.398, 25
886.984, 856.398 to 917.570, 19
948.155, 917.570 to 978.741, 9
1009.326, 978.741 to 1039.912, 22
1070.498, 1039.912 to 1101.083, 9
1131.669, 1101.083 to 1162.255, 10
1192.840, 1162.255 to 1223.426, 11
1254.012, 1223.426 to 1284.597, 0
1315.183, 1284.597 to 1345.769, 9
1376.354, 1345.769 to 1406.940, 12
1437.526, 1406.940 to 1468.111, 3
1498.697, 1468.111 to 1529.283, 4
1559.868, 1529.283 to 1590.454, 5
1621.039, 1590.454 to 1651.625, 6
1682.211, 1651.625 to 1712.796, 1
1743.382, 1712.796 to 1773.968, 2
1804.553, 1773.968 to 1835.139, 3
1865.725, 1835.139 to 1896.310, 2
1926.896, 1896.310 to 1957.482, 1
1988.067, 1957.482 to 2018.653, 3
2049.239, 2018.653 to 2079.824, 3
2110.410, 2079.824 to 2140.996, 1
2171.581, 2140.996 to 2202.167, 3
2232.752, 2202.167 to 2263.338, 0
2293.924, 2263.338 to 2324.509, 0
2355.095, 2324.509 to 2385.681, 1
2416.266, 2385.681 to 2446.852, 1
2477.438, 2446.852 to 2508.023, 1
2538.609, 2508.023 to 2569.195, 0
2599.780, 2569.195 to 2630.366, 0
2660.952, 2630.366 to 2691.537, 1
2722.123, 2691.537 to 2752.709, 0
2783.294, 2752.709 to 2813.880, 0
2844.465, 2813.880 to 2875.051, 0
2905.637, 2875.051 to 2936.222, 0
2966.808, 2936.222 to 2997.394, 0
3027.979, 2997.394 to 3058.565, 1


Plate, 1
Well, 2
Count, 201
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.118, 0.000 to 66.235, 0
99.353, 66.235 to 132.470, 0
165.588, 132.470 to 198.705, 0
231.823, 198.705 to 264.940, 2
298.058, 264.940 to 331.175, 0
364.293, 331.175 to 397.411, 2
430.528, 397.411 to 463.646, 6
496.763, 463.646 to 529.881, 4
562.998, 529.881 to 596.116, 8
629.233, 596.116 to 662.351, 14
695.469, 662.351 to 728.586, 18
761.704, 728.586 to 794.821, 7
827.939, 794.821 to 861.056, 12
894.174, 861.056 to 927.291, 7
960.409, 927.291 to 993.526, 16
1026.644, 993.526 to 1059.762, 11
1092.879, 1059.762 to 1125.997, 12
1159.114, 1125.997 to 1192.232, 12
1225.349, 1192.232 to 1258.467, 3
1291.584, 1258.467 to 1324.702, 6
1357.819, 1324.702 to 1390.937, 8
1424.055, 1390.937 to 1457.172, 7
1490.290, 1457.172 to 1523.407, 1
1556.525, 1523.407 to 1589.642, 2
1622.760, 1589.642 to 1655.877, 9
1688.995, 1655.877 to 1722.113, 2
1755.230, 1722.113 to 1788.348, 3
1821.465, 1788.348 to 1854.583, 1
1887.700, 1854.583 to 1920.818, 3
1953.935, 1920.818 to 1987.053, 5
2020.170, 1987.053 to 2053.288, 1
2086.406, 2053.288 to 2119.523, 2
2152.641, 2119.523 to 2185.758, 1
2218.876, 2185.758 to 2251.993, 4
2285.111, 2251.993 to 2318.228, 1
2351.346, 2318.228 to 2384.463, 3
2417.581, 2384.463 to 2450.699, 0
2483.816, 2450.699 to 2516.934, 4
2550.051, 2516.934 to 2583.169, 0
2616.286, 2583.169 to 2649.404, 0
2682.521, 2649.404 to 2715.639, 0
2748.757, 2715.639 to 2781.874, 1
2814.992, 2781.874 to 2848.109, 0
2881.227, 2848.109 to 2914.344, 0
2947.462, 2914.344 to 2980.579, 0
3013.697, 2980.579 to 3046.814, 0
3079.932, 3046.814 to 3113.050, 0
3146.167, 3113.050 to 3179.285, 2
3212.402, 3179.285 to 3245.520, 0
3278.637, 3245.520 to 3311.755, 1


Plate, 1
Well, 3
Count, 132
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
48.623, 0.000 to 97.245, 0
145.868, 97.245 to 194.490, 0
243.113, 194.490 to 291.735, 4
340.358, 291.735 to 388.980, 0
437.603, 388.980 to 486.226, 4
534.848, 486.226 to 583.471, 8
632.093, 583.471 to 680.716, 15
729.338, 680.716 to 777.961, 9
826.583, 777.961 to 875.206, 7
923.829, 875.206 to 972.451, 8
1021.074, 972.451 to 1069.696, 4
1118.319, 1069.696 to 1166.941, 4
1215.564, 1166.941 to 1264.186, 9
1312.809, 1264.186 to 1361.432, 5
1410.054, 1361.432 to 1458.677, 6
1507.299, 1458.677 to 1555.922, 6
1604.544, 1555.922 to 1653.167, 7
1701.789, 1653.167 to 1750.412, 6
1799.035, 1750.412 to 1847.657, 2
1896.280, 1847.657 to 1944.902, 4
1993.525, 1944.902 to 2042.147, 2
2090.770, 2042.147 to 2139.392, 2
2188.015, 2139.392 to 2236.638, 1
2285.260, 2236.638 to 2333.883, 1
2382.505, 2333.883 to 2431.128, 1
2479.750, 2431.128 to 2528.373, 2
2576.995, 2528.373 to 2625.618, 2
2674.241, 2625.618 to 2722.863, 2
2771.486, 2722.863 to 2820.108, 1
2868.731, 2820.108 to 2917.353, 2
2965.976, 2917.353 to 3014.598, 0
3063.221, 3014.598 to 3111.844, 1
3160.466, 3111.844 to 3209.089, 1
3257.711, 3209.089 to 3306.334, 3
3354.956, 3306.334 to 3403.579, 0
3452.201, 3403.579 to 3500.824, 1
3549.447, 3500.824 to 3598.069, 1
3646.692, 3598.069 to 3695.314, 0
3743.937, 3695.314 to 3792.559, 0
3841.182, 3792.559 to 3889.805, 0
3938.427, 3889.805 to 3987.050, 0
4035.672, 3987.050 to 4084.295, 0
4132.917, 4084.295 to 4181.540, 0
4230.162, 4181.540 to 4278.785, 0
4327.408, 4278.785 to 4376.030, 0
4424.653, 4376.030 to 4473.275, 0
4521.898, 4473.275 to 4570.520, 0
4619.143, 4570.520 to 4667.765, 0
4716.388, 4667.765 to 4765.011, 0
4813.633, 4765.011 to 4862.256, 1


Plate, 1
Well, 4
Count, 143
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.204, 0.000 to 66.408, 0
99.612, 66.408 to 132.816, 0
166.020, 132.816 to 199.224, 0
232.428, 199.224 to 265.632, 0
298.836, 265.632 to 332.040, 0
365.244, 332.040 to 398.448, 2
431.652, 398.448 to 464.856, 4
498.060, 464.856 to 531.264, 8
564.468, 531.264 to 597.672, 4
630.876, 597.672 to 664.080, 7
697.284, 664.080 to 730.488, 6
763.692, 730.488 to 796.896, 5
830.100, 796.896 to 863.304, 7
896.508, 863.304 to 929.712, 4
962.916, 929.712 to 996.121, 11
1029.325, 996.121 to 1062.529, 13
1095.733, 1062.529 to 1128.937, 10
1162.141, 1128.937 to 1195.345, 4
1228.549, 1195.345 to 1261.753, 5
1294.957, 1261.753 to 1328.161, 11
1361.365, 1328.161 to 1394.569, 7
1427.773, 1394.569 to 1460.977, 3
1494.181, 1460.977 to 1527.385, 1
1560.589, 1527.385 to 1593.793, 3
1626.997, 1593.793 to 1660.201, 2
1693.405, 1660.201 to 1726.609, 0
1759.813, 1726.609 to 1793.017, 3
1826.221, 1793.017 to 1859.425, 5
1892.629, 1859.425 to 1925.833, 1
1959.037, 1925.833 to 1992.241, 2
2025.445, 1992.241 to 2058.649, 2
2091.853, 2058.649 to 2125.057, 0
2158.261, 2125.057 to 2191.465, 0
2224.669, 2191.465 to 2257.873, 1
2291.077, 2257.873 to 2324.281, 0
2357.485, 2324.281 to 2390.689, 1
2423.893, 2390.689 to 2457.097, 1
2490.301, 2457.097 to 2523.505, 3
2556.709, 2523.505 to 2589.913, 1
2623.117, 2589.913 to 2656.321, 0
2689.525, 2656.321 to 2722.729, 1
2755.933, 2722.729 to 2789.137, 1
2822.341, 2789.137 to 2855.545, 1
2888.749, 2855.545 to 2921.954, 0
2955.158, 2921.954 to 2988.362, 0
3021.566, 2988.362 to 3054.770, 1
3087.974, 3054.770 to 3121.178, 0
3154.382, 3121.178 to 3187.586, 1
3220.790, 3187.586 to 3253.994, 0
3287.198, 3253.994 to 3320.402, 1


Plate, 1
Well, 5
Count, 150
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
43.535, 0.000 to 87.071, 0
130.606, 87.071 to 174.142, 0
217.677, 174.142 to 261.213, 0
304.748, 261.213 to 348.284, 0
391.819, 348.284 to 435.355, 4
478.890, 435.355 to 522.426, 10
565.961, 522.426 to 609.497, 10
653.032, 609.497 to 696.567, 15
740.103, 696.567 to 783.638, 6
827.174, 783.638 to 870.709, 4
914.245, 870.709 to 957.780, 10
1001.316, 957.780 to 1044.851, 10
1088.387, 1044.851 to 1131.922, 5
1175.458, 1131.922 to 1218.993, 7
1262.528, 1218.993 to 1306.064, 14
1349.599, 1306.064 to 1393.135, 7
1436.670, 1393.135 to 1480.206, 14
1523.741, 1480.206 to 1567.277, 4
1610.812, 1567.277 to 1654.348, 6
1697.883, 1654.348 to 1741.419, 2
1784.954, 1741.419 to 1828.490, 1
