Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2195.776, 0.000 to 4391.553, 1
6587.329, 4391.553 to 8783.105, 9
10978.881, 8783.105 to 13174.658, 28
15370.434, 13174.658 to 17566.210, 35
19761.987, 17566.210 to 21957.763, 37
24153.539, 21957.763 to 26349.316, 27
28545.092, 26349.316 to 30740.868, 16
32936.644, 30740.868 to 35132.421, 16
37328.197, 35132.421 to 39523.973, 16
41719.750, 39523.973 to 43915.526, 6
46111.302, 43915.526 to 48307.078, 7
50502.855, 48307.078 to 52698.631, 2
54894.407, 52698.631 to 57090.184, 1
59285.960, 57090.184 to 61481.736, 5
63677.513, 61481.736 to 65873.289, 3
68069.065, 65873.289 to 70264.841, 3
72460.618, 70264.841 to 74656.394, 3
76852.170, 74656.394 to 79047.947, 1
81243.723, 79047.947 to 83439.499, 1
85635.275, 83439.499 to 87831.052, 0
90026.828, 87831.052 to 92222.604, 1
94418.381, 92222.604 to 96614.157, 1
98809.933, 96614.157 to 101005.710, 0
103201.486, 101005.710 to 105397.262, 2
107593.038, 105397.262 to 109788.815, 1
111984.591, 109788.815 to 114180.367, 0
116376.144, 114180.367 to 118571.920, 1
120767.696, 118571.920 to 122963.472, 3
125159.249, 122963.472 to 127355.025, 1
129550.801, 127355.025 to 131746.578, 2
133942.354, 131746.578 to 136138.130, 0
138333.906, 136138.130 to 140529.683, 0
142725.459, 140529.683 to 144921.235, 0
147117.012, 144921.235 to 149312.788, 0
151508.564, 149312.788 to 153704.341, 0
155900.117, 153704.341 to 158095.893, 0
160291.669, 158095.893 to 162487.446, 0
164683.222, 162487.446 to 166878.998, 0
169074.775, 166878.998 to 171270.551, 0
173466.327, 171270.551 to 175662.103, 1
177857.880, 175662.103 to 180053.656, 0
182249.432, 180053.656 to 184445.209, 0
186640.985, 184445.209 to 188836.761, 0
191032.538, 188836.761 to 193228.314, 0
195424.090, 193228.314 to 197619.866, 0
199815.643, 197619.866 to 202011.419, 0
204207.195, 202011.419 to 206402.972, 0
208598.748, 206402.972 to 210794.524, 0
212990.300, 210794.524 to 215186.077, 0
217381.853, 215186.077 to 219577.629, 1


Plate, 1
Well, 2
Count, 201
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2518.208, 0.000 to 5036.416, 7
7554.624, 5036.416 to 10072.831, 31
12591.039, 10072.831 to 15109.247, 41
17627.455, 15109.247 to 20145.663, 33
22663.871, 20145.663 to 25182.078, 13
27700.286, 25182.078 to 30218.494, 19
32736.702, 30218.494 to 35254.910, 11
37773.118, 35254.910 to 40291.325, 8
42809.533, 40291.325 to 45327.741, 5
47845.949, 45327.741 to 50364.157, 7
52882.365, 50364.157 to 55400.572, 7
57918.780, 55400.572 to 60436.988, 4
62955.196, 60436.988 to 65473.404, 1
67991.612, 65473.404 to 70509.819, 1
73028.027, 70509.819 to 75546.235, 1
78064.443, 75546.235 to 80582.651, 3
83100.859, 80582.651 to 85619.066, 1
88137.274, 85619.066 to 90655.482, 1
93173.690, 90655.482 to 95691.898, 1
98210.106, 95691.898 to 100728.313, 1
103246.521, 100728.313 to 105764.729, 0
108282.937, 105764.729 to 110801.145, 0
113319.353, 110801.145 to 115837.560, 0
118355.768, 115837.560 to 120873.976, 0
123392.184, 120873.976 to 125910.392, 2
128428.600, 125910.392 to 130946.807, 1
133465.015, 130946.807 to 135983.223, 0
138501.431, 135983.223 to 141019.639, 0
143537.847, 141019.639 to 146056.054, 0
148574.262, 146056.054 to 151092.470, 0
153610.678, 151092.470 to 156128.886, 0
158647.094, 156128.886 to 161165.301, 0
163683.509, 161165.301 to 166201.717, 0
168719.925, 166201.717 to 171238.133, 0
173756.341, 171238.133 to 176274.548, 0
178792.756, 176274.548 to 181310.964, 0
183829.172, 181310.964 to 186347.380, 0
188865.588, 186347.380 to 191383.795, 0
193902.003, 191383.795 to 196420.211, 0
198938.419, 196420.211 to 201456.627, 1
203974.835, 201456.627 to 206493.042, 0
209011.250, 206493.042 to 211529.458, 0
214047.666, 211529.458 to 216565.874, 0
219084.082, 216565.874 to 221602.289, 0
224120.497, 221602.289 to 226638.705, 0
229156.913, 226638.705 to 231675.121, 0
234193.329, 231675.121 to 236711.536, 0
239229.744, 236711.536 to 241747.952, 0
244266.160, 241747.952 to 246784.368, 0
249302.576, 246784.368 to 251820.783, 1


Plate, 1
Well, 3
Count, 132
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1335.107, 0.000 to 2670.213, 0
4005.320, 2670.213 to 5340.426, 6
6675.533, 5340.426 to 8010.640, 25
9345.746, 8010.640 to 10680.853, 28
12015.959, 10680.853 to 13351.066, 16
14686.173, 13351.066 to 16021.279, 16
17356.386, 16021.279 to 18691.492, 6
20026.599, 18691.492 to 21361.706, 4
22696.812, 21361.706 to 24031.919, 4
25367.025, 24031.919 to 26702.132, 2
28037.239, 26702.132 to 29372.345, 1
30707.452, 29372.345 to 32042.558, 2
33377.665, 32042.558 to 34712.772, 3
36047.878, 34712.772 to 37382.985, 2
38718.092, 37382.985 to 40053.198, 0
41388.305, 40053.198 to 42723.411, 3
44058.518, 42723.411 to 45393.625, 1
46728.731, 45393.625 to 48063.838, 2
49398.944, 48063.838 to 50734.051, 2
52069.158, 50734.051 to 53404.264, 0
54739.371, 53404.264 to 56074.477, 0
57409.584, 56074.477 to 58744.691, 5
60079.797, 58744.691 to 61414.904, 0
62750.010, 61414.904 to 64085.117, 1
65420.224, 64085.117 to 66755.330, 1
68090.437, 66755.330 to 69425.543, 0
70760.650, 69425.543 to 72095.757, 0
73430.863, 72095.757 to 74765.970, 0
76101.076, 74765.970 to 77436.183, 0
78771.290, 77436.183 to 80106.396, 0
81441.503, 80106.396 to 82776.609, 0
84111.716, 82776.609 to 85446.823, 0
86781.929, 85446.823 to 88117.036, 1
89452.142, 88117.036 to 90787.249, 0
92122.356, 90787.249 to 93457.462, 0
94792.569, 93457.462 to 96127.675, 0
97462.782, 96127.675 to 98797.889, 0
100132.995, 98797.889 to 101468.102, 0
102803.208, 101468.102 to 104138.315, 0
105473.422, 104138.315 to 106808.528, 0
108143.635, 106808.528 to 109478.742, 0
110813.848, 109478.742 to 112148.955, 0
113484.061, 112148.955 to 114819.168, 0
116154.275, 114819.168 to 117489.381, 0
118824.488, 117489.381 to 120159.594, 0
121494.701, 120159.594 to 122829.808, 0
124164.914, 122829.808 to 125500.021, 0
126835.127, 125500.021 to 128170.234, 0
129505.341, 128170.234 to 130840.447, 0
132175.554, 130840.447 to 133510.660, 1


Plate, 1
Well, 4
Count, 143
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1558.450, 0.000 to 3116.900, 1
4675.349, 3116.900 to 6233.799, 5
7792.249, 6233.799 to 9350.699, 11
10909.148, 9350.699 to 12467.598, 27
14026.048, 12467.598 to 15584.498, 25
17142.947, 15584.498 to 18701.397, 20
20259.847, 18701.397 to 21818.297, 11
23376.747, 21818.297 to 24935.196, 7
26493.646, 24935.196 to 28052.096, 5
29610.546, 28052.096 to 31168.995, 5
32727.445, 31168.995 to 34285.895, 6
35844.345, 34285.895 to 37402.795, 3
38961.244, 37402.795 to 40519.694, 2
42078.144, 40519.694 to 43636.594, 1
45195.043, 43636.594 to 46753.493, 3
