Plate, 3
Well, 1
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.020, 0
0.024, 0.020 to 0.027, 0
0.031, 0.027 to 0.034, 0
0.037, 0.034 to 0.041, 0
0.044, 0.041 to 0.048, 0
0.051, 0.048 to 0.054, 0
0.058, 0.054 to 0.061, 0
0.064, 0.061 to 0.068, 0
0.071, 0.068 to 0.075, 0
0.078, 0.075 to 0.081, 0
0.085, 0.081 to 0.088, 0
0.092, 0.088 to 0.095, 0
0.098, 0.095 to 0.102, 0
0.105, 0.102 to 0.109, 0
0.112, 0.109 to 0.115, 0
0.119, 0.115 to 0.122, 4
0.126, 0.122 to 0.129, 17
0.132, 0.129 to 0.136, 26
0.139, 0.136 to 0.143, 19
0.146, 0.143 to 0.149, 17
0.153, 0.149 to 0.156, 10
0.160, 0.156 to 0.163, 18
0.166, 0.163 to 0.170, 11
0.173, 0.170 to 0.176, 7
0.180, 0.176 to 0.183, 11
0.187, 0.183 to 0.190, 5
0.193, 0.190 to 0.197, 8
0.200, 0.197 to 0.204, 9
0.207, 0.204 to 0.210, 6
0.214, 0.210 to 0.217, 8
0.221, 0.217 to 0.224, 8
0.227, 0.224 to 0.231, 7
0.234, 0.231 to 0.238, 5
0.241, 0.238 to 0.244, 4
0.248, 0.244 to 0.251, 3
0.255, 0.251 to 0.258, 4
0.261, 0.258 to 0.265, 7
0.268, 0.265 to 0.271, 3
0.275, 0.271 to 0.278, 2
0.282, 0.278 to 0.285, 1
0.288, 0.285 to 0.292, 1
0.295, 0.292 to 0.299, 3
0.302, 0.299 to 0.305, 1
0.309, 0.305 to 0.312, 0
0.316, 0.312 to 0.319, 1
0.322, 0.319 to 0.326, 2
0.329, 0.326 to 0.333, 4
0.336, 0.333 to 0.339, 2


Plate, 3
Well, 2
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.011, 0.008 to 0.015, 0
