Plate, 4
Well, 1
Count, 120
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4667.655, 0.000 to 9335.311, 0
14002.966, 9335.311 to 18670.621, 1
23338.277, 18670.621 to 28005.932, 1
32673.587, 28005.932 to 37341.243, 0
42008.898, 37341.243 to 46676.554, 2
51344.209, 46676.554 to 56011.864, 6
60679.520, 56011.864 to 65347.175, 7
70014.830, 65347.175 to 74682.486, 7
79350.141, 74682.486 to 84017.796, 8
88685.452, 84017.796 to 93353.107, 24
98020.762, 93353.107 to 102688.418, 8
107356.073, 102688.418 to 112023.728, 9
116691.384, 112023.728 to 121359.039, 6
126026.695, 121359.039 to 130694.350, 4
135362.005, 130694.350 to 140029.661, 2
144697.316, 140029.661 to 149364.971, 2
154032.627, 149364.971 to 158700.282, 5
163367.937, 158700.282 to 168035.593, 2
172703.248, 168035.593 to 177370.903, 0
182038.559, 177370.903 to 186706.214, 3
191373.870, 186706.214 to 196041.525, 4
200709.180, 196041.525 to 205376.836, 5
210044.491, 205376.836 to 214712.146, 0
219379.802, 214712.146 to 224047.457, 4
228715.112, 224047.457 to 233382.768, 0
238050.423, 233382.768 to 242718.078, 1
247385.734, 242718.078 to 252053.389, 0
256721.044, 252053.389 to 261388.700, 0
266056.355, 261388.700 to 270724.011, 0
275391.666, 270724.011 to 280059.321, 3
284726.977, 280059.321 to 289394.632, 1
294062.287, 289394.632 to 298729.943, 0
303397.598, 298729.943 to 308065.253, 0
312732.909, 308065.253 to 317400.564, 0
322068.219, 317400.564 to 326735.875, 1
331403.530, 326735.875 to 336071.185, 0
340738.841, 336071.185 to 345406.496, 0
350074.152, 345406.496 to 354741.807, 0
359409.462, 354741.807 to 364077.118, 1
368744.773, 364077.118 to 373412.428, 0
378080.084, 373412.428 to 382747.739, 1
387415.394, 382747.739 to 392083.050, 1
396750.705, 392083.050 to 401418.360, 0
406086.016, 401418.360 to 410753.671, 0
415421.326, 410753.671 to 420088.982, 0
424756.637, 420088.982 to 429424.293, 0
434091.948, 429424.293 to 438759.603, 0
443427.259, 438759.603 to 448094.914, 0
452762.569, 448094.914 to 457430.225, 0
462097.880, 457430.225 to 466765.535, 1


Plate, 4
Well, 2
Count, 102
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5517.268, 0.000 to 11034.535, 0
16551.803, 11034.535 to 22069.070, 0
27586.338, 22069.070 to 33103.606, 0
38620.873, 33103.606 to 44138.141, 6
49655.409, 44138.141 to 55172.676, 2
60689.944, 55172.676 to 66207.211, 12
71724.479, 66207.211 to 77241.747, 2
82759.014, 77241.747 to 88276.282, 13
93793.549, 88276.282 to 99310.817, 20
104828.085, 99310.817 to 110345.352, 6
115862.620, 110345.352 to 121379.887, 5
126897.155, 121379.887 to 132414.423, 3
137931.690, 132414.423 to 143448.958, 6
148966.226, 143448.958 to 154483.493, 4
160000.761, 154483.493 to 165518.028, 4
171035.296, 165518.028 to 176552.564, 3
182069.831, 176552.564 to 187587.099, 2
193104.366, 187587.099 to 198621.634, 0
204138.902, 198621.634 to 209656.169, 0
215173.437, 209656.169 to 220690.704, 3
226207.972, 220690.704 to 231725.240, 1
237242.507, 231725.240 to 242759.775, 0
248277.043, 242759.775 to 253794.310, 1
259311.578, 253794.310 to 264828.845, 0
270346.113, 264828.845 to 275863.381, 1
281380.648, 275863.381 to 286897.916, 0
