Plate, 4
Well, 1
Count, 120
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
7.709, 0.000 to 15.418, 0
23.127, 15.418 to 30.836, 0
38.546, 30.836 to 46.255, 0
53.964, 46.255 to 61.673, 0
69.382, 61.673 to 77.091, 0
84.800, 77.091 to 92.509, 0
100.218, 92.509 to 107.928, 0
115.637, 107.928 to 123.346, 0
131.055, 123.346 to 138.764, 0
146.473, 138.764 to 154.182, 1
161.891, 154.182 to 169.601, 0
177.310, 169.601 to 185.019, 1
192.728, 185.019 to 200.437, 0
208.146, 200.437 to 215.855, 0
223.564, 215.855 to 231.273, 1
238.983, 231.273 to 246.692, 1
254.401, 246.692 to 262.110, 6
269.819, 262.110 to 277.528, 1
285.237, 277.528 to 292.946, 7
300.655, 292.946 to 308.365, 6
316.074, 308.365 to 323.783, 6
331.492, 323.783 to 339.201, 12
346.910, 339.201 to 354.619, 20
362.328, 354.619 to 370.037, 6
377.747, 370.037 to 385.456, 8
393.165, 385.456 to 400.874, 5
408.583, 400.874 to 416.292, 3
424.001, 416.292 to 431.710, 3
439.419, 431.710 to 447.129, 4
454.838, 447.129 to 462.547, 3
470.256, 462.547 to 477.965, 0
485.674, 477.965 to 493.383, 5
501.092, 493.383 to 508.802, 6
516.511, 508.802 to 524.220, 1
531.929, 524.220 to 539.638, 4
547.347, 539.638 to 555.056, 1
562.765, 555.056 to 570.474, 0
578.184, 570.474 to 585.893, 0
593.602, 585.893 to 601.311, 4
609.020, 601.311 to 616.729, 0
624.438, 616.729 to 632.147, 0
639.856, 632.147 to 647.566, 1
655.275, 647.566 to 662.984, 0
670.693, 662.984 to 678.402, 1
686.111, 678.402 to 693.820, 0
701.529, 693.820 to 709.238, 2
716.948, 709.238 to 724.657, 0
732.366, 724.657 to 740.075, 0
747.784, 740.075 to 755.493, 0
763.202, 755.493 to 770.911, 1


Plate, 4
Well, 2
Count, 102
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.381, 0.000 to 16.763, 0
25.144, 16.763 to 33.526, 0
41.907, 33.526 to 50.288, 0
58.670, 50.288 to 67.051, 0
75.433, 67.051 to 83.814, 0
92.196, 83.814 to 100.577, 0
108.958, 100.577 to 117.340, 0
