Plate, 4
Well, 2
Count, 102

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
693.510, 377742.571, 0.288, 108699.274, 174645619.595, 900.019, 7535.333, 16086.667
557.136, 243787.817, 0.251, 61206.860, 90548611.995, 1714.369, 16679.333, 29379.333
686.905, 370580.988, 0.176, 65201.203, 169702602.378, 883.946, 1354.667, 18034.000
698.283, 382959.211, 0.197, 75610.616, 178275876.288, 900.019, 30988.000, 11938.000
467.711, 171808.713, 0.187, 32042.806, 53571225.044, 1365.209, 7196.667, 13800.667
350.632, 96559.222, 0.237, 22855.361, 22571188.861, 682.604, 30903.333, 18288.000
433.352, 147493.136, 0.188, 27758.713, 42610979.337, 798.744, 30310.667, 25230.667
405.295, 129012.782, 0.195, 25116.950, 34858838.362, 1396.358, 17695.333, 3640.667
376.574, 111375.729, 0.225, 25025.747, 27960803.090, 728.330, 23960.667, 29125.333
701.634, 386643.928, 0.152, 58703.176, 180855030.161, 644.802, 10752.667, 33104.667
471.538, 174631.939, 0.177, 30847.680, 54897088.728, 965.349, 26162.000, 30564.667
469.173, 172884.755, 0.193, 33389.255, 54075288.707, 987.375, 29633.333, 9398.000
525.955, 217263.972, 0.202, 43782.239, 76180772.629, 3521.563, 34967.333, 18542.000
433.712, 147738.503, 0.159, 23485.246, 42717353.666, 766.689, 29633.333, 24807.333
388.230, 118377.201, 0.178, 21124.167, 30638387.122, 2012.504, 6773.333, 23791.333
483.460, 183573.729, 0.156, 28599.062, 59167006.173, 1176.227, 23368.000, 28109.333
446.246, 156400.352, 0.150, 23434.316, 46528643.231, 1030.014, 14986.000, 3640.667
442.175, 153559.866, 0.156, 23994.612, 45266861.681, 1930.697, 27686.000, 29379.333
376.179, 111142.109, 0.181, 20062.004, 27872873.795, 987.375, 30141.333, 10244.667
355.614, 99322.652, 0.191, 18945.205, 23547036.670, 1954.682, 17780.000, 27008.667
388.230, 118377.201, 0.197, 23348.682, 30638387.122, 1954.682, 19642.667, 27601.333
344.404, 93159.572, 0.194, 18056.191, 21389716.478, 1295.151, 6011.333, 14478.000
