Plate, 1
Well, 1
Count, 213
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
40.472, 0.000 to 80.944, 0
121.416, 80.944 to 161.888, 0
202.360, 161.888 to 242.833, 0
283.305, 242.833 to 323.777, 0
364.249, 323.777 to 404.721, 2
445.193, 404.721 to 485.665, 8
526.137, 485.665 to 566.609, 16
607.081, 566.609 to 647.553, 9
688.025, 647.553 to 728.498, 8
768.970, 728.498 to 809.442, 19
849.914, 809.442 to 890.386, 15
930.858, 890.386 to 971.330, 18
1011.802, 971.330 to 1052.274, 11
1092.746, 1052.274 to 1133.218, 19
1173.690, 1133.218 to 1214.163, 23
1254.635, 1214.163 to 1295.107, 11
1335.579, 1295.107 to 1376.051, 8
1416.523, 1376.051 to 1456.995, 6
1497.467, 1456.995 to 1537.939, 1
1578.411, 1537.939 to 1618.883, 9
1659.355, 1618.883 to 1699.828, 4
1740.300, 1699.828 to 1780.772, 2
1821.244, 1780.772 to 1861.716, 4
1902.188, 1861.716 to 1942.660, 7
1983.132, 1942.660 to 2023.604, 2
2064.076, 2023.604 to 2104.548, 1
2145.020, 2104.548 to 2185.493, 1
2225.965, 2185.493 to 2266.437, 4
2306.909, 2266.437 to 2347.381, 1
2387.853, 2347.381 to 2428.325, 1
2468.797, 2428.325 to 2509.269, 0
2549.741, 2509.269 to 2590.213, 0
2630.685, 2590.213 to 2671.158, 0
2711.630, 2671.158 to 2752.102, 0
2792.574, 2752.102 to 2833.046, 0
2873.518, 2833.046 to 2913.990, 0
2954.462, 2913.990 to 2994.934, 0
3035.406, 2994.934 to 3075.878, 1
3116.350, 3075.878 to 3156.823, 0
3197.295, 3156.823 to 3237.767, 0
3278.239, 3237.767 to 3318.711, 0
3359.183, 3318.711 to 3399.655, 0
3440.127, 3399.655 to 3480.599, 0
3521.071, 3480.599 to 3561.543, 1
3602.015, 3561.543 to 3642.488, 0
3682.960, 3642.488 to 3723.432, 0
3763.904, 3723.432 to 3804.376, 0
3844.848, 3804.376 to 3885.320, 0
3925.792, 3885.320 to 3966.264, 0
