Plate, 1
Well, 5
Count, 142

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
605.614, 288059.543, 0.221, 63677.985, 116302004.624, 1139.074, 28617.333, 10583.333
691.258, 375293.041, 0.174, 65270.101, 172949602.207, 1561.176, 23622.000, 30564.667
584.850, 268645.226, 0.202, 54260.226, 104744804.772, 1103.918, 12446.000, 8551.333
483.683, 183743.285, 0.212, 39038.487, 59248998.656, 1103.918, 13377.333, 7958.667
498.993, 195559.386, 0.172, 33589.871, 65055167.025, 1047.269, 14647.333, 8043.333
356.171, 99633.674, 0.229, 22828.456, 23657726.974, 1135.923, 26924.000, 6773.333
351.366, 96963.772, 0.216, 20990.275, 22713185.833, 762.000, 33443.333, 19050.000
391.696, 120500.353, 0.206, 24788.424, 31466343.494, 935.174, 28278.667, 8551.333
350.632, 96559.222, 0.254, 24491.334, 22571188.861, 2651.838, 15409.333, 10583.333
356.171, 99633.674, 0.172, 17159.449, 23657726.974, 1151.591, 9228.667, 18372.667
453.276, 161367.577, 0.177, 28605.084, 48762753.135, 610.540, 33189.333, 23198.667
386.700, 117445.928, 0.187, 21944.877, 30277551.057, 762.000, 34205.333, 19050.000
408.958, 131355.450, 0.172, 22587.835, 35812607.827, 850.889, 7958.667, 13462.000
352.100, 97369.168, 0.282, 27419.295, 22855777.103, 661.268, 24214.667, 33612.667
402.157, 127022.840, 0.152, 19300.329, 34055442.543, 850.889, 16425.333, 3048.000
389.607, 119218.147, 0.169, 20123.477, 30965446.863, 946.602, 19219.333, 17187.333
289.933, 66021.527, 0.168, 11100.570, 12761218.618, 1232.765, 15070.667, 4995.333
512.161, 206016.621, 0.155, 31940.230, 70342401.482, 1695.449, 6519.333, 12022.667
405.295, 129012.782, 0.211, 27206.363, 34858838.362, 1456.660, 5842.000, 27262.667
341.858, 91786.864, 0.180, 16533.055, 20918695.644, 1500.297, 28024.667, 17187.333
341.998, 91862.394, 0.214, 19629.228, 20944521.422, 1676.314, 7958.667, 9906.000
367.225, 105914.134, 0.161, 17044.204, 25929532.204, 1456.660, 4656.667, 26416.000
432.268, 146755.749, 0.138, 20260.884, 42291830.885, 2279.720, 14054.667, 30988.000
427.547, 143567.800, 0.134, 19185.371, 40921295.125, 1800.038, 6265.333, 19219.333
387.465, 117911.105, 0.164, 19337.273, 30457612.850, 1478.640, 19558.000, 28786.667
345.171, 93574.942, 0.154, 14402.892, 21532931.183, 915.810, 21505.333, 33020.000
346.089, 94072.996, 0.150, 14143.829, 21705073.514, 1481.062, 28786.667, 27093.333
347.902, 95061.227, 0.182, 17333.484, 22047985.822, 493.687, 11599.333, 12446.000
334.889, 88082.719, 0.164, 14464.220, 19665267.953, 1610.893, 18796.000, 23368.000
391.696, 120500.353, 0.239, 28741.064, 31466343.494, 3311.755, 29125.333, 31157.333
367.225, 105914.134, 0.156, 16514.664, 25929532.204, 1232.765, 16256.000, 5334.000
340.078, 90833.579, 0.181, 16405.986, 20593655.406, 682.604, 7450.667, 20574.000
392.025, 120702.893, 0.151, 18235.157, 31545711.034, 838.157, 16256.000, 7196.667
393.639, 121698.861, 0.143, 17362.471, 31936959.711, 1270.000, 20404.667, 23283.333
388.918, 118797.302, 0.220, 26112.811, 30801627.593, 915.810, 16256.000, 34882.667
340.078, 90833.579, 0.184, 16708.616, 20593655.406, 2630.123, 13292.667, 18880.667
347.135, 94642.567, 0.146, 13850.895, 21902493.848, 1378.273, 34459.333, 20404.667
406.181, 129577.078, 0.157, 20395.436, 35087794.531, 935.174, 13208.000, 5418.667
341.858, 91786.864, 0.150, 13800.107, 20918695.644, 610.540, 32681.333, 22860.000
370.836, 108007.169, 0.130, 14018.381, 26701931.287, 1100.667, 33020.000, 20066.000
