Plate, 2
Well, 1
Count, 85
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
2289.271, 0.000 to 4578.542, 0
6867.812, 4578.542 to 9157.083, 0
11446.354, 9157.083 to 13735.625, 0
16024.896, 13735.625 to 18314.167, 0
20603.437, 18314.167 to 22892.708, 1
25181.979, 22892.708 to 27471.250, 1
29760.521, 27471.250 to 32049.791, 0
34339.062, 32049.791 to 36628.333, 1
38917.604, 36628.333 to 41206.875, 1
43496.146, 41206.875 to 45785.416, 4
48074.687, 45785.416 to 50363.958, 2
52653.229, 50363.958 to 54942.500, 1
57231.771, 54942.500 to 59521.041, 0
61810.312, 59521.041 to 64099.583, 5
66388.854, 64099.583 to 68678.125, 3
70967.395, 68678.125 to 73256.666, 1
75545.937, 73256.666 to 77835.208, 4
80124.479, 77835.208 to 82413.750, 2
84703.020, 82413.750 to 86992.291, 7
89281.562, 86992.291 to 91570.833, 7
93860.104, 91570.833 to 96149.374, 11
98438.645, 96149.374 to 100727.916, 4
103017.187, 100727.916 to 105306.458, 5
107595.729, 105306.458 to 109884.999, 3
112174.270, 109884.999 to 114463.541, 3
116752.812, 114463.541 to 119042.083, 1
121331.353, 119042.083 to 123620.624, 0
125909.895, 123620.624 to 128199.166, 1
130488.437, 128199.166 to 132777.708, 1
135066.978, 132777.708 to 137356.249, 2
139645.520, 137356.249 to 141934.791, 0
144224.062, 141934.791 to 146513.333, 0
148802.603, 146513.333 to 151091.874, 2
153381.145, 151091.874 to 155670.416, 0
157959.687, 155670.416 to 160248.957, 2
162538.228, 160248.957 to 164827.499, 1
167116.770, 164827.499 to 169406.041, 0
171695.312, 169406.041 to 173984.582, 1
176273.853, 173984.582 to 178563.124, 0
180852.395, 178563.124 to 183141.666, 2
185430.936, 183141.666 to 187720.207, 0
190009.478, 187720.207 to 192298.749, 2
194588.020, 192298.749 to 196877.291, 0
199166.561, 196877.291 to 201455.832, 1
203745.103, 201455.832 to 206034.374, 0
208323.645, 206034.374 to 210612.915, 1
212902.186, 210612.915 to 215191.457, 0
217480.728, 215191.457 to 219769.999, 0
222059.270, 219769.999 to 224348.540, 0
226637.811, 224348.540 to 228927.082, 2


Plate, 2
Well, 2
Count, 57
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
6071.257, 0.000 to 12142.513, 0
18213.770, 12142.513 to 24285.027, 2
30356.283, 24285.027 to 36427.540, 5
42498.797, 36427.540 to 48570.053, 7
54641.310, 48570.053 to 60712.567, 2
66783.823, 60712.567 to 72855.080, 10
78926.337, 72855.080 to 84997.593, 4
