Plate, 2
Well, 1
Count, 85
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
5.399, 0.000 to 10.798, 0
16.197, 10.798 to 21.596, 0
26.994, 21.596 to 32.393, 0
37.792, 32.393 to 43.191, 0
48.590, 43.191 to 53.989, 0
59.388, 53.989 to 64.787, 0
70.185, 64.787 to 75.584, 0
80.983, 75.584 to 86.382, 0
91.781, 86.382 to 97.180, 0
102.579, 97.180 to 107.978, 0
113.376, 107.978 to 118.775, 0
124.174, 118.775 to 129.573, 0
134.972, 129.573 to 140.371, 0
145.770, 140.371 to 151.169, 0
156.568, 151.169 to 161.966, 1
167.365, 161.966 to 172.764, 0
178.163, 172.764 to 183.562, 0
188.961, 183.562 to 194.360, 1
199.759, 194.360 to 205.157, 0
210.556, 205.157 to 215.955, 1
221.354, 215.955 to 226.753, 1
232.152, 226.753 to 237.551, 4
242.950, 237.551 to 248.348, 0
253.747, 248.348 to 259.146, 2
264.545, 259.146 to 269.944, 1
275.343, 269.944 to 280.742, 2
286.141, 280.742 to 291.540, 6
296.938, 291.540 to 302.337, 1
307.736, 302.337 to 313.135, 4
318.534, 313.135 to 323.933, 2
329.332, 323.933 to 334.731, 10
340.129, 334.731 to 345.528, 14
350.927, 345.528 to 356.326, 5
361.725, 356.326 to 367.124, 6
372.523, 367.124 to 377.922, 3
383.320, 377.922 to 388.719, 3
394.118, 388.719 to 399.517, 1
404.916, 399.517 to 410.315, 1
415.714, 410.315 to 421.113, 2
426.511, 421.113 to 431.910, 0
437.309, 431.910 to 442.708, 2
448.107, 442.708 to 453.506, 3
458.905, 453.506 to 464.304, 0
469.703, 464.304 to 475.101, 1
480.500, 475.101 to 485.899, 2
491.298, 485.899 to 496.697, 2
502.096, 496.697 to 507.495, 1
512.894, 507.495 to 518.292, 1
523.691, 518.292 to 529.090, 0
534.489, 529.090 to 539.888, 2


Plate, 2
Well, 2
Count, 57
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.792, 0.000 to 17.584, 0
26.376, 17.584 to 35.169, 0
43.961, 35.169 to 52.753, 0
61.545, 52.753 to 70.337, 0
79.129, 70.337 to 87.921, 0
96.713, 87.921 to 105.506, 0
114.298, 105.506 to 123.090, 0
131.882, 123.090 to 140.674, 0
149.466, 140.674 to 158.258, 0
167.051, 158.258 to 175.843, 2
184.635, 175.843 to 193.427, 2
202.219, 193.427 to 211.011, 2
219.803, 211.011 to 228.596, 4
237.388, 228.596 to 246.180, 3
254.972, 246.180 to 263.764, 2
272.556, 263.764 to 281.348, 2
290.140, 281.348 to 298.933, 9
307.725, 298.933 to 316.517, 2
325.309, 316.517 to 334.101, 4
342.893, 334.101 to 351.685, 7
360.478, 351.685 to 369.270, 4
378.062, 369.270 to 386.854, 4
395.646, 386.854 to 404.438, 1
413.230, 404.438 to 422.022, 1
430.815, 422.022 to 439.607, 3
448.399, 439.607 to 457.191, 1
465.983, 457.191 to 474.775, 0
483.567, 474.775 to 492.360, 2
501.152, 492.360 to 509.944, 0
518.736, 509.944 to 527.528, 0
536.320, 527.528 to 545.112, 0
553.905, 545.112 to 562.697, 0
571.489, 562.697 to 580.281, 0
589.073, 580.281 to 597.865, 0
606.657, 597.865 to 615.449, 0
624.242, 615.449 to 633.034, 0
641.826, 633.034 to 650.618, 0
659.410, 650.618 to 668.202, 0
676.994, 668.202 to 685.787, 0
694.579, 685.787 to 703.371, 0
712.163, 703.371 to 720.955, 0
729.747, 720.955 to 738.539, 0
747.331, 738.539 to 756.124, 0
764.916, 756.124 to 773.708, 0
782.500, 773.708 to 791.292, 0
800.084, 791.292 to 808.876, 0
817.669, 808.876 to 826.461, 1
835.253, 826.461 to 844.045, 0
852.837, 844.045 to 861.629, 0
870.421, 861.629 to 879.214, 1


Plate, 2
Well, 3
Count, 36
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.533, 0.000 to 17.066, 0
25.599, 17.066 to 34.132, 0
42.666, 34.132 to 51.199, 0
59.732, 51.199 to 68.265, 0
76.798, 68.265 to 85.331, 0
93.864, 85.331 to 102.397, 0
110.930, 102.397 to 119.464, 0
