Plate, 3
Well, 1
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1786.017, 0.000 to 3572.033, 3
5358.050, 3572.033 to 7144.066, 10
8930.083, 7144.066 to 10716.099, 19
12502.116, 10716.099 to 14288.132, 27
16074.149, 14288.132 to 17860.165, 28
19646.182, 17860.165 to 21432.198, 20
23218.215, 21432.198 to 25004.231, 14
26790.248, 25004.231 to 28576.264, 18
30362.281, 28576.264 to 32148.297, 10
33934.314, 32148.297 to 35720.330, 4
37506.347, 35720.330 to 39292.363, 6
41078.380, 39292.363 to 42864.396, 12
44650.413, 42864.396 to 46436.429, 7
48222.446, 46436.429 to 50008.462, 3
51794.479, 50008.462 to 53580.495, 4
55366.512, 53580.495 to 57152.528, 1
58938.545, 57152.528 to 60724.561, 0
62510.578, 60724.561 to 64296.594, 1
66082.611, 64296.594 to 67868.627, 1
69654.644, 67868.627 to 71440.660, 0
73226.677, 71440.660 to 75012.693, 1
76798.710, 75012.693 to 78584.726, 1
80370.743, 78584.726 to 82156.759, 1
83942.776, 82156.759 to 85728.792, 1
87514.809, 85728.792 to 89300.825, 0
91086.842, 89300.825 to 92872.858, 1
94658.875, 92872.858 to 96444.891, 0
98230.908, 96444.891 to 100016.924, 1
101802.941, 100016.924 to 103588.957, 2
105374.974, 103588.957 to 107160.990, 0
108947.007, 107160.990 to 110733.023, 0
112519.040, 110733.023 to 114305.056, 1
116091.073, 114305.056 to 117877.089, 0
119663.106, 117877.089 to 121449.122, 0
123235.139, 121449.122 to 125021.155, 1
126807.172, 125021.155 to 128593.188, 1
130379.205, 128593.188 to 132165.221, 1
133951.238, 132165.221 to 135737.254, 0
137523.271, 135737.254 to 139309.287, 0
141095.304, 139309.287 to 142881.320, 0
144667.337, 142881.320 to 146453.353, 0
148239.370, 146453.353 to 150025.386, 0
151811.403, 150025.386 to 153597.419, 0
155383.436, 153597.419 to 157169.452, 1
158955.469, 157169.452 to 160741.485, 0
162527.502, 160741.485 to 164313.518, 0
166099.535, 164313.518 to 167885.551, 0
169671.568, 167885.551 to 171457.584, 0
173243.601, 171457.584 to 175029.617, 0
176815.634, 175029.617 to 178601.650, 1


Plate, 3
Well, 2
Count, 145
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1280.893, 0.000 to 2561.785, 1
3842.678, 2561.785 to 5123.570, 8
6404.463, 5123.570 to 7685.356, 12
8966.248, 7685.356 to 10247.141, 17
11528.033, 10247.141 to 12808.926, 17
14089.818, 12808.926 to 15370.711, 17
