Plate, 1
Well, 1
Count, 201

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
687.386, 371099.808, 0.283, 104958.350, 170059107.219, 798.744, 29379.333, 7704.667
899.878, 636000.162, 0.258, 164122.128, 381548402.465, 1439.333, 13885.333, 5334.000
908.860, 648759.421, 0.203, 132001.351, 393087575.452, 644.802, 29125.333, 10329.333
979.430, 753418.488, 0.219, 164679.841, 491946879.637, 935.174, 25823.333, 7620.000
529.779, 220434.465, 0.254, 55969.290, 77854379.432, 1033.488, 24976.667, 8212.667
810.115, 515446.235, 0.227, 117196.695, 278380529.972, 915.810, 5080.000, 15070.667
573.978, 258750.289, 0.227, 58865.520, 99011369.277, 1019.522, 23706.667, 18965.333
685.728, 369311.961, 0.273, 100731.928, 168831647.966, 833.870, 16594.667, 31580.667
517.511, 210343.616, 0.269, 56633.674, 72570113.973, 2096.248, 8890.000, 17018.000
589.832, 273240.982, 0.206, 56335.454, 107444095.994, 1019.522, 23029.333, 19727.333
519.993, 212366.080, 0.206, 43655.707, 73619273.176, 2636.928, 9990.667, 25738.667
485.977, 185490.252, 0.241, 44610.833, 60095981.998, 863.434, 29464.000, 9398.000
523.062, 214880.154, 0.217, 46646.412, 74930435.844, 1879.905, 2455.333, 14224.000
478.030, 179473.655, 0.277, 49684.120, 57195895.217, 1545.022, 23198.667, 4148.667
490.531, 188983.305, 0.216, 40797.523, 61801492.139, 682.604, 19219.333, 2624.667
559.679, 246018.322, 0.219, 53836.547, 91794144.334, 1129.594, 21420.667, 6265.333
696.865, 381405.988, 0.194, 74038.890, 177192388.190, 431.717, 28956.000, 11006.667
668.673, 351170.405, 0.192, 67560.862, 156545527.062, 567.961, 30056.667, 13038.667
377.262, 111783.229, 0.230, 25682.715, 28114397.055, 1030.014, 8974.667, 8805.333
890.320, 622561.997, 0.192, 119816.629, 369519796.801, 431.717, 29379.333, 10922.000
559.751, 246082.040, 0.236, 58127.845, 91829808.592, 1212.242, 25654.000, 9482.667
560.991, 247173.256, 0.220, 54337.306, 92441294.340, 2075.629, 17949.333, 29040.667
520.375, 212677.993, 0.220, 46839.979, 73781525.363, 1113.616, 17526.000, 11853.333
515.839, 208986.398, 0.189, 39497.962, 71868872.486, 1030.014, 4995.333, 25061.333
503.617, 199200.329, 0.201, 40130.141, 66880402.284, 946.602, 20235.333, 9821.333
417.200, 136703.068, 0.211, 28886.554, 38021670.239, 833.870, 16256.000, 30818.667
455.038, 162623.956, 0.211, 34340.356, 49333347.293, 780.588, 11938.000, 30141.333
446.246, 156400.352, 0.200, 31326.668, 46528643.231, 1070.958, 3979.333, 13123.333
473.420, 176028.884, 0.220, 38714.922, 55557117.448, 780.588, 27432.000, 12700.000
489.368, 188088.312, 0.201, 37838.640, 61362989.969, 946.602, 18457.333, 10160.000
482.120, 182557.856, 0.210, 38331.344, 58676552.687, 2241.669, 22944.667, 14732.000
481.601, 182165.193, 0.187, 33987.920, 58487343.802, 965.349, 12869.333, 30818.667
512.161, 206016.621, 0.187, 38587.950, 70342401.482, 1669.888, 2032.000, 16679.333
502.349, 198198.753, 0.179, 35533.490, 66376626.768, 1949.173, 15663.333, 14816.667
660.574, 342714.287, 0.190, 65184.976, 150925323.142, 1019.522, 12954.000, 2455.333
435.877, 149217.041, 0.180, 26850.161, 43360215.664, 762.000, 20320.000, 6519.333
443.259, 154314.132, 0.176, 27130.765, 45600788.227, 935.174, 25738.667, 6688.667
380.300, 113590.524, 0.213, 24178.784, 28798970.080, 1070.958, 4995.333, 12784.667
343.638, 92745.126, 0.238, 22069.493, 21247138.196, 762.000, 27432.000, 8043.333
544.996, 233279.622, 0.190, 44266.834, 84757668.944, 1100.667, 16679.333, 4487.333
393.149, 121396.210, 0.230, 27975.626, 31817898.342, 644.802, 27686.000, 22267.333
614.010, 296101.272, 0.186, 54961.713, 121206025.126, 542.131, 26331.333, 32596.667
510.155, 204405.991, 0.276, 56383.555, 69519114.360, 1617.554, 20658.667, 34882.667
478.255, 179642.220, 0.214, 38500.817, 57276493.148, 423.333, 19812.000, 2963.333
350.632, 96559.222, 0.208, 20123.615, 22571188.861, 493.687, 19473.333, 4826.000
476.844, 178583.972, 0.166, 29667.414, 56771127.450, 1023.031, 30988.000, 13631.333
350.632, 96559.222, 0.193, 18625.272, 22571188.861, 757.282, 5334.000, 10498.667
447.874, 157543.850, 0.192, 30281.747, 47039855.855, 2747.430, 20320.000, 16848.667
364.983, 104624.806, 0.206, 21600.434, 25457502.588, 2384.235, 18796.000, 14562.667
508.418, 203016.550, 0.178, 36176.919, 68811490.578, 305.270, 29972.000, 18626.667
426.570, 142912.336, 0.172, 24639.097, 40641373.728, 305.270, 5164.667, 26077.333
443.259, 154314.132, 0.169, 26032.430, 45600788.227, 305.270, 30141.333, 18372.667
356.171, 99633.674, 0.198, 19705.194, 23657726.974, 616.383, 15578.667, 12869.333
351.366, 96963.772, 0.188, 18222.368, 22713185.833, 1289.604, 24553.333, 16425.333
438.925, 151311.277, 0.178, 26990.268, 44276241.308, 305.270, 5334.000, 26331.333
544.821, 233129.679, 0.154, 36017.750, 84675963.713, 871.697, 22013.333, 31580.667
388.230, 118377.201, 0.233, 27609.980, 30638387.122, 1129.594, 22267.333, 30480.000
500.921, 197073.657, 0.165, 32425.989, 65812238.484, 1077.631, 9736.667, 9567.333
505.531, 200717.562, 0.172, 34550.596, 67645959.539, 863.434, 17780.000, 4487.333
469.333, 173002.344, 0.167, 28903.780, 54130468.079, 780.588, 10244.667, 30988.000
436.338, 149532.884, 0.152, 22717.078, 43497957.571, 846.667, 21166.667, 9652.000
350.632, 96559.222, 0.201, 19420.914, 22571188.861, 1289.604, 23368.000, 16933.333
347.902, 95061.227, 0.218, 20679.402, 22047985.822, 946.602, 18880.667, 9313.333
433.193, 147385.092, 0.194, 28570.421, 42564166.748, 698.179, 33697.333, 24976.667
347.902, 95061.227, 0.209, 19898.720, 22047985.822, 1019.522, 5249.333, 21251.333
483.460, 183573.729, 0.152, 27818.008, 59167006.173, 871.697, 21251.333, 32004.000
