Plate, 2
Well, 1
Count, 33
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
7421.996, 0.000 to 14843.992, 0
22265.988, 14843.992 to 29687.985, 0
37109.981, 29687.985 to 44531.977, 3
51953.973, 44531.977 to 59375.969, 6
66797.965, 59375.969 to 74219.962, 3
81641.958, 74219.962 to 89063.954, 2
96485.950, 89063.954 to 103907.946, 7
111329.942, 103907.946 to 118751.939, 4
126173.935, 118751.939 to 133595.931, 2
141017.927, 133595.931 to 148439.923, 0
155861.919, 148439.923 to 163283.916, 0
170705.912, 163283.916 to 178127.908, 0
185549.904, 178127.908 to 192971.900, 0
200393.896, 192971.900 to 207815.892, 0
215237.889, 207815.892 to 222659.885, 1
230081.881, 222659.885 to 237503.877, 0
244925.873, 237503.877 to 252347.869, 0
259769.866, 252347.869 to 267191.862, 1
274613.858, 267191.862 to 282035.854, 0
289457.850, 282035.854 to 296879.846, 0
304301.843, 296879.846 to 311723.839, 0
319145.835, 311723.839 to 326567.831, 0
333989.827, 326567.831 to 341411.823, 1
348833.820, 341411.823 to 356255.816, 0
363677.812, 356255.816 to 371099.808, 0
378521.804, 371099.808 to 385943.800, 0
393365.797, 385943.800 to 400787.793, 0
408209.789, 400787.793 to 415631.785, 0
423053.781, 415631.785 to 430475.777, 1
437897.773, 430475.777 to 445319.770, 0
452741.766, 445319.770 to 460163.762, 1
467585.758, 460163.762 to 475007.754, 0
482429.750, 475007.754 to 489851.747, 0
497273.743, 489851.747 to 504695.739, 0
512117.735, 504695.739 to 519539.731, 0
526961.727, 519539.731 to 534383.724, 0
541805.720, 534383.724 to 549227.716, 0
556649.712, 549227.716 to 564071.708, 0
571493.704, 564071.708 to 578915.701, 0
586337.697, 578915.701 to 593759.693, 0
601181.689, 593759.693 to 608603.685, 0
616025.681, 608603.685 to 623447.677, 0
630869.674, 623447.677 to 638291.670, 0
645713.666, 638291.670 to 653135.662, 0
660557.658, 653135.662 to 667979.654, 0
675401.651, 667979.654 to 682823.647, 0
690245.643, 682823.647 to 697667.639, 0
705089.635, 697667.639 to 712511.631, 0
719933.628, 712511.631 to 727355.624, 0
734777.620, 727355.624 to 742199.616, 1


Plate, 2
Well, 2
Count, 35
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4532.129, 0.000 to 9064.257, 0
13596.386, 9064.257 to 18128.514, 0
22660.643, 18128.514 to 27192.771, 1
31724.900, 27192.771 to 36257.028, 1
40789.157, 36257.028 to 45321.285, 5
49853.414, 45321.285 to 54385.542, 1
58917.671, 54385.542 to 63449.799, 6
67981.928, 63449.799 to 72514.056, 0
77046.185, 72514.056 to 81578.313, 2
86110.442, 81578.313 to 90642.570, 6
95174.699, 90642.570 to 99706.827, 7
104238.956, 99706.827 to 108771.084, 1
113303.213, 108771.084 to 117835.341, 0
122367.470, 117835.341 to 126899.598, 0
131431.727, 126899.598 to 135963.856, 0
140495.984, 135963.856 to 145028.113, 0
149560.241, 145028.113 to 154092.370, 0
158624.498, 154092.370 to 163156.627, 1
167688.755, 163156.627 to 172220.884, 0
176753.012, 172220.884 to 181285.141, 0
185817.269, 181285.141 to 190349.398, 0
194881.526, 190349.398 to 199413.655, 0
203945.783, 199413.655 to 208477.912, 0
213010.040, 208477.912 to 217542.169, 0
222074.297, 217542.169 to 226606.426, 0
231138.554, 226606.426 to 235670.683, 0
240202.811, 235670.683 to 244734.940, 0
249267.068, 244734.940 to 253799.197, 0
258331.325, 253799.197 to 262863.454, 1
267395.583, 262863.454 to 271927.711, 0
276459.840, 271927.711 to 280991.968, 0
285524.097, 280991.968 to 290056.225, 0
294588.354, 290056.225 to 299120.482, 0
303652.611, 299120.482 to 308184.739, 0
312716.868, 308184.739 to 317248.996, 0
321781.125, 317248.996 to 326313.253, 0
330845.382, 326313.253 to 335377.510, 0
339909.639, 335377.510 to 344441.767, 0
348973.896, 344441.767 to 353506.024, 0
358038.153, 353506.024 to 362570.281, 1
367102.410, 362570.281 to 371634.538, 0
376166.667, 371634.538 to 380698.795, 1
385230.924, 380698.795 to 389763.052, 0
394295.181, 389763.052 to 398827.309, 0
403359.438, 398827.309 to 407891.567, 0
412423.695, 407891.567 to 416955.824, 0
421487.952, 416955.824 to 426020.081, 0
430552.209, 426020.081 to 435084.338, 0
439616.466, 435084.338 to 444148.595, 0
448680.723, 444148.595 to 453212.852, 1


Plate, 2
Well, 3
Count, 39
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
2984.022, 0.000 to 5968.045, 0
8952.067, 5968.045 to 11936.089, 0
14920.112, 11936.089 to 17904.134, 0
20888.156, 17904.134 to 23872.179, 1
26856.201, 23872.179 to 29840.223, 2
32824.246, 29840.223 to 35808.268, 4
38792.290, 35808.268 to 41776.313, 4
