Plate, 3
Well, 1
Count, 175
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.009, 0
0.013, 0.009 to 0.018, 0
0.022, 0.018 to 0.026, 0
0.031, 0.026 to 0.035, 0
0.039, 0.035 to 0.044, 0
0.048, 0.044 to 0.053, 0
0.057, 0.053 to 0.061, 0
0.066, 0.061 to 0.070, 0
0.075, 0.070 to 0.079, 0
0.083, 0.079 to 0.088, 0
0.092, 0.088 to 0.096, 0
0.101, 0.096 to 0.105, 0
0.110, 0.105 to 0.114, 7
0.118, 0.114 to 0.123, 17
0.127, 0.123 to 0.132, 28
0.136, 0.132 to 0.140, 21
0.145, 0.140 to 0.149, 18
0.154, 0.149 to 0.158, 18
0.162, 0.158 to 0.167, 11
0.171, 0.167 to 0.175, 10
0.180, 0.175 to 0.184, 9
0.189, 0.184 to 0.193, 6
0.197, 0.193 to 0.202, 3
0.206, 0.202 to 0.211, 6
0.215, 0.211 to 0.219, 2
0.224, 0.219 to 0.228, 2
0.232, 0.228 to 0.237, 2
0.241, 0.237 to 0.246, 3
0.250, 0.246 to 0.254, 3
0.259, 0.254 to 0.263, 1
0.268, 0.263 to 0.272, 2
0.276, 0.272 to 0.281, 1
0.285, 0.281 to 0.289, 2
0.294, 0.289 to 0.298, 2
0.303, 0.298 to 0.307, 0
0.311, 0.307 to 0.316, 0
0.320, 0.316 to 0.325, 0
0.329, 0.325 to 0.333, 0
0.338, 0.333 to 0.342, 0
0.346, 0.342 to 0.351, 0
0.355, 0.351 to 0.360, 0
0.364, 0.360 to 0.368, 0
0.373, 0.368 to 0.377, 0
0.382, 0.377 to 0.386, 0
0.390, 0.386 to 0.395, 0
0.399, 0.395 to 0.404, 0
0.408, 0.404 to 0.412, 0
0.417, 0.412 to 0.421, 0
0.425, 0.421 to 0.430, 0
0.434, 0.430 to 0.439, 1


Plate, 3
Well, 2
Count, 177
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.015, 0.012 to 0.017, 0
0.020, 0.017 to 0.023, 0
0.026, 0.023 to 0.029, 0
0.032, 0.029 to 0.035, 0
0.038, 0.035 to 0.041, 0
0.044, 0.041 to 0.047, 0
0.049, 0.047 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.061, 0.058 to 0.064, 0
0.067, 0.064 to 0.070, 0
0.073, 0.070 to 0.076, 0
0.079, 0.076 to 0.081, 0
0.084, 0.081 to 0.087, 0
0.090, 0.087 to 0.093, 0
0.096, 0.093 to 0.099, 2
0.102, 0.099 to 0.105, 10
0.108, 0.105 to 0.111, 11
0.113, 0.111 to 0.116, 25
0.119, 0.116 to 0.122, 13
0.125, 0.122 to 0.128, 15
0.131, 0.128 to 0.134, 16
0.137, 0.134 to 0.140, 9
0.142, 0.140 to 0.145, 10
0.148, 0.145 to 0.151, 11
0.154, 0.151 to 0.157, 2
0.160, 0.157 to 0.163, 8
0.166, 0.163 to 0.169, 9
0.172, 0.169 to 0.174, 3
0.177, 0.174 to 0.180, 4
0.183, 0.180 to 0.186, 9
0.189, 0.186 to 0.192, 0
0.195, 0.192 to 0.198, 3
0.201, 0.198 to 0.204, 1
0.206, 0.204 to 0.209, 4
0.212, 0.209 to 0.215, 3
0.218, 0.215 to 0.221, 2
0.224, 0.221 to 0.227, 1
0.230, 0.227 to 0.233, 2
0.236, 0.233 to 0.238, 0
0.241, 0.238 to 0.244, 1
0.247, 0.244 to 0.250, 0
0.253, 0.250 to 0.256, 2
0.259, 0.256 to 0.262, 0
0.265, 0.262 to 0.268, 0
0.270, 0.268 to 0.273, 0
0.276, 0.273 to 0.279, 0
0.282, 0.279 to 0.285, 0
0.288, 0.285 to 0.291, 1


Plate, 3
Well, 3
Count, 148
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.016, 0
0.018, 0.016 to 0.021, 0
0.023, 0.021 to 0.026, 0
0.029, 0.026 to 0.031, 0
0.034, 0.031 to 0.036, 0
0.039, 0.036 to 0.042, 0
0.044, 0.042 to 0.047, 0
0.050, 0.047 to 0.052, 0
0.055, 0.052 to 0.057, 0
0.060, 0.057 to 0.063, 0
0.065, 0.063 to 0.068, 0
0.070, 0.068 to 0.073, 2
0.076, 0.073 to 0.078, 2
0.081, 0.078 to 0.083, 6
0.086, 0.083 to 0.089, 17
0.091, 0.089 to 0.094, 13
0.096, 0.094 to 0.099, 16
0.102, 0.099 to 0.104, 10
0.107, 0.104 to 0.109, 13
0.112, 0.109 to 0.115, 8
0.117, 0.115 to 0.120, 10
0.122, 0.120 to 0.125, 5
0.128, 0.125 to 0.130, 7
0.133, 0.130 to 0.136, 4
0.138, 0.136 to 0.141, 5
