Plate, 4
Well, 1
Count, 63
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.150, 0.000 to 16.299, 0
24.449, 16.299 to 32.598, 0
40.748, 32.598 to 48.897, 0
57.047, 48.897 to 65.196, 0
73.346, 65.196 to 81.495, 0
89.645, 81.495 to 97.794, 0
105.944, 97.794 to 114.093, 0
122.243, 114.093 to 130.392, 0
138.542, 130.392 to 146.691, 0
154.841, 146.691 to 162.990, 0
171.140, 162.990 to 179.289, 2
187.439, 179.289 to 195.588, 2
203.738, 195.588 to 211.888, 1
220.037, 211.888 to 228.187, 3
236.336, 228.187 to 244.486, 1
252.635, 244.486 to 260.785, 0
268.934, 260.785 to 277.084, 2
285.233, 277.084 to 293.383, 1
301.532, 293.383 to 309.682, 3
317.831, 309.682 to 325.981, 4
334.130, 325.981 to 342.280, 7
350.429, 342.280 to 358.579, 9
366.728, 358.579 to 374.878, 4
383.027, 374.878 to 391.177, 7
399.326, 391.177 to 407.476, 2
415.626, 407.476 to 423.775, 0
431.925, 423.775 to 440.074, 0
448.224, 440.074 to 456.373, 5
464.523, 456.373 to 472.672, 0
480.822, 472.672 to 488.971, 0
497.121, 488.971 to 505.270, 0
513.420, 505.270 to 521.569, 1
529.719, 521.569 to 537.868, 0
546.018, 537.868 to 554.167, 2
562.317, 554.167 to 570.466, 1
578.616, 570.466 to 586.765, 0
594.915, 586.765 to 603.064, 0
611.214, 603.064 to 619.364, 1
627.513, 619.364 to 635.663, 0
643.812, 635.663 to 651.962, 0
660.111, 651.962 to 668.261, 0
676.410, 668.261 to 684.560, 1
692.709, 684.560 to 700.859, 0
709.008, 700.859 to 717.158, 0
725.307, 717.158 to 733.457, 0
741.606, 733.457 to 749.756, 1
757.905, 749.756 to 766.055, 1
774.204, 766.055 to 782.354, 0
790.503, 782.354 to 798.653, 1
806.803, 798.653 to 814.952, 1


Plate, 4
Well, 2
Count, 29
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
6.644, 0.000 to 13.287, 0
19.931, 13.287 to 26.574, 0
33.218, 26.574 to 39.862, 0
46.505, 39.862 to 53.149, 0
59.792, 53.149 to 66.436, 0
73.080, 66.436 to 79.723, 0
86.367, 79.723 to 93.010, 0
99.654, 93.010 to 106.298, 0
112.941, 106.298 to 119.585, 0
126.228, 119.585 to 132.872, 0
139.516, 132.872 to 146.159, 0
152.803, 146.159 to 159.446, 0
166.090, 159.446 to 172.734, 2
179.377, 172.734 to 186.021, 0
192.664, 186.021 to 199.308, 0
205.952, 199.308 to 212.595, 0
219.239, 212.595 to 225.882, 2
232.526, 225.882 to 239.170, 0
245.813, 239.170 to 252.457, 0
259.100, 252.457 to 265.744, 1
272.388, 265.744 to 279.031, 1
285.675, 279.031 to 292.318, 0
298.962, 292.318 to 305.606, 0
312.249, 305.606 to 318.893, 1
