Plate, 4
Well, 1
Count, 63
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
48.997, 0.000 to 97.994, 0
146.991, 97.994 to 195.988, 0
244.985, 195.988 to 293.982, 0
342.979, 293.982 to 391.976, 0
440.974, 391.976 to 489.971, 0
538.968, 489.971 to 587.965, 2
636.962, 587.965 to 685.959, 0
734.956, 685.959 to 783.953, 2
832.950, 783.953 to 881.947, 2
930.944, 881.947 to 979.941, 2
1028.938, 979.941 to 1077.935, 6
1126.932, 1077.935 to 1175.929, 2
1224.927, 1175.929 to 1273.924, 0
1322.921, 1273.924 to 1371.918, 2
1420.915, 1371.918 to 1469.912, 5
1518.909, 1469.912 to 1567.906, 4
1616.903, 1567.906 to 1665.900, 2
1714.897, 1665.900 to 1763.894, 0
1812.891, 1763.894 to 1861.888, 2
1910.885, 1861.888 to 1959.882, 3
2008.880, 1959.882 to 2057.877, 3
2106.874, 2057.877 to 2155.871, 0
2204.868, 2155.871 to 2253.865, 5
2302.862, 2253.865 to 2351.859, 4
2400.856, 2351.859 to 2449.853, 2
2498.850, 2449.853 to 2547.847, 0
2596.844, 2547.847 to 2645.841, 1
2694.838, 2645.841 to 2743.835, 0
2792.833, 2743.835 to 2841.830, 1
2890.827, 2841.830 to 2939.824, 0
2988.821, 2939.824 to 3037.818, 0
3086.815, 3037.818 to 3135.812, 1
3184.809, 3135.812 to 3233.806, 0
3282.803, 3233.806 to 3331.800, 3
3380.797, 3331.800 to 3429.794, 0
3478.791, 3429.794 to 3527.788, 2
3576.785, 3527.788 to 3625.783, 0
3674.780, 3625.783 to 3723.777, 0
3772.774, 3723.777 to 3821.771, 0
3870.768, 3821.771 to 3919.765, 0
3968.762, 3919.765 to 4017.759, 0
4066.756, 4017.759 to 4115.753, 0
4164.750, 4115.753 to 4213.747, 0
4262.744, 4213.747 to 4311.741, 0
4360.738, 4311.741 to 4409.736, 1
4458.733, 4409.736 to 4507.730, 2
4556.727, 4507.730 to 4605.724, 2
4654.721, 4605.724 to 4703.718, 0
4752.715, 4703.718 to 4801.712, 0
4850.709, 4801.712 to 4899.706, 2


Plate, 4
Well, 2
Count, 29
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
70.645, 0.000 to 141.289, 0
211.934, 141.289 to 282.579, 0
353.223, 282.579 to 423.868, 0
494.513, 423.868 to 565.157, 0
635.802, 565.157 to 706.447, 2
777.091, 706.447 to 847.736, 3
918.381, 847.736 to 989.026, 2
1059.670, 989.026 to 1130.315, 0
1200.960, 1130.315 to 1271.604, 0
1342.249, 1271.604 to 1412.894, 4
1483.538, 1412.894 to 1554.183, 2
1624.828, 1554.183 to 1695.472, 0
1766.117, 1695.472 to 1836.762, 0
1907.406, 1836.762 to 1978.051, 2
2048.696, 1978.051 to 2119.340, 4
2189.985, 2119.340 to 2260.630, 1
2331.274, 2260.630 to 2401.919, 0
2472.564, 2401.919 to 2543.209, 1
2613.853, 2543.209 to 2684.498, 0
2755.143, 2684.498 to 2825.787, 0
2896.432, 2825.787 to 2967.077, 0
3037.721, 2967.077 to 3108.366, 0
3179.011, 3108.366 to 3249.655, 0
3320.300, 3249.655 to 3390.945, 0
3461.589, 3390.945 to 3532.234, 0
3602.879, 3532.234 to 3673.523, 1
3744.168, 3673.523 to 3814.813, 0
3885.457, 3814.813 to 3956.102, 0
4026.747, 3956.102 to 4097.392, 2
4168.036, 4097.392 to 4238.681, 0
4309.326, 4238.681 to 4379.970, 0
