Plate, 4
Well, 1
Count, 63
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
964.344, 0.000 to 1928.688, 0
2893.032, 1928.688 to 3857.375, 5
4821.719, 3857.375 to 5786.063, 4
6750.407, 5786.063 to 7714.751, 5
8679.095, 7714.751 to 9643.439, 6
10607.783, 9643.439 to 11572.126, 10
12536.470, 11572.126 to 13500.814, 11
14465.158, 13500.814 to 15429.502, 4
16393.846, 15429.502 to 17358.190, 3
18322.534, 17358.190 to 19286.877, 3
20251.221, 19286.877 to 21215.565, 0
22179.909, 21215.565 to 23144.253, 0
24108.597, 23144.253 to 25072.941, 1
26037.285, 25072.941 to 27001.628, 0
27965.972, 27001.628 to 28930.316, 2
29894.660, 28930.316 to 30859.004, 0
31823.348, 30859.004 to 32787.692, 0
33752.035, 32787.692 to 34716.379, 1
35680.723, 34716.379 to 36645.067, 0
37609.411, 36645.067 to 38573.755, 1
39538.099, 38573.755 to 40502.443, 0
41466.786, 40502.443 to 42431.130, 0
43395.474, 42431.130 to 44359.818, 0
45324.162, 44359.818 to 46288.506, 0
47252.850, 46288.506 to 48217.194, 2
49181.537, 48217.194 to 50145.881, 0
51110.225, 50145.881 to 52074.569, 1
53038.913, 52074.569 to 54003.257, 0
54967.601, 54003.257 to 55931.944, 0
56896.288, 55931.944 to 57860.632, 0
58824.976, 57860.632 to 59789.320, 0
60753.664, 59789.320 to 61718.008, 0
62682.352, 61718.008 to 63646.695, 1
64611.039, 63646.695 to 65575.383, 0
66539.727, 65575.383 to 67504.071, 0
68468.415, 67504.071 to 69432.759, 0
70397.103, 69432.759 to 71361.446, 0
72325.790, 71361.446 to 73290.134, 0
74254.478, 73290.134 to 75218.822, 0
76183.166, 75218.822 to 77147.510, 0
78111.854, 77147.510 to 79076.197, 0
80040.541, 79076.197 to 81004.885, 0
81969.229, 81004.885 to 82933.573, 0
83897.917, 82933.573 to 84862.261, 1
85826.604, 84862.261 to 86790.948, 0
87755.292, 86790.948 to 88719.636, 1
89683.980, 88719.636 to 90648.324, 0
91612.668, 90648.324 to 92577.012, 0
93541.355, 92577.012 to 94505.699, 0
95470.043, 94505.699 to 96434.387, 1


Plate, 4
Well, 2
Count, 29
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
739.876, 0.000 to 1479.752, 0
2219.628, 1479.752 to 2959.504, 2
3699.379, 2959.504 to 4439.255, 0
5179.131, 4439.255 to 5919.007, 2
6658.883, 5919.007 to 7398.759, 2
8138.635, 7398.759 to 8878.511, 2
9618.386, 8878.511 to 10358.262, 2
11098.138, 10358.262 to 11838.014, 3
12577.890, 11838.014 to 13317.766, 6
14057.642, 13317.766 to 14797.518, 2
15537.393, 14797.518 to 16277.269, 1
17017.145, 16277.269 to 17757.021, 0
18496.897, 17757.021 to 19236.773, 1
19976.649, 19236.773 to 20716.525, 0
21456.400, 20716.525 to 22196.276, 0
22936.152, 22196.276 to 23676.028, 0
24415.904, 23676.028 to 25155.780, 0
25895.656, 25155.780 to 26635.532, 0
27375.407, 26635.532 to 28115.283, 0
28855.159, 28115.283 to 29595.035, 0
30334.911, 29595.035 to 31074.787, 0
31814.663, 31074.787 to 32554.539, 1
33294.415, 32554.539 to 34034.290, 0
34774.166, 34034.290 to 35514.042, 0
36253.918, 35514.042 to 36993.794, 0
37733.670, 36993.794 to 38473.546, 0
39213.422, 38473.546 to 39953.297, 0
40693.173, 39953.297 to 41433.049, 1
42172.925, 41433.049 to 42912.801, 0
43652.677, 42912.801 to 44392.553, 0
45132.429, 44392.553 to 45872.304, 0
46612.180, 45872.304 to 47352.056, 0
48091.932, 47352.056 to 48831.808, 0
49571.684, 48831.808 to 50311.560, 0
51051.436, 50311.560 to 51791.311, 1
52531.187, 51791.311 to 53271.063, 1
54010.939, 53271.063 to 54750.815, 0
55490.691, 54750.815 to 56230.567, 0
56970.443, 56230.567 to 57710.318, 0
58450.194, 57710.318 to 59190.070, 0
59929.946, 59190.070 to 60669.822, 0
61409.698, 60669.822 to 62149.574, 0
62889.450, 62149.574 to 63629.326, 1
64369.201, 63629.326 to 65109.077, 0
65848.953, 65109.077 to 66588.829, 0
67328.705, 66588.829 to 68068.581, 0
68808.457, 68068.581 to 69548.333, 0
70288.208, 69548.333 to 71028.084, 0
71767.960, 71028.084 to 72507.836, 0
73247.712, 72507.836 to 73987.588, 1


Plate, 4
Well, 3
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
430.078, 0.000 to 860.156, 0
1290.234, 860.156 to 1720.312, 0
2150.390, 1720.312 to 2580.467, 0
3010.545, 2580.467 to 3440.623, 0
3870.701, 3440.623 to 4300.779, 1
4730.857, 4300.779 to 5160.935, 1
5591.013, 5160.935 to 6021.091, 2
6451.169, 6021.091 to 6881.246, 0
7311.324, 6881.246 to 7741.402, 0
8171.480, 7741.402 to 8601.558, 1
9031.636, 8601.558 to 9461.714, 2
9891.792, 9461.714 to 10321.870, 1
