,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,15731.289377341134,201,433.907470703125,142.8536834716797,163899.140625,121288.875,32943726.715397894,0.17504166066646576,0.041924092918634415,35.1833740532883,30353.427734375,27564.970703125,6101038.812149567,58714772,73860688.0,11801669361.486387,1081.10400390625,596.4386596679688,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,1.1339915373765868
1,1,PEO1 TX,0.0078125,2,A02,750,941.8059312323173,13673.245589264037,111,376.7362365722656,114.63520812988281,121792.8046875,80856.1171875,13519001.443880172,0.14593921601772308,0.03100694715976715,16.199252197991928,18895.23046875,16517.287109375,2097370.657457557,36651100,40584844.0,4068272056.31385,1470.83203125,835.5174560546875,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.6262341325811002
2,1,PEO1 TX,0.015625,3,A03,750,941.8059312323173,10318.599988931286,75,358.8857727050781,97.68277740478516,108652.703125,72965.421875,8148952.837129762,0.10918182134628296,0.024914421141147614,8.188636782180549,12509.3251953125,12255.7421875,938199.3630010034,30609478,40290132.0,2295710877.7292423,1767.420654296875,1060.348876953125,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.4231311706629055
3,1,PEO1 TX,0.03125,4,B01,750,941.8059312323173,13869.288995519066,81,356.9280090332031,122.77091979980469,111895.90625,91618.2421875,9063568.380990457,0.14754584431648254,0.03899294137954712,11.951213897272307,17744.3984375,21262.68359375,1437296.2619620876,33898172,51091872.0,2745752088.066945,1586.5130615234375,1024.1480712890625,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.45698166431593795
4,1,PEO1 TX,0.0625,5,B02,750,941.8059312323173,12234.53993519639,52,367.4344787597656,120.84616088867188,117504.8984375,83656.2109375,6110254.660527372,0.13996794819831848,0.028987720608711243,7.2783334065147125,17900.66796875,16911.771484375,930834.6921001303,35420040,40524504.0,1841842134.134478,2200.892822265625,1401.092529296875,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.2933709449929478
5,1,PEO1 TX,0.125,6,B03,750,941.8059312323173,9365.967138269738,31,371.3812255859375,152.85397338867188,126675.578125,129110.296875,3926942.957714277,0.11352783441543579,0.025052562355995178,3.5193628592596156,16226.12890625,21076.01171875,503009.9897113403,44221176,80039608.0,1370856489.4295602,3523.869873046875,1642.151123046875,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate1\Plate1.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.17489421720733428
6,2,PEO1 TX,0.25,1,A01,750,941.8059312323173,13650.88036354973,33,385.80712890625,169.98883056640625,139599.296875,147288.28125,4606776.6553800395,0.14292356371879578,0.02669602259993553,4.716477440947667,20638.96484375,21995.25390625,681085.8390871872,52279012,92914512.0,1725207402.067402,1705.974853515625,1002.5672607421875,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate2\Plate2.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.1861777150916784
7,2,PEO1 TX,0.5,2,A02,750,941.8059312323173,15257.69436404578,35,340.92279052734375,134.199462890625,105430.1484375,98494.8515625,3690055.236890395,0.1460113674402237,0.015117653645575047,5.110397840920324,15965.986328125,16214.3583984375,558809.5361661181,32640446,51028312.0,1142415640.8387678,2426.083740234375,1770.6771240234375,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate2\Plate2.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.19746121297602257
8,2,PEO1 TX,1.0,3,A03,750,941.8059312323173,15854.650549669215,39,306.0185852050781,108.55096435546875,82805.0625,64168.984375,3229397.4180364464,0.1684994399547577,0.04833747819066048,6.571478434771457,13510.4580078125,10231.88671875,526907.8708405884,21461258,26860660.0,836989041.2258186,1941.5067138671875,1775.3243408203125,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate2\Plate2.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.22002820874471085
9,2,PEO1 TX,2.0,4,B01,750,941.8059312323173,11984.414975770806,25,370.2703857421875,164.29466247558594,128878.2578125,138345.796875,3221956.4746819385,0.12945561110973358,0.01682794839143753,3.236390335115955,16875.775390625,19263.904296875,421894.36599840445,46598744,85453576.0,1164968641.7843177,2680.77099609375,3138.97216796875,2020-07-02,18:27:10,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-15\Plate2\Plate2.ics,Rucaparib,PEO1,TX,0.23633333333333334,0.14104372355430184
