Plate, 1
Well, 1
Count, 210
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
36.021, 0.000 to 72.041, 0
108.062, 72.041 to 144.083, 0
180.103, 144.083 to 216.124, 0
252.145, 216.124 to 288.165, 2
324.186, 288.165 to 360.207, 2
396.227, 360.207 to 432.248, 4
468.269, 432.248 to 504.289, 8
540.310, 504.289 to 576.331, 11
612.351, 576.331 to 648.372, 15
684.393, 648.372 to 720.413, 18
756.434, 720.413 to 792.455, 22
828.475, 792.455 to 864.496, 22
900.517, 864.496 to 936.537, 8
972.558, 936.537 to 1008.579, 11
1044.599, 1008.579 to 1080.620, 7
1116.641, 1080.620 to 1152.661, 6
1188.682, 1152.661 to 1224.703, 9
1260.723, 1224.703 to 1296.744, 8
1332.765, 1296.744 to 1368.785, 12
1404.806, 1368.785 to 1440.827, 5
1476.847, 1440.827 to 1512.868, 4
1548.889, 1512.868 to 1584.909, 10
1620.930, 1584.909 to 1656.951, 2
1692.971, 1656.951 to 1728.992, 1
1765.013, 1728.992 to 1801.033, 3
1837.054, 1801.033 to 1873.075, 3
1909.095, 1873.075 to 1945.116, 3
1981.137, 1945.116 to 2017.157, 0
2053.178, 2017.157 to 2089.199, 2
2125.219, 2089.199 to 2161.240, 2
2197.261, 2161.240 to 2233.281, 1
2269.302, 2233.281 to 2305.323, 3
2341.343, 2305.323 to 2377.364, 1
2413.385, 2377.364 to 2449.405, 0
2485.426, 2449.405 to 2521.447, 0
2557.467, 2521.447 to 2593.488, 0
2629.509, 2593.488 to 2665.529, 0
2701.550, 2665.529 to 2737.571, 1
2773.591, 2737.571 to 2809.612, 0
2845.633, 2809.612 to 2881.653, 1
2917.674, 2881.653 to 2953.695, 1
2989.715, 2953.695 to 3025.736, 0
3061.757, 3025.736 to 3097.777, 1
3133.798, 3097.777 to 3169.819, 0
3205.839, 3169.819 to 3241.860, 0
3277.881, 3241.860 to 3313.901, 0
3349.922, 3313.901 to 3385.943, 0
3421.963, 3385.943 to 3457.984, 0
3494.005, 3457.984 to 3530.025, 0
3566.046, 3530.025 to 3602.067, 1


Plate, 1
Well, 2
Count, 169
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.451, 0.000 to 64.901, 0
97.352, 64.901 to 129.803, 0
162.253, 129.803 to 194.704, 0
227.155, 194.704 to 259.605, 0
292.056, 259.605 to 324.506, 0
356.957, 324.506 to 389.408, 0
421.858, 389.408 to 454.309, 2
486.760, 454.309 to 519.210, 4
551.661, 519.210 to 584.112, 0
616.562, 584.112 to 649.013, 15
681.464, 649.013 to 713.914, 9
746.365, 713.914 to 778.816, 8
811.266, 778.816 to 843.717, 11
876.167, 843.717 to 908.618, 2
941.069, 908.618 to 973.519, 15
1005.970, 973.519 to 1038.421, 12
1070.871, 1038.421 to 1103.322, 10
1135.773, 1103.322 to 1168.223, 7
1200.674, 1168.223 to 1233.125, 6
1265.575, 1233.125 to 1298.026, 3
1330.477, 1298.026 to 1362.927, 8
1395.378, 1362.927 to 1427.828, 2
1460.279, 1427.828 to 1492.730, 6
1525.180, 1492.730 to 1557.631, 11
1590.082, 1557.631 to 1622.532, 5
1654.983, 1622.532 to 1687.434, 2
1719.884, 1687.434 to 1752.335, 2
1784.786, 1752.335 to 1817.236, 0
1849.687, 1817.236 to 1882.138, 3
1914.588, 1882.138 to 1947.039, 0
1979.489, 1947.039 to 2011.940, 3
2044.391, 2011.940 to 2076.841, 3
2109.292, 2076.841 to 2141.743, 0
2174.193, 2141.743 to 2206.644, 2
2239.095, 2206.644 to 2271.545, 3
2303.996, 2271.545 to 2336.447, 0
2368.897, 2336.447 to 2401.348, 1
2433.799, 2401.348 to 2466.249, 2
2498.700, 2466.249 to 2531.150, 3
2563.601, 2531.150 to 2596.052, 0
2628.502, 2596.052 to 2660.953, 3
2693.404, 2660.953 to 2725.854, 0
2758.305, 2725.854 to 2790.756, 2
2823.206, 2790.756 to 2855.657, 0
2888.108, 2855.657 to 2920.558, 2
2953.009, 2920.558 to 2985.460, 0
3017.910, 2985.460 to 3050.361, 1
3082.811, 3050.361 to 3115.262, 0
3147.713, 3115.262 to 3180.163, 0
3212.614, 3180.163 to 3245.065, 1


Plate, 1
Well, 3
Count, 168
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
37.426, 0.000 to 74.852, 0
112.278, 74.852 to 149.704, 0
187.131, 149.704 to 224.557, 0
261.983, 224.557 to 299.409, 2
336.835, 299.409 to 374.261, 0
