Plate, 1
Well, 1
Count, 210
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
11.828, 0.000 to 23.657, 0
35.485, 23.657 to 47.314, 0
59.142, 47.314 to 70.970, 0
82.799, 70.970 to 94.627, 0
106.456, 94.627 to 118.284, 0
130.112, 118.284 to 141.941, 1
153.769, 141.941 to 165.597, 1
177.426, 165.597 to 189.254, 1
201.083, 189.254 to 212.911, 1
224.739, 212.911 to 236.568, 10
248.396, 236.568 to 260.225, 5
272.053, 260.225 to 283.881, 14
295.710, 283.881 to 307.538, 15
319.367, 307.538 to 331.195, 11
343.023, 331.195 to 354.852, 51
366.680, 354.852 to 378.509, 18
390.337, 378.509 to 402.165, 7
413.994, 402.165 to 425.822, 11
437.650, 425.822 to 449.479, 13
461.307, 449.479 to 473.136, 7
484.964, 473.136 to 496.792, 10
508.621, 496.792 to 520.449, 5
532.278, 520.449 to 544.106, 6
555.934, 544.106 to 567.763, 3
579.591, 567.763 to 591.420, 3
603.248, 591.420 to 615.076, 2
626.905, 615.076 to 638.733, 2
650.562, 638.733 to 662.390, 3
674.218, 662.390 to 686.047, 0
697.875, 686.047 to 709.703, 2
721.532, 709.703 to 733.360, 0
745.189, 733.360 to 757.017, 0
768.845, 757.017 to 780.674, 0
792.502, 780.674 to 804.331, 0
816.159, 804.331 to 827.987, 1
839.816, 827.987 to 851.644, 1
863.473, 851.644 to 875.301, 1
887.129, 875.301 to 898.958, 2
910.786, 898.958 to 922.615, 0
934.443, 922.615 to 946.271, 2
958.100, 946.271 to 969.928, 0
981.756, 969.928 to 993.585, 0
1005.413, 993.585 to 1017.242, 0
1029.070, 1017.242 to 1040.898, 0
1052.727, 1040.898 to 1064.555, 0
1076.384, 1064.555 to 1088.212, 0
1100.040, 1088.212 to 1111.869, 0
1123.697, 1111.869 to 1135.526, 0
1147.354, 1135.526 to 1159.182, 0
1171.011, 1159.182 to 1182.839, 1


Plate, 1
Well, 2
Count, 169
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
7.433, 0.000 to 14.867, 0
22.300, 14.867 to 29.734, 0
37.167, 29.734 to 44.600, 0
52.034, 44.600 to 59.467, 0
66.901, 59.467 to 74.334, 0
81.768, 74.334 to 89.201, 0
96.634, 89.201 to 104.068, 0
111.501, 104.068 to 118.935, 1
126.368, 118.935 to 133.801, 2
141.235, 133.801 to 148.668, 1
156.102, 148.668 to 163.535, 0
170.968, 163.535 to 178.402, 0
185.835, 178.402 to 193.269, 2
200.702, 193.269 to 208.136, 1
215.569, 208.136 to 223.002, 9
230.436, 223.002 to 237.869, 4
245.303, 237.869 to 252.736, 5
260.169, 252.736 to 267.603, 2
275.036, 267.603 to 282.470, 8
289.903, 282.470 to 297.336, 13
304.770, 297.336 to 312.203, 10
319.637, 312.203 to 327.070, 10
334.503, 327.070 to 341.937, 20
349.370, 341.937 to 356.804, 20
364.237, 356.804 to 371.671, 8
379.104, 371.671 to 386.537, 8
393.971, 386.537 to 401.404, 9
408.838, 401.404 to 416.271, 4
423.704, 416.271 to 431.138, 3
438.571, 431.138 to 446.005, 3
453.438, 446.005 to 460.871, 4
468.305, 460.871 to 475.738, 4
483.172, 475.738 to 490.605, 3
498.039, 490.605 to 505.472, 2
512.905, 505.472 to 520.339, 2
527.772, 520.339 to 535.206, 2
542.639, 535.206 to 550.072, 0
557.506, 550.072 to 564.939, 1
572.373, 564.939 to 579.806, 1
587.239, 579.806 to 594.673, 0
602.106, 594.673 to 609.540, 1
616.973, 609.540 to 624.407, 1
631.840, 624.407 to 639.273, 1
646.707, 639.273 to 654.140, 2
661.574, 654.140 to 669.007, 0
676.440, 669.007 to 683.874, 0
691.307, 683.874 to 698.741, 1
706.174, 698.741 to 713.607, 0
721.041, 713.607 to 728.474, 0
735.908, 728.474 to 743.341, 1


Plate, 1
Well, 3
Count, 168
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
13.133, 0.000 to 26.267, 0
39.400, 26.267 to 52.534, 0
65.667, 52.534 to 78.800, 0
91.934, 78.800 to 105.067, 0
118.201, 105.067 to 131.334, 1
144.467, 131.334 to 157.601, 2
170.734, 157.601 to 183.868, 1
197.001, 183.868 to 210.134, 1
223.268, 210.134 to 236.401, 10
249.535, 236.401 to 262.668, 11
275.801, 262.668 to 288.935, 25
302.068, 288.935 to 315.202, 18
328.335, 315.202 to 341.468, 19
354.602, 341.468 to 367.735, 33
380.869, 367.735 to 394.002, 10
407.135, 394.002 to 420.269, 10
433.402, 420.269 to 446.536, 11
459.669, 446.536 to 472.802, 4
485.936, 472.802 to 499.069, 0
512.203, 499.069 to 525.336, 4
538.469, 525.336 to 551.603, 3
564.736, 551.603 to 577.870, 1
591.003, 577.870 to 604.136, 0
617.270, 604.136 to 630.403, 1
643.537, 630.403 to 656.670, 0
669.803, 656.670 to 682.937, 1
696.070, 682.937 to 709.204, 0
722.337, 709.204 to 735.470, 0
748.604, 735.470 to 761.737, 0
774.871, 761.737 to 788.004, 1
801.137, 788.004 to 814.271, 0
827.404, 814.271 to 840.538, 0
853.671, 840.538 to 866.804, 0
879.938, 866.804 to 893.071, 0
906.205, 893.071 to 919.338, 0
932.471, 919.338 to 945.605, 0
958.738, 945.605 to 971.872, 0
985.005, 971.872 to 998.138, 0
1011.272, 998.138 to 1024.405, 0
1037.539, 1024.405 to 1050.672, 0
1063.805, 1050.672 to 1076.939, 0
1090.072, 1076.939 to 1103.206, 0
1116.339, 1103.206 to 1129.472, 0
1142.606, 1129.472 to 1155.739, 0
1168.872, 1155.739 to 1182.006, 0
1195.139, 1182.006 to 1208.273, 0
1221.406, 1208.273 to 1234.539, 0
1247.673, 1234.539 to 1260.806, 0
1273.940, 1260.806 to 1287.073, 0
1300.206, 1287.073 to 1313.340, 1


Plate, 1
Well, 4
Count, 167
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
7.902, 0.000 to 15.803, 0
23.705, 15.803 to 31.607, 0
39.508, 31.607 to 47.410, 0
55.312, 47.410 to 63.213, 0
71.115, 63.213 to 79.017, 0
86.918, 79.017 to 94.820, 0
102.722, 94.820 to 110.623, 0
118.525, 110.623 to 126.427, 0
134.328, 126.427 to 142.230, 2
150.132, 142.230 to 158.033, 0
165.935, 158.033 to 173.837, 3
181.738, 173.837 to 189.640, 2
197.542, 189.640 to 205.443, 0
