Plate, 2
Well, 1
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
1539550.336, 0.000 to 3079100.671, 7
4618651.007, 3079100.671 to 6158201.343, 13
7697751.679, 6158201.343 to 9237302.014, 6
10776852.350, 9237302.014 to 12316402.686, 5
13855953.022, 12316402.686 to 15395503.357, 6
16935053.693, 15395503.357 to 18474604.029, 3
20014154.365, 18474604.029 to 21553704.700, 17
23093255.036, 21553704.700 to 24632805.372, 5
26172355.708, 24632805.372 to 27711906.043, 6
29251456.379, 27711906.043 to 30791006.715, 4
32330557.051, 30791006.715 to 33870107.386, 2
35409657.722, 33870107.386 to 36949208.058, 4
38488758.394, 36949208.058 to 40028308.729, 2
41567859.065, 40028308.729 to 43107409.401, 0
44646959.737, 43107409.401 to 46186510.072, 2
47726060.408, 46186510.072 to 49265610.744, 3
50805161.080, 49265610.744 to 52344711.415, 0
53884261.751, 52344711.415 to 55423812.087, 1
56963362.423, 55423812.087 to 58502912.758, 2
60042463.094, 58502912.758 to 61582013.430, 1
63121563.766, 61582013.430 to 64661114.101, 0
66200664.437, 64661114.101 to 67740214.773, 0
69279765.109, 67740214.773 to 70819315.444, 1
72358865.780, 70819315.444 to 73898416.116, 0
75437966.452, 73898416.116 to 76977516.787, 0
78517067.123, 76977516.787 to 80056617.459, 0
81596167.795, 80056617.459 to 83135718.130, 0
84675268.466, 83135718.130 to 86214818.802, 0
87754369.138, 86214818.802 to 89293919.473, 0
90833469.809, 89293919.473 to 92373020.145, 1
93912570.481, 92373020.145 to 95452120.816, 0
96991671.152, 95452120.816 to 98531221.488, 0
100070771.824, 98531221.488 to 101610322.159, 0
103149872.495, 101610322.159 to 104689422.831, 0
106228973.167, 104689422.831 to 107768523.502, 0
109308073.838, 107768523.502 to 110847624.174, 0
112387174.510, 110847624.174 to 113926724.845, 0
115466275.181, 113926724.845 to 117005825.517, 0
118545375.853, 117005825.517 to 120084926.188, 0
121624476.524, 120084926.188 to 123164026.860, 0
124703577.196, 123164026.860 to 126243127.531, 0
127782677.867, 126243127.531 to 129322228.203, 0
130861778.539, 129322228.203 to 132401328.874, 0
133940879.210, 132401328.874 to 135480429.546, 0
137019979.882, 135480429.546 to 138559530.217, 0
140099080.553, 138559530.217 to 141638630.889, 0
143178181.225, 141638630.889 to 144717731.560, 1
146257281.896, 144717731.560 to 147796832.232, 0
149336382.568, 147796832.232 to 150875932.903, 0
152415483.239, 150875932.903 to 153955033.575, 1


Plate, 2
Well, 2
Count, 85
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
4041150.622, 0.000 to 8082301.243, 9
12123451.865, 8082301.243 to 16164602.487, 21
20205753.109, 16164602.487 to 24246903.730, 23
28288054.352, 24246903.730 to 32329204.974, 11
36370355.595, 32329204.974 to 40411506.217, 6
44452656.839, 40411506.217 to 48493807.460, 4
52534958.082, 48493807.460 to 56576108.704, 3
60617259.326, 56576108.704 to 64658409.947, 2
68699560.569, 64658409.947 to 72740711.191, 1
76781861.812, 72740711.191 to 80823012.434, 0
84864163.056, 80823012.434 to 88905313.678, 0
92946464.299, 88905313.678 to 96987614.921, 0
101028765.543, 96987614.921 to 105069916.164, 0
109111066.786, 105069916.164 to 113152217.408, 1
117193368.030, 113152217.408 to 121234518.651, 1
125275669.273, 121234518.651 to 129316819.895, 0
133357970.516, 129316819.895 to 137399121.138, 0
141440271.760, 137399121.138 to 145481422.381, 0
149522573.003, 145481422.381 to 153563723.625, 1
157604874.247, 153563723.625 to 161646024.868, 0
165687175.490, 161646024.868 to 169728326.112, 0
173769476.733, 169728326.112 to 177810627.355, 1
181851777.977, 177810627.355 to 185892928.599, 0
189934079.220, 185892928.599 to 193975229.842, 0
198016380.464, 193975229.842 to 202057531.085, 0
206098681.707, 202057531.085 to 210139832.329, 0
214180982.951, 210139832.329 to 218222133.572, 0
222263284.194, 218222133.572 to 226304434.816, 0
230345585.437, 226304434.816 to 234386736.059, 0
238427886.681, 234386736.059 to 242469037.302, 0
246510187.924, 242469037.302 to 250551338.546, 0
254592489.168, 250551338.546 to 258633639.789, 0
262674790.411, 258633639.789 to 266715941.033, 0
270757091.654, 266715941.033 to 274798242.276, 0
278839392.898, 274798242.276 to 282880543.520, 0
286921694.141, 282880543.520 to 290962844.763, 0
295003995.385, 290962844.763 to 299045146.006, 0
303086296.628, 299045146.006 to 307127447.250, 0
311168597.871, 307127447.250 to 315209748.493, 0
319250899.115, 315209748.493 to 323292049.737, 0
327333200.358, 323292049.737 to 331374350.980, 0
335415501.602, 331374350.980 to 339456652.223, 0
343497802.845, 339456652.223 to 347538953.467, 0
351580104.089, 347538953.467 to 355621254.710, 0
359662405.332, 355621254.710 to 363703555.954, 0
