Plate, 2
Well, 4
Count, 48

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
347.902, 95061.227, 0.203, 19340.726, 22047985.822, 1449.260, 9990.667, 25908.000
430.662, 145667.822, 0.113, 16490.696, 41822427.787, 5175.759, 9482.667, 6604.000
369.431, 107190.654, 0.137, 14648.010, 26399711.606, 2176.773, 30056.667, 28956.000
377.978, 112207.884, 0.116, 12972.986, 28274755.648, 3090.043, 17864.667, 4318.000
341.858, 91786.864, 0.174, 16006.845, 20918695.644, 2864.938, 11006.667, 16510.000
307.451, 74240.710, 0.154, 11461.350, 15216927.763, 1060.870, 30564.667, 26839.333
300.229, 70793.989, 0.129, 9100.510, 14169625.688, 1608.667, 23283.333, 27347.333
124.792, 12230.964, 0.155, 1896.254, 1017547.802, 2324.867, 17272.000, 35136.667
343.638, 92745.126, 0.133, 12342.142, 21247138.196, 4210.411, 31919.333, 16510.000
352.100, 97369.168, 0.107, 10404.530, 22855777.103, 838.157, 7281.333, 19727.333
343.638, 92745.126, 0.121, 11210.634, 21247138.196, 1514.563, 30818.667, 22775.333
341.858, 91786.864, 0.113, 10412.377, 20918695.644, 1060.870, 30056.667, 25908.000
475.047, 177240.720, 0.099, 17585.402, 56131811.623, 2066.977, 20150.667, 26754.667
299.447, 70425.457, 0.343, 24128.986, 14059125.652, 3438.134, 13716.000, 34882.667
341.858, 91786.864, 0.124, 11371.079, 20918695.644, 4789.470, 31242.000, 11768.667
355.437, 99223.585, 0.108, 10737.100, 23511815.996, 1976.563, 24638.000, 30395.333
341.868, 91792.151, 0.121, 11080.985, 20920502.882, 1561.176, 22944.667, 7450.667
341.858, 91786.864, 0.109, 10018.030, 20918695.644, 1581.704, 21420.667, 7027.333
333.631, 87422.595, 0.106, 9223.974, 19444614.521, 2864.938, 8636.000, 14901.333
328.925, 84973.412, 0.110, 9371.968, 18633240.306, 3775.981, 14224.000, 22098.000
395.375, 122774.234, 0.100, 12275.766, 32361202.601, 1449.260, 10160.000, 24468.667
295.600, 68627.394, 0.109, 7504.618, 13524152.626, 3403.558, 8720.667, 29379.333
262.440, 54094.253, 0.222, 12012.556, 9464343.457, 2570.857, 5334.000, 29718.000
248.783, 48610.682, 0.117, 5663.417, 8062344.890, 5097.608, 18711.333, 11345.333
340.066, 90827.337, 0.101, 9144.243, 20591532.591, 1514.563, 31496.000, 21420.667
362.580, 103251.645, 0.096, 9900.730, 24957970.790, 838.157, 7874.000, 20320.000
390.833, 119969.802, 0.111, 13371.485, 31258757.632, 2324.867, 18542.000, 33189.333
340.078, 90833.579, 0.097, 8793.478, 20593655.406, 4015.200, 11345.333, 11938.000
167.510, 22037.923, 0.139, 3062.773, 2461046.354, 2123.429, 22436.667, 30903.333
576.731, 261237.866, 0.130, 33895.668, 100442610.768, 3078.422, 28448.000, 31580.667
138.095, 14977.745, 0.106, 1583.919, 1378902.087, 3413.022, 4910.667, 17272.000
307.451, 74240.710, 0.097, 7232.322, 15216927.763, 2202.961, 7789.333, 22521.333
300.229, 70793.989, 0.097, 6889.367, 14169625.688, 3775.981, 17018.000, 24638.000
253.330, 50403.975, 0.112, 5667.499, 8512575.716, 2201.333, 23283.333, 32935.333
298.634, 70043.662, 0.100, 7030.319, 13944953.494, 1561.176, 32004.000, 23791.333
345.171, 93574.942, 0.102, 9574.258, 21532931.183, 2570.857, 4572.000, 27262.667
322.420, 81645.642, 0.099, 8111.484, 17549442.153, 661.268, 10583.333, 32258.000
226.133, 40162.109, 0.107, 4313.987, 6054643.423, 1070.958, 22182.667, 24553.333
590.820, 274157.820, 0.101, 27708.350, 107985329.470, 3900.184, 1439.333, 19050.000
242.913, 46343.675, 0.110, 5103.307, 7504979.427, 1743.393, 33020.000, 20574.000
226.133, 40162.109, 0.110, 4432.398, 6054643.423, 3090.043, 20912.667, 3810.000
262.537, 54134.167, 0.097, 5255.009, 9474820.465, 1070.958, 21844.000, 25569.333
104.842, 8633.040, 0.109, 944.770, 603405.737, 1969.296, 11938.000, 25315.333
123.809, 12039.186, 0.103, 1236.752, 993709.586, 4152.121, 14647.333, 6942.667
217.621, 37195.693, 0.102, 3799.369, 5396383.125, 1561.176, 23283.333, 5926.667
252.646, 50131.975, 0.097, 4866.501, 8443762.708, 3025.575, 25823.333, 8382.000
347.216, 94686.933, 0.097, 9147.326, 21917896.698, 661.268, 11006.667, 32766.000
226.133, 40162.109, 0.103, 4140.878, 6054643.423, 1608.667, 23283.333, 28956.000



ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	18:38:38
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2\Plate2.ics
