Plate, 2
Well, 1
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
44.617, 0.000 to 89.234, 0
133.851, 89.234 to 178.468, 0
223.085, 178.468 to 267.702, 0
312.319, 267.702 to 356.936, 0
401.553, 356.936 to 446.170, 0
490.787, 446.170 to 535.404, 0
580.021, 535.404 to 624.638, 4
669.255, 624.638 to 713.872, 2
758.489, 713.872 to 803.106, 7
847.723, 803.106 to 892.340, 9
936.957, 892.340 to 981.574, 2
1026.191, 981.574 to 1070.808, 6
1115.425, 1070.808 to 1160.042, 2
1204.659, 1160.042 to 1249.276, 1
1293.893, 1249.276 to 1338.510, 5
1383.127, 1338.510 to 1427.744, 10
1472.361, 1427.744 to 1516.978, 4
1561.595, 1516.978 to 1606.212, 6
1650.829, 1606.212 to 1695.446, 2
1740.063, 1695.446 to 1784.680, 3
1829.297, 1784.680 to 1873.914, 3
1918.531, 1873.914 to 1963.148, 0
2007.765, 1963.148 to 2052.382, 4
2096.999, 2052.382 to 2141.616, 2
2186.233, 2141.616 to 2230.850, 1
2275.467, 2230.850 to 2320.084, 3
2364.701, 2320.084 to 2409.318, 2
2453.935, 2409.318 to 2498.552, 3
2543.169, 2498.552 to 2587.786, 0
2632.403, 2587.786 to 2677.020, 3
2721.637, 2677.020 to 2766.254, 2
2810.871, 2766.254 to 2855.488, 1
2900.105, 2855.488 to 2944.722, 0
2989.339, 2944.722 to 3033.956, 0
3078.573, 3033.956 to 3123.190, 1
3167.807, 3123.190 to 3212.424, 1
3257.041, 3212.424 to 3301.658, 0
3346.275, 3301.658 to 3390.892, 0
3435.509, 3390.892 to 3480.126, 0
3524.743, 3480.126 to 3569.360, 0
3613.977, 3569.360 to 3658.594, 0
3703.211, 3658.594 to 3747.828, 0
3792.445, 3747.828 to 3837.062, 1
3881.679, 3837.062 to 3926.296, 0
3970.913, 3926.296 to 4015.530, 1
4060.147, 4015.530 to 4104.764, 0
4149.381, 4104.764 to 4193.998, 0
4238.615, 4193.998 to 4283.232, 0
4327.849, 4283.232 to 4372.466, 0
4417.083, 4372.466 to 4461.700, 2


Plate, 2
Well, 2
Count, 85
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
53.935, 0.000 to 107.869, 0
161.804, 107.869 to 215.739, 2
269.674, 215.739 to 323.608, 2
377.543, 323.608 to 431.478, 0
485.413, 431.478 to 539.347, 8
593.282, 539.347 to 647.217, 4
701.151, 647.217 to 755.086, 1
809.021, 755.086 to 862.956, 2
916.890, 862.956 to 970.825, 6
1024.760, 970.825 to 1078.695, 5
1132.629, 1078.695 to 1186.564, 2
1240.499, 1186.564 to 1294.433, 10
1348.368, 1294.433 to 1402.303, 3
1456.238, 1402.303 to 1510.172, 3
1564.107, 1510.172 to 1618.042, 5
1671.977, 1618.042 to 1725.911, 3
1779.846, 1725.911 to 1833.781, 5
1887.715, 1833.781 to 1941.650, 1
1995.585, 1941.650 to 2049.520, 3
2103.454, 2049.520 to 2157.389, 0
2211.324, 2157.389 to 2265.259, 2
