Plate, 2
Well, 5
Count, 14

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
343.638, 92745.126, 0.138, 12811.859, 21247138.196, 7569.503, 27686.000, 27940.000
355.437, 99223.585, 0.113, 11225.506, 23511815.996, 4064.882, 21590.000, 32427.333
365.538, 104943.596, 0.108, 11328.562, 25573944.054, 883.946, 16086.667, 31665.333
268.204, 56496.429, 0.122, 6919.999, 10101719.318, 12446.288, 12869.333, 3640.667
322.420, 81645.642, 0.108, 8800.669, 17549442.153, 5997.006, 7027.333, 29210.000
343.638, 92745.126, 0.102, 9424.668, 21247138.196, 11416.194, 2963.333, 11176.000
257.278, 51986.950, 0.109, 5642.005, 8916723.733, 883.946, 16933.333, 31411.333
333.631, 87422.595, 0.110, 9578.171, 19444614.521, 11616.316, 34459.333, 17356.667
191.890, 28919.777, 0.108, 3128.320, 3699612.278, 4778.231, 12869.333, 27855.333
384.847, 116323.393, 0.105, 12240.363, 29844505.947, 1103.918, 17526.000, 32342.667
217.621, 37195.693, 0.108, 4014.519, 5396383.125, 1188.353, 17018.000, 30226.000
308.374, 74687.069, 0.097, 7275.805, 15354367.178, 8555.105, 1693.333, 22521.333
226.133, 40162.109, 0.109, 4393.246, 6054643.423, 11616.316, 28532.667, 7366.000
186.421, 27294.818, 0.105, 2853.568, 3392220.778, 11888.659, 21251.333, 16764.000



ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	18:39:36
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics
