,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,10099.731137095032,210,397.383544921875,146.86329650878906,140965.234375,129917.2578125,29602700.32782556,0.12190376222133636,0.042715322226285934,25.599789807559908,19943.458984375,25717.76171875,4188126.3010201356,49649568,87708952,10426409256.138584,1061.03515625,544.416748046875,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,1.0824742268041236
1,1,PEO1 TX,1.953125e-05,2,A02,750,891.8276835440004,8854.071714903452,169,350.09979248046875,104.04930114746094,104769.0625,66767.5234375,17705971.736729722,0.1047637015581131,0.03211512789130211,17.705065079765017,11977.458984375,12188.3359375,2024190.565758569,28971454,30878918,4896175638.647553,1264.18310546875,608.0872192382812,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.8711340206185566
2,1,PEO1 TX,3.90625e-05,3,A03,750,887.3517674786393,8236.880923944747,168,344.9186096191406,118.1729507446289,104405.875,112685.8359375,17540187.500038356,0.08941660076379776,0.027093475684523582,15.021988516139306,9836.4912109375,11059.6826171875,1652530.5242912506,32265778,93217640,5420650740.256316,1212.86962890625,589.0320434570312,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.8659793814432989
3,1,PEO1 TX,7.8125e-05,4,B01,750,914.3761663638393,11313.406955887458,167,358.2197570800781,98.09550476074219,108341.0625,63083.3046875,18092957.7500115,0.12681420147418976,0.0350344218313694,21.177971589939013,14637.6298828125,12187.5849609375,2444484.260228827,29888218,29672956,4991332517.540898,1233.5428466796875,664.1282348632812,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.8608247422680411
4,1,PEO1 TX,0.00015625,5,B02,750,914.3761663638393,10322.493411596024,166,383.0279235839844,116.55609893798828,125895.953125,81431.53125,20898728.763626445,0.12751364707946777,0.042193856090307236,21.167266307145738,17485.423828125,17815.244140625,2902580.295949959,38197380,45142072,6340765296.842012,1295.540771484375,600.9017333984375,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.8556701030927834
5,1,PEO1 TX,0.0003125,6,B03,750,941.8059312323173,9255.497066105994,128,357.9892578125,109.57584381103516,110083.8984375,65758.015625,14090738.881686114,0.1133396252989769,0.04220302030444145,14.507471589413308,13812.2734375,13064.87109375,1767970.9621862206,30967780,28366678,3963875774.723729,1296.687255859375,755.6863403320312,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate1_2\Plate1.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.6597938144329896
6,2,PEO1 TX,0.000625,1,A01,750,941.8059312323173,8374.762457629153,93,326.42041015625,105.44758605957031,92417.390625,59576.046875,8594817.341099473,0.0979229137301445,0.02975628525018692,9.106831013731306,9929.625,10384.958984375,923455.1637388634,24182116,24885790,2248936826.3209887,1611.056884765625,837.612548828125,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.479381443298969
7,2,PEO1 TX,0.00125,2,A02,750,941.8059312323173,9190.889937077465,85,356.205078125,117.09619903564453,110421.9375,87453.8125,9385864.564446311,0.10641701519489288,0.03211897611618042,9.045446169913003,13058.8642578125,16738.22265625,1110003.4277847253,32797470,49934520,2787784910.241259,1556.066162109375,986.8140258789062,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.43814432989690716
8,2,PEO1 TX,0.0025,3,A03,750,914.3761663638393,9015.597008210769,30,280.50128173828125,70.16951751708984,65663.0,29361.97265625,1969889.8995956955,0.09506750851869583,0.012066640891134739,2.852025162254734,6367.12841796875,3219.421875,191013.85048436275,13639410,8357055,409182288.55271447,2665.9658203125,1292.2493896484375,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.15463917525773194
9,2,PEO1 TX,0.005,4,B01,750,941.8059312323173,11324.418015559302,48,311.7861633300781,96.28191375732422,83629.8359375,51301.19921875,4014232.2486708798,0.1218479722738266,0.041390687227249146,5.848702610979609,10051.3984375,6458.11279296875,482467.1326241643,20566294,20413264,987182121.8511667,2418.46435546875,1187.1728515625,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.2474226804123711
10,2,PEO1 TX,0.01,5,B02,750,918.9196434264134,11627.369076335035,14,293.21929931640625,64.9741439819336,70842.28125,28898.060546875,991791.9082166263,0.11013485491275787,0.009478863328695297,1.5418879210296728,7831.23291015625,3313.859130859375,109637.2600549386,15095305,8471011,211334268.89646396,6714.90478515625,4433.61962890625,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.07216494845360824
11,2,PEO1 TX,0.0,6,B03,750,955.6728259102854,12587.881636786253,178,369.09405517578125,114.03852844238281,117209.0546875,80476.28125,20863211.121218223,0.13792090117931366,0.0599762387573719,24.549919392300723,17231.388671875,16593.55859375,3067187.148542555,34832464,40446680,6200178366.448914,1139.0379638671875,653.0872192382812,2020-08-02,18:39:36,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_18-28\Plate2_2\Plate2.ics,Talazoparib,PEO1,TX,0.2586666666666667,0.9175257731958761
