Plate, 1
Well, 5
Count, 240

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
660.574, 342714.287, 0.211, 72340.717, 150925323.142, 871.697, 3048.000, 24045.333
686.424, 370062.531, 0.171, 63461.172, 169346596.127, 1151.591, 4826.000, 27093.333
647.125, 328902.221, 0.214, 70238.651, 141893992.665, 798.744, 7281.333, 20658.667
712.450, 398656.534, 0.198, 78933.026, 189348613.831, 728.330, 14139.333, 19304.000
558.755, 245207.007, 0.192, 47048.581, 91340443.137, 1507.447, 26670.000, 12107.333
686.424, 370062.531, 0.181, 67108.358, 169346596.127, 2061.768, 9398.000, 28956.000
529.925, 220555.993, 0.201, 44339.493, 77918771.276, 1033.488, 30564.667, 14732.000
614.010, 296101.272, 0.196, 58144.359, 121206025.126, 1322.536, 4064.000, 25315.333
540.118, 229122.048, 0.174, 39918.067, 82501932.920, 1151.591, 2709.333, 20235.333
604.844, 287327.179, 0.211, 60653.118, 115858756.799, 2060.029, 16594.667, 29125.333
532.975, 223102.017, 0.198, 44169.597, 79271859.662, 757.282, 24299.333, 6773.333
651.217, 333074.879, 0.157, 52319.788, 144602772.132, 780.588, 16594.667, 3302.000
489.539, 188219.257, 0.177, 33378.027, 61427081.522, 1179.270, 13038.667, 31665.333
387.440, 117895.735, 0.216, 25424.030, 30451657.804, 349.090, 24045.333, 5757.333
515.839, 208986.398, 0.198, 41424.924, 71868872.486, 2047.813, 30395.333, 11514.667
495.011, 192450.636, 0.233, 44893.943, 63510104.257, 728.330, 14562.667, 18711.333
443.259, 154314.132, 0.273, 42181.249, 45600788.227, 1139.074, 24045.333, 9821.333
498.066, 194833.342, 0.175, 34128.907, 64693212.950, 728.330, 32512.000, 23198.667
547.261, 235222.221, 0.196, 46201.487, 85818578.971, 723.392, 11684.000, 33104.667
505.531, 200717.562, 0.198, 39668.786, 67645959.539, 1016.000, 17441.333, 2540.000
515.839, 208986.398, 0.187, 39107.688, 71868872.486, 780.588, 1524.000, 20066.000
409.380, 131626.706, 0.217, 28532.618, 35923597.459, 2437.753, 20828.000, 29210.000
610.445, 292673.043, 0.152, 44445.728, 119107164.263, 644.802, 30734.000, 7366.000
699.059, 383811.070, 0.216, 82811.853, 178871045.070, 610.540, 2878.667, 10922.000
512.161, 206016.621, 0.177, 36500.214, 70342401.482, 508.000, 31665.333, 22606.000
488.145, 187148.969, 0.215, 40317.669, 60903879.824, 863.434, 15155.333, 9567.333
