Plate, 2
Well, 1
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5239.049, 0.000 to 10478.097, 0
15717.146, 10478.097 to 20956.194, 1
26195.243, 20956.194 to 31434.292, 1
36673.340, 31434.292 to 41912.389, 4
47151.437, 41912.389 to 52390.486, 9
57629.535, 52390.486 to 62868.583, 8
68107.632, 62868.583 to 73346.680, 11
78585.729, 73346.680 to 83824.778, 4
89063.826, 83824.778 to 94302.875, 27
99541.923, 94302.875 to 104780.972, 14
110020.021, 104780.972 to 115259.069, 15
120498.118, 115259.069 to 125737.166, 6
130976.215, 125737.166 to 136215.264, 5
141454.312, 136215.264 to 146693.361, 8
151932.409, 146693.361 to 157171.458, 4
162410.507, 157171.458 to 167649.555, 2
172888.604, 167649.555 to 178127.652, 2
183366.701, 178127.652 to 188605.750, 4
193844.798, 188605.750 to 199083.847, 2
204322.895, 199083.847 to 209561.944, 7
214800.993, 209561.944 to 220040.041, 0
225279.090, 220040.041 to 230518.138, 2
235757.187, 230518.138 to 240996.236, 1
246235.284, 240996.236 to 251474.333, 2
256713.381, 251474.333 to 261952.430, 1
267191.479, 261952.430 to 272430.527, 1
277669.576, 272430.527 to 282908.624, 0
288147.673, 282908.624 to 293386.722, 1
298625.770, 293386.722 to 303864.819, 0
309103.867, 303864.819 to 314342.916, 0
319581.965, 314342.916 to 324821.013, 0
330060.062, 324821.013 to 335299.110, 0
340538.159, 335299.110 to 345777.208, 3
351016.256, 345777.208 to 356255.305, 1
361494.353, 356255.305 to 366733.402, 0
371972.451, 366733.402 to 377211.499, 0
382450.548, 377211.499 to 387689.596, 0
392928.645, 387689.596 to 398167.694, 0
403406.742, 398167.694 to 408645.791, 0
413884.839, 408645.791 to 419123.888, 0
424362.937, 419123.888 to 429601.985, 0
434841.034, 429601.985 to 440080.082, 2
445319.131, 440080.082 to 450558.180, 0
455797.228, 450558.180 to 461036.277, 0
466275.325, 461036.277 to 471514.374, 0
476753.423, 471514.374 to 481992.471, 1
487231.520, 481992.471 to 492470.568, 0
497709.617, 492470.568 to 502948.666, 1
508187.714, 502948.666 to 513426.763, 0
518665.811, 513426.763 to 523904.860, 1


Plate, 2
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
17883.020, 0.000 to 35766.041, 2
53649.061, 35766.041 to 71532.081, 29
89415.101, 71532.081 to 107298.122, 71
125181.142, 107298.122 to 143064.162, 34
160947.182, 143064.162 to 178830.203, 15
196713.223, 178830.203 to 214596.243, 10
232479.263, 214596.243 to 250362.284, 7
268245.304, 250362.284 to 286128.324, 4
304011.344, 286128.324 to 321894.365, 1
339777.385, 321894.365 to 357660.405, 2
375543.425, 357660.405 to 393426.446, 0
411309.466, 393426.446 to 429192.486, 2
447075.506, 429192.486 to 464958.527, 3
482841.547, 464958.527 to 500724.567, 0
518607.587, 500724.567 to 536490.608, 0
554373.628, 536490.608 to 572256.648, 0
590139.668, 572256.648 to 608022.689, 1
625905.709, 608022.689 to 643788.729, 0
661671.749, 643788.729 to 679554.770, 0
697437.790, 679554.770 to 715320.810, 0
733203.831, 715320.810 to 751086.851, 0
