Plate, 2
Well, 1
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.015, 0
0.018, 0.015 to 0.021, 0
0.023, 0.021 to 0.026, 0
0.028, 0.026 to 0.031, 0
0.034, 0.031 to 0.036, 0
0.039, 0.036 to 0.041, 0
0.044, 0.041 to 0.046, 0
0.049, 0.046 to 0.052, 0
0.054, 0.052 to 0.057, 0
0.059, 0.057 to 0.062, 0
0.065, 0.062 to 0.067, 0
0.070, 0.067 to 0.072, 0
0.075, 0.072 to 0.077, 0
0.080, 0.077 to 0.083, 0
0.085, 0.083 to 0.088, 19
0.090, 0.088 to 0.093, 14
0.095, 0.093 to 0.098, 14
0.101, 0.098 to 0.103, 20
0.106, 0.103 to 0.108, 14
0.111, 0.108 to 0.114, 12
0.116, 0.114 to 0.119, 2
0.121, 0.119 to 0.124, 10
0.126, 0.124 to 0.129, 6
0.132, 0.129 to 0.134, 6
0.137, 0.134 to 0.139, 1
0.142, 0.139 to 0.145, 1
0.147, 0.145 to 0.150, 3
0.152, 0.150 to 0.155, 1
0.157, 0.155 to 0.160, 4
0.163, 0.160 to 0.165, 3
0.168, 0.165 to 0.170, 4
0.173, 0.170 to 0.175, 2
0.178, 0.175 to 0.181, 2
0.183, 0.181 to 0.186, 1
0.188, 0.186 to 0.191, 3
0.194, 0.191 to 0.196, 3
0.199, 0.196 to 0.201, 1
0.204, 0.201 to 0.206, 2
0.209, 0.206 to 0.212, 0
0.214, 0.212 to 0.217, 0
0.219, 0.217 to 0.222, 0
0.225, 0.222 to 0.227, 1
0.230, 0.227 to 0.232, 0
0.235, 0.232 to 0.237, 0
0.240, 0.237 to 0.243, 0
0.245, 0.243 to 0.248, 0
0.250, 0.248 to 0.253, 0
0.255, 0.253 to 0.258, 2


Plate, 2
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.022, 0
0.025, 0.022 to 0.029, 0
0.032, 0.029 to 0.036, 0
0.039, 0.036 to 0.043, 0
0.047, 0.043 to 0.050, 0
0.054, 0.050 to 0.057, 0
0.061, 0.057 to 0.065, 0
0.068, 0.065 to 0.072, 0
0.075, 0.072 to 0.079, 0
0.082, 0.079 to 0.086, 0
0.090, 0.086 to 0.093, 1
0.097, 0.093 to 0.100, 9
0.104, 0.100 to 0.108, 35
0.111, 0.108 to 0.115, 33
0.118, 0.115 to 0.122, 26
0.125, 0.122 to 0.129, 19
0.133, 0.129 to 0.136, 9
0.140, 0.136 to 0.143, 4
0.147, 0.143 to 0.151, 6
0.154, 0.151 to 0.158, 3
0.161, 0.158 to 0.165, 12
0.168, 0.165 to 0.172, 6
0.176, 0.172 to 0.179, 5
0.183, 0.179 to 0.186, 4
0.190, 0.186 to 0.194, 2
0.197, 0.194 to 0.201, 2
0.204, 0.201 to 0.208, 0
0.212, 0.208 to 0.215, 2
0.219, 0.215 to 0.222, 3
0.226, 0.222 to 0.229, 0
0.233, 0.229 to 0.237, 0
0.240, 0.237 to 0.244, 0
0.247, 0.244 to 0.251, 0
0.255, 0.251 to 0.258, 1
0.262, 0.258 to 0.265, 0
0.269, 0.265 to 0.272, 0
0.276, 0.272 to 0.280, 0
0.283, 0.280 to 0.287, 0
0.290, 0.287 to 0.294, 0
0.298, 0.294 to 0.301, 0
0.305, 0.301 to 0.308, 0
0.312, 0.308 to 0.315, 0
0.319, 0.315 to 0.323, 0
0.326, 0.323 to 0.330, 0
0.333, 0.330 to 0.337, 0
0.341, 0.337 to 0.344, 0
0.348, 0.344 to 0.351, 0
0.355, 0.351 to 0.358, 1


Plate, 2
Well, 3
Count, 121
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.013, 0
0.016, 0.013 to 0.020, 0
0.023, 0.020 to 0.026, 0
0.029, 0.026 to 0.033, 0
0.036, 0.033 to 0.039, 0
0.042, 0.039 to 0.046, 0
0.049, 0.046 to 0.052, 0
0.055, 0.052 to 0.059, 0
0.062, 0.059 to 0.065, 0
0.068, 0.065 to 0.072, 0
0.075, 0.072 to 0.078, 0
0.081, 0.078 to 0.085, 0
0.088, 0.085 to 0.091, 0
0.094, 0.091 to 0.098, 0
0.101, 0.098 to 0.104, 4
0.107, 0.104 to 0.111, 22
0.114, 0.111 to 0.117, 25
0.120, 0.117 to 0.124, 19
0.127, 0.124 to 0.130, 14
0.133, 0.130 to 0.137, 8
0.140, 0.137 to 0.143, 10
0.146, 0.143 to 0.150, 3
0.153, 0.150 to 0.156, 2
0.159, 0.156 to 0.163, 1
0.166, 0.163 to 0.169, 2
0.173, 0.169 to 0.176, 2
0.179, 0.176 to 0.182, 2
0.186, 0.182 to 0.189, 3
0.192, 0.189 to 0.195, 1
0.199, 0.195 to 0.202, 2
0.205, 0.202 to 0.208, 0
0.212, 0.208 to 0.215, 0
0.218, 0.215 to 0.221, 0
0.225, 0.221 to 0.228, 0
0.231, 0.228 to 0.234, 0
0.238, 0.234 to 0.241, 0
0.244, 0.241 to 0.247, 0
0.251, 0.247 to 0.254, 0
0.257, 0.254 to 0.260, 0
0.264, 0.260 to 0.267, 0
0.270, 0.267 to 0.273, 0
0.277, 0.273 to 0.280, 0
0.283, 0.280 to 0.286, 0
0.290, 0.286 to 0.293, 0
0.296, 0.293 to 0.299, 0
0.303, 0.299 to 0.306, 0
0.309, 0.306 to 0.312, 0
0.316, 0.312 to 0.319, 0
0.322, 0.319 to 0.325, 1


Plate, 2
Well, 4
Count, 50
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.010, 0
0.014, 0.010 to 0.019, 0
0.024, 0.019 to 0.029, 0
0.033, 0.029 to 0.038, 0
0.043, 0.038 to 0.048, 0
0.052, 0.048 to 0.057, 0
0.062, 0.057 to 0.067, 0
0.071, 0.067 to 0.076, 0
0.081, 0.076 to 0.086, 2
0.091, 0.086 to 0.095, 12
0.100, 0.095 to 0.105, 18
0.110, 0.105 to 0.114, 5
0.119, 0.114 to 0.124, 2
0.129, 0.124 to 0.133, 4
0.138, 0.133 to 0.143, 1
0.148, 0.143 to 0.152, 1
0.157, 0.152 to 0.162, 2
0.167, 0.162 to 0.172, 1
0.176, 0.172 to 0.181, 1
0.186, 0.181 to 0.191, 0
0.195, 0.191 to 0.200, 0
0.205, 0.200 to 0.210, 0
0.214, 0.210 to 0.219, 0
0.224, 0.219 to 0.229, 0
0.233, 0.229 to 0.238, 0
0.243, 0.238 to 0.248, 0
0.252, 0.248 to 0.257, 0
0.262, 0.257 to 0.267, 0
0.272, 0.267 to 0.276, 0
0.281, 0.276 to 0.286, 0
0.291, 0.286 to 0.295, 0
0.300, 0.295 to 0.305, 0
0.310, 0.305 to 0.314, 0
0.319, 0.314 to 0.324, 0
0.329, 0.324 to 0.333, 0
0.338, 0.333 to 0.343, 0
0.348, 0.343 to 0.353, 0
0.357, 0.353 to 0.362, 0
0.367, 0.362 to 0.372, 0
0.376, 0.372 to 0.381, 0
0.386, 0.381 to 0.391, 0
0.395, 0.391 to 0.400, 0
0.405, 0.400 to 0.410, 0
0.414, 0.410 to 0.419, 0
0.424, 0.419 to 0.429, 0
0.434, 0.429 to 0.438, 0
0.443, 0.438 to 0.448, 0
0.453, 0.448 to 0.457, 0
0.462, 0.457 to 0.467, 0
0.472, 0.467 to 0.476, 1


Plate, 2
Well, 5
Count, 22
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.009, 0
0.012, 0.009 to 0.014, 0
0.017, 0.014 to 0.019, 0
0.021, 0.019 to 0.024, 0
0.026, 0.024 to 0.028, 0
0.031, 0.028 to 0.033, 0
0.036, 0.033 to 0.038, 0
0.040, 0.038 to 0.043, 0
0.045, 0.043 to 0.047, 0
0.050, 0.047 to 0.052, 0
