Plate, 2
Well, 1
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.167, 0.000 to 16.335, 0
24.502, 16.335 to 32.669, 0
40.837, 32.669 to 49.004, 0
57.171, 49.004 to 65.339, 0
73.506, 65.339 to 81.674, 0
89.841, 81.674 to 98.008, 0
106.176, 98.008 to 114.343, 0
122.510, 114.343 to 130.678, 0
138.845, 130.678 to 147.012, 0
155.180, 147.012 to 163.347, 1
171.514, 163.347 to 179.682, 0
187.849, 179.682 to 196.016, 1
204.184, 196.016 to 212.351, 1
220.519, 212.351 to 228.686, 3
236.853, 228.686 to 245.021, 5
253.188, 245.021 to 261.355, 5
269.523, 261.355 to 277.690, 0
285.857, 277.690 to 294.025, 11
302.192, 294.025 to 310.359, 9
318.527, 310.359 to 326.694, 2
334.861, 326.694 to 343.029, 18
351.196, 343.029 to 359.363, 19
367.531, 359.363 to 375.698, 15
383.866, 375.698 to 392.033, 8
400.200, 392.033 to 408.368, 4
416.535, 408.368 to 424.702, 8
432.870, 424.702 to 441.037, 6
449.204, 441.037 to 457.372, 3
465.539, 457.372 to 473.706, 1
481.874, 473.706 to 490.041, 5
498.208, 490.041 to 506.376, 4
514.543, 506.376 to 522.711, 5
530.878, 522.711 to 539.045, 2
547.213, 539.045 to 555.380, 1
563.547, 555.380 to 571.715, 2
579.882, 571.715 to 588.049, 2
596.217, 588.049 to 604.384, 1
612.551, 604.384 to 620.719, 0
628.886, 620.719 to 637.053, 0
645.221, 637.053 to 653.388, 0
661.556, 653.388 to 669.723, 4
677.890, 669.723 to 686.058, 0
694.225, 686.058 to 702.392, 0
710.560, 702.392 to 718.727, 0
726.894, 718.727 to 735.062, 0
743.229, 735.062 to 751.396, 2
759.564, 751.396 to 767.731, 0
775.898, 767.731 to 784.066, 1
792.233, 784.066 to 800.400, 1
808.568, 800.400 to 816.735, 1


Plate, 2
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
15.090, 0.000 to 30.179, 0
45.269, 30.179 to 60.358, 0
75.448, 60.358 to 90.537, 0
105.627, 90.537 to 120.716, 0
135.806, 120.716 to 150.895, 0
165.985, 150.895 to 181.074, 1
196.164, 181.074 to 211.253, 1
226.343, 211.253 to 241.432, 6
256.522, 241.432 to 271.611, 7
286.701, 271.611 to 301.790, 16
316.880, 301.790 to 331.969, 17
347.059, 331.969 to 362.149, 49
377.238, 362.149 to 392.328, 26
