Plate, 2
Well, 1
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1007.149, 0.000 to 2014.298, 1
3021.447, 2014.298 to 4028.596, 5
5035.745, 4028.596 to 6042.894, 15
7050.043, 6042.894 to 8057.192, 20
9064.341, 8057.192 to 10071.489, 21
11078.638, 10071.489 to 12085.787, 22
13092.936, 12085.787 to 14100.085, 17
15107.234, 14100.085 to 16114.383, 10
17121.532, 16114.383 to 18128.681, 9
19135.830, 18128.681 to 20142.979, 1
21150.128, 20142.979 to 22157.277, 2
23164.426, 22157.277 to 24171.575, 0
25178.724, 24171.575 to 26185.873, 1
27193.022, 26185.873 to 28200.170, 1
29207.319, 28200.170 to 30214.468, 3
31221.617, 30214.468 to 32228.766, 2
33235.915, 32228.766 to 34243.064, 2
35250.213, 34243.064 to 36257.362, 1
37264.511, 36257.362 to 38271.660, 4
39278.809, 38271.660 to 40285.958, 2
41293.107, 40285.958 to 42300.256, 0
43307.405, 42300.256 to 44314.554, 0
45321.703, 44314.554 to 46328.852, 0
47336.000, 46328.852 to 48343.149, 0
49350.298, 48343.149 to 50357.447, 1
51364.596, 50357.447 to 52371.745, 0
53378.894, 52371.745 to 54386.043, 3
55393.192, 54386.043 to 56400.341, 0
57407.490, 56400.341 to 58414.639, 2
59421.788, 58414.639 to 60428.937, 0
61436.086, 60428.937 to 62443.235, 0
63450.384, 62443.235 to 64457.533, 0
65464.681, 64457.533 to 66471.830, 0
67478.979, 66471.830 to 68486.128, 0
69493.277, 68486.128 to 70500.426, 0
71507.575, 70500.426 to 72514.724, 0
73521.873, 72514.724 to 74529.022, 0
75536.171, 74529.022 to 76543.320, 0
77550.469, 76543.320 to 78557.618, 0
79564.767, 78557.618 to 80571.916, 0
81579.065, 80571.916 to 82586.214, 0
83593.363, 82586.214 to 84600.511, 1
85607.660, 84600.511 to 86614.809, 0
87621.958, 86614.809 to 88629.107, 0
89636.256, 88629.107 to 90643.405, 1
91650.554, 90643.405 to 92657.703, 1
93664.852, 92657.703 to 94672.001, 0
95679.150, 94672.001 to 96686.299, 1
97693.448, 96686.299 to 98700.597, 0
99707.746, 98700.597 to 100714.895, 2


Plate, 2
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1639.047, 0.000 to 3278.093, 2
4917.140, 3278.093 to 6556.186, 15
8195.233, 6556.186 to 9834.279, 31
11473.326, 9834.279 to 13112.373, 50
14751.419, 13112.373 to 16390.466, 35
18029.512, 16390.466 to 19668.559, 12
21307.605, 19668.559 to 22946.652, 4
24585.699, 22946.652 to 26224.745, 4
27863.792, 26224.745 to 29502.838, 1
31141.885, 29502.838 to 32780.931, 9
34419.978, 32780.931 to 36059.025, 0
37698.071, 36059.025 to 39337.118, 4
40976.164, 39337.118 to 42615.211, 1
44254.257, 42615.211 to 45893.304, 1
47532.351, 45893.304 to 49171.397, 1
50810.444, 49171.397 to 52449.490, 1
54088.537, 52449.490 to 55727.583, 0
57366.630, 55727.583 to 59005.677, 3
60644.723, 59005.677 to 62283.770, 1
63922.816, 62283.770 to 65561.863, 2
67200.909, 65561.863 to 68839.956, 0
70479.003, 68839.956 to 72118.049, 0
73757.096, 72118.049 to 75396.142, 0
77035.189, 75396.142 to 78674.235, 1
80313.282, 78674.235 to 81952.329, 0
83591.375, 81952.329 to 85230.422, 1
86869.468, 85230.422 to 88508.515, 0
90147.561, 88508.515 to 91786.608, 0
93425.655, 91786.608 to 95064.701, 0
96703.748, 95064.701 to 98342.794, 0
99981.841, 98342.794 to 101620.887, 1
103259.934, 101620.887 to 104898.981, 0
106538.027, 104898.981 to 108177.074, 0
109816.120, 108177.074 to 111455.167, 0
113094.213, 111455.167 to 114733.260, 0
116372.306, 114733.260 to 118011.353, 0
119650.400, 118011.353 to 121289.446, 0
122928.493, 121289.446 to 124567.539, 1
126206.586, 124567.539 to 127845.632, 0
129484.679, 127845.632 to 131123.726, 0
132762.772, 131123.726 to 134401.819, 0
136040.865, 134401.819 to 137679.912, 0
139318.958, 137679.912 to 140958.005, 0
142597.052, 140958.005 to 144236.098, 0
145875.145, 144236.098 to 147514.191, 1
149153.238, 147514.191 to 150792.284, 0
152431.331, 150792.284 to 154070.378, 0
155709.424, 154070.378 to 157348.471, 0
158987.517, 157348.471 to 160626.564, 0
162265.610, 160626.564 to 163904.657, 1


Plate, 2
Well, 3
Count, 121
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
534.501, 0.000 to 1069.003, 0
1603.504, 1069.003 to 2138.005, 0
2672.506, 2138.005 to 3207.008, 1
3741.509, 3207.008 to 4276.010, 1
4810.512, 4276.010 to 5345.013, 12
5879.514, 5345.013 to 6414.016, 2
6948.517, 6414.016 to 7483.018, 19
8017.519, 7483.018 to 8552.021, 10
9086.522, 8552.021 to 9621.023, 6
10155.525, 9621.023 to 10690.026, 14
11224.527, 10690.026 to 11759.029, 11
12293.530, 11759.029 to 12828.031, 7
13362.532, 12828.031 to 13897.034, 6
14431.535, 13897.034 to 14966.036, 3
15500.538, 14966.036 to 16035.039, 2
16569.540, 16035.039 to 17104.042, 2
17638.543, 17104.042 to 18173.044, 2
18707.545, 18173.044 to 19242.047, 4
19776.548, 19242.047 to 20311.049, 1
20845.551, 20311.049 to 21380.052, 2
21914.553, 21380.052 to 22449.055, 2
22983.556, 22449.055 to 23518.057, 1
24052.558, 23518.057 to 24587.060, 1
25121.561, 24587.060 to 25656.062, 0
26190.564, 25656.062 to 26725.065, 0
27259.566, 26725.065 to 27794.068, 0
28328.569, 27794.068 to 28863.070, 0
29397.571, 28863.070 to 29932.073, 0
30466.574, 29932.073 to 31001.075, 0
31535.577, 31001.075 to 32070.078, 3
32604.579, 32070.078 to 33139.081, 1
33673.582, 33139.081 to 34208.083, 1
34742.584, 34208.083 to 35277.086, 1
35811.587, 35277.086 to 36346.088, 0
36880.590, 36346.088 to 37415.091, 1
37949.592, 37415.091 to 38484.094, 0
39018.595, 38484.094 to 39553.096, 0
40087.597, 39553.096 to 40622.099, 1
41156.600, 40622.099 to 41691.101, 0
42225.603, 41691.101 to 42760.104, 1
43294.605, 42760.104 to 43829.107, 1
44363.608, 43829.107 to 44898.109, 0
45432.610, 44898.109 to 45967.112, 0
46501.613, 45967.112 to 47036.114, 0
47570.616, 47036.114 to 48105.117, 0
48639.618, 48105.117 to 49174.119, 1
49708.621, 49174.119 to 50243.122, 0
50777.623, 50243.122 to 51312.125, 0
51846.626, 51312.125 to 52381.127, 0
52915.629, 52381.127 to 53450.130, 1


Plate, 2
Well, 4
Count, 50
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
818.021, 0.000 to 1636.042, 0
2454.064, 1636.042 to 3272.085, 3
