Plate, 4
Well, 1
Count, 138
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
39.468, 0.000 to 78.935, 0
118.403, 78.935 to 157.871, 0
197.339, 157.871 to 236.806, 0
276.274, 236.806 to 315.742, 0
355.210, 315.742 to 394.677, 0
434.145, 394.677 to 473.613, 2
513.081, 473.613 to 552.548, 4
592.016, 552.548 to 631.484, 3
670.952, 631.484 to 710.419, 2
749.887, 710.419 to 789.355, 15
828.823, 789.355 to 868.290, 13
907.758, 868.290 to 947.226, 6
986.694, 947.226 to 1026.161, 8
1065.629, 1026.161 to 1105.097, 8
1144.565, 1105.097 to 1184.032, 0
1223.500, 1184.032 to 1262.968, 4
1302.436, 1262.968 to 1341.903, 11
1381.371, 1341.903 to 1420.839, 3
1460.307, 1420.839 to 1499.774, 6
1539.242, 1499.774 to 1578.710, 3
1618.178, 1578.710 to 1657.645, 11
1697.113, 1657.645 to 1736.581, 5
1776.049, 1736.581 to 1815.516, 3
1854.984, 1815.516 to 1894.452, 1
1933.920, 1894.452 to 1973.387, 3
2012.855, 1973.387 to 2052.323, 5
2091.791, 2052.323 to 2131.258, 4
2170.726, 2131.258 to 2210.194, 3
2249.662, 2210.194 to 2289.129, 2
2328.597, 2289.129 to 2368.065, 0
2407.533, 2368.065 to 2447.000, 0
2486.468, 2447.000 to 2525.936, 3
2565.403, 2525.936 to 2604.871, 3
2644.339, 2604.871 to 2683.807, 0
2723.274, 2683.807 to 2762.742, 2
2802.210, 2762.742 to 2841.678, 0
2881.145, 2841.678 to 2920.613, 3
2960.081, 2920.613 to 2999.549, 0
3039.016, 2999.549 to 3078.484, 0
3117.952, 3078.484 to 3157.420, 0
3196.887, 3157.420 to 3236.355, 0
3275.823, 3236.355 to 3315.291, 0
3354.758, 3315.291 to 3394.226, 0
3433.694, 3394.226 to 3473.162, 0
3512.629, 3473.162 to 3552.097, 0
3591.565, 3552.097 to 3631.033, 0
3670.500, 3631.033 to 3709.968, 0
3749.436, 3709.968 to 3788.904, 0
3828.371, 3788.904 to 3867.839, 0
3907.307, 3867.839 to 3946.775, 2


Plate, 4
Well, 2
Count, 128
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
31.826, 0.000 to 63.652, 0
95.478, 63.652 to 127.304, 0
159.131, 127.304 to 190.957, 0
222.783, 190.957 to 254.609, 0
286.435, 254.609 to 318.261, 0
350.087, 318.261 to 381.913, 0
413.739, 381.913 to 445.566, 0
477.392, 445.566 to 509.218, 2
541.044, 509.218 to 572.870, 4
604.696, 572.870 to 636.522, 4
668.348, 636.522 to 700.174, 4
732.001, 700.174 to 763.827, 2
795.653, 763.827 to 827.479, 6
859.305, 827.479 to 891.131, 5
922.957, 891.131 to 954.783, 9
986.609, 954.783 to 1018.435, 7
1050.262, 1018.435 to 1082.088, 7
1113.914, 1082.088 to 1145.740, 7
1177.566, 1145.740 to 1209.392, 3
1241.218, 1209.392 to 1273.044, 4
1304.870, 1273.044 to 1336.697, 8
1368.523, 1336.697 to 1400.349, 10
1432.175, 1400.349 to 1464.001, 7
1495.827, 1464.001 to 1527.653, 3
1559.479, 1527.653 to 1591.305, 4
1623.132, 1591.305 to 1654.958, 0
1686.784, 1654.958 to 1718.610, 5
1750.436, 1718.610 to 1782.262, 4
1814.088, 1782.262 to 1845.914, 3
1877.740, 1845.914 to 1909.567, 1
1941.393, 1909.567 to 1973.219, 0
2005.045, 1973.219 to 2036.871, 0
2068.697, 2036.871 to 2100.523, 4
2132.349, 2100.523 to 2164.175, 1
2196.002, 2164.175 to 2227.828, 3
2259.654, 2227.828 to 2291.480, 0
2323.306, 2291.480 to 2355.132, 1
2386.958, 2355.132 to 2418.784, 0
2450.610, 2418.784 to 2482.436, 2
2514.263, 2482.436 to 2546.089, 2
2577.915, 2546.089 to 2609.741, 2
2641.567, 2609.741 to 2673.393, 0
2705.219, 2673.393 to 2737.045, 1
2768.871, 2737.045 to 2800.698, 0
2832.524, 2800.698 to 2864.350, 0
2896.176, 2864.350 to 2928.002, 0
2959.828, 2928.002 to 2991.654, 0
3023.480, 2991.654 to 3055.306, 1
3087.133, 3055.306 to 3118.959, 1
3150.785, 3118.959 to 3182.611, 1


Plate, 4
Well, 3
Count, 64
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
45.476, 0.000 to 90.953, 0
136.429, 90.953 to 181.905, 0
227.382, 181.905 to 272.858, 0
318.334, 272.858 to 363.811, 2
409.287, 363.811 to 454.763, 0
500.240, 454.763 to 545.716, 2
591.192, 545.716 to 636.669, 4
682.145, 636.669 to 727.621, 0
773.098, 727.621 to 818.574, 0
864.050, 818.574 to 909.527, 2
955.003, 909.527 to 1000.479, 6
1045.955, 1000.479 to 1091.432, 2
1136.908, 1091.432 to 1182.384, 0
1227.861, 1182.384 to 1273.337, 6
1318.813, 1273.337 to 1364.290, 2
1409.766, 1364.290 to 1455.242, 1
1500.719, 1455.242 to 1546.195, 6
1591.671, 1546.195 to 1637.148, 3
1682.624, 1637.148 to 1728.100, 0
1773.577, 1728.100 to 1819.053, 0
1864.529, 1819.053 to 1910.006, 4
1955.482, 1910.006 to 2000.958, 4
2046.435, 2000.958 to 2091.911, 3
2137.387, 2091.911 to 2182.864, 1
2228.340, 2182.864 to 2273.816, 0
2319.293, 2273.816 to 2364.769, 1
2410.245, 2364.769 to 2455.722, 2
2501.198, 2455.722 to 2546.674, 0
2592.151, 2546.674 to 2637.627, 0
2683.103, 2637.627 to 2728.580, 1
2774.056, 2728.580 to 2819.532, 2
2865.009, 2819.532 to 2910.485, 0
2955.961, 2910.485 to 3001.438, 0
3046.914, 3001.438 to 3092.390, 0
3137.866, 3092.390 to 3183.343, 1
3228.819, 3183.343 to 3274.295, 0
3319.772, 3274.295 to 3365.248, 2
3410.724, 3365.248 to 3456.201, 2
3501.677, 3456.201 to 3547.153, 1
3592.630, 3547.153 to 3638.106, 0
3683.582, 3638.106 to 3729.059, 1
3774.535, 3729.059 to 3820.011, 0
3865.488, 3820.011 to 3910.964, 0
3956.440, 3910.964 to 4001.917, 0
4047.393, 4001.917 to 4092.869, 0
4138.346, 4092.869 to 4183.822, 0
4229.298, 4183.822 to 4274.775, 0
4320.251, 4274.775 to 4365.727, 0
4411.204, 4365.727 to 4456.680, 2
4502.156, 4456.680 to 4547.633, 1


Plate, 4
Well, 4
Count, 32
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
74.063, 0.000 to 148.126, 0
222.188, 148.126 to 296.251, 0
370.314, 296.251 to 444.377, 0
518.439, 444.377 to 592.502, 2
666.565, 592.502 to 740.628, 4
814.690, 740.628 to 888.753, 2
962.816, 888.753 to 1036.879, 0
1110.942, 1036.879 to 1185.004, 0
1259.067, 1185.004 to 1333.130, 2
1407.193, 1333.130 to 1481.255, 4
1555.318, 1481.255 to 1629.381, 1
1703.444, 1629.381 to 1777.506, 0
1851.569, 1777.506 to 1925.632, 0
1999.695, 1925.632 to 2073.758, 0
2147.820, 2073.758 to 2221.883, 0
2295.946, 2221.883 to 2370.009, 0
2444.071, 2370.009 to 2518.134, 0
2592.197, 2518.134 to 2666.260, 0
2740.322, 2666.260 to 2814.385, 2
2888.448, 2814.385 to 2962.511, 2
3036.574, 2962.511 to 3110.636, 1
3184.699, 3110.636 to 3258.762, 1
3332.825, 3258.762 to 3406.887, 1
3480.950, 3406.887 to 3555.013, 1
3629.076, 3555.013 to 3703.138, 0
3777.201, 3703.138 to 3851.264, 2
3925.327, 3851.264 to 3999.390, 0
4073.452, 3999.390 to 4147.515, 1
4221.578, 4147.515 to 4295.641, 0
4369.703, 4295.641 to 4443.766, 0
4517.829, 4443.766 to 4591.892, 0
4665.954, 4591.892 to 4740.017, 0
4814.080, 4740.017 to 4888.143, 0
4962.205, 4888.143 to 5036.268, 1
5110.331, 5036.268 to 5184.394, 2
5258.457, 5184.394 to 5332.519, 0
5406.582, 5332.519 to 5480.645, 1
5554.708, 5480.645 to 5628.770, 0
5702.833, 5628.770 to 5776.896, 0
5850.959, 5776.896 to 5925.021, 0
5999.084, 5925.021 to 6073.147, 0
6147.210, 6073.147 to 6221.273, 0
6295.335, 6221.273 to 6369.398, 0
6443.461, 6369.398 to 6517.524, 0
6591.586, 6517.524 to 6665.649, 0
6739.712, 6665.649 to 6813.775, 1
6887.837, 6813.775 to 6961.900, 0
7035.963, 6961.900 to 7110.026, 0
7184.089, 7110.026 to 7258.151, 0
7332.214, 7258.151 to 7406.277, 1


Plate, 4
Well, 5
Count, 24
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
69.095, 0.000 to 138.191, 0
207.286, 138.191 to 276.382, 0
345.477, 276.382 to 414.573, 0
483.668, 414.573 to 552.764, 0
621.859, 552.764 to 690.955, 2
760.050, 690.955 to 829.146, 0
898.241, 829.146 to 967.337, 0
1036.432, 967.337 to 1105.528, 1
1174.623, 1105.528 to 1243.718, 0
1312.814, 1243.718 to 1381.909, 0
1451.005, 1381.909 to 1520.100, 2
1589.196, 1520.100 to 1658.291, 0
1727.387, 1658.291 to 1796.482, 3
1865.578, 1796.482 to 1934.673, 1
2003.769, 1934.673 to 2072.864, 0
2141.960, 2072.864 to 2211.055, 2
2280.151, 2211.055 to 2349.246, 0
2418.341, 2349.246 to 2487.437, 0
2556.532, 2487.437 to 2625.628, 0
2694.723, 2625.628 to 2763.819, 0
2832.914, 2763.819 to 2902.010, 0
2971.105, 2902.010 to 3040.201, 0
3109.296, 3040.201 to 3178.392, 2
3247.487, 3178.392 to 3316.583, 0
3385.678, 3316.583 to 3454.774, 0
3523.869, 3454.774 to 3592.964, 0
3662.060, 3592.964 to 3731.155, 0
3800.251, 3731.155 to 3869.346, 4
3938.442, 3869.346 to 4007.537, 1
4076.633, 4007.537 to 4145.728, 0
4214.824, 4145.728 to 4283.919, 0
4353.015, 4283.919 to 4422.110, 0
4491.206, 4422.110 to 4560.301, 0
4629.397, 4560.301 to 4698.492, 0
4767.587, 4698.492 to 4836.683, 0
4905.778, 4836.683 to 4974.874, 1
5043.969, 4974.874 to 5113.065, 0
5182.160, 5113.065 to 5251.256, 0
5320.351, 5251.256 to 5389.447, 0
5458.542, 5389.447 to 5527.638, 1
5596.733, 5527.638 to 5665.829, 0
5734.924, 5665.829 to 5804.019, 0
5873.115, 5804.019 to 5942.210, 1
