,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO1 TX,0.0,1,A01,750,941.8059312323173,13470.913206022009,208,424.829833984375,147.5803985595703,158854.90625,126372.671875,33041821.73230527,0.15469728410243988,0.04744211584329605,32.17703566767877,26567.17578125,25565.41015625,5525972.643665486,57035900,81478360,11863466791.44225,1140.56982421875,570.8973999023438,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,0.9892984542211652
1,1,PEO1 TX,0.003048315805517451,2,A02,750,941.8059312323173,12044.332274981847,215,408.75390625,140.4325714111328,146713.21875,116297.4296875,31543341.117866393,0.13456971943378448,0.03918915241956711,28.932489920601157,21644.4375,22261.978515625,4653553.856767527,50567476,71425056,10872007573.39275,1086.4844970703125,534.4295654296875,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,1.0225921521997623
2,1,PEO1 TX,0.009144947416552354,3,A03,750,941.8059312323173,9521.784509452145,219,398.03717041015625,142.77810668945312,140444.25,132263.5,30757289.706442807,0.11280753463506699,0.0403464138507843,24.704849546955824,18467.857421875,26276.9765625,4044460.919734752,49393552,95743272,10817187453.076706,1121.399169921875,530.4911499023438,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,1.0416171224732462
3,1,PEO1 TX,0.027434842249657063,4,B01,750,941.8059312323173,13735.824652852078,189,411.5190734863281,134.9967498779297,147318.765625,123627.625,27843245.687944423,0.15148460865020752,0.04724200442433357,28.630591176814097,23667.673828125,25287.240234375,4473190.274363524,51076136,89888472,9653389689.96356,1171.3638916015625,637.5557250976562,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,0.8989298454221165
4,1,PEO1 TX,0.0823045267489712,5,B02,750,941.8059312323173,12569.342534968602,240,420.3123779296875,118.57604217529297,149793.3125,95388.2734375,35950394.99537951,0.14191633462905884,0.03803949058055878,34.059920893470505,22504.607421875,18609.16796875,5401105.803338988,49263368,58964116,11823208658.655807,1058.6124267578125,520.92431640625,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,1.1414982164090368
5,1,PEO1 TX,0.2469135802469136,6,B03,750,941.8059312323173,9706.719458330299,218,408.5963134765625,134.8854522705078,145412.5625,113509.546875,31699939.650786392,0.11842666566371918,0.04543586075305939,25.8170129335849,19865.828125,24555.84375,4330750.525626982,49592776,69463560,10811225096.763744,1146.5826416015625,609.5709228515625,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate1\Plate1.ics,Veliparib,PEO1,TX,0.2803333333333333,1.036860879904875
6,2,PEO1 TX,0.7407407407407408,1,A01,750,941.8059312323173,10918.171773730313,151,389.3980712890625,120.56986999511719,130508.0,90297.8984375,19706707.940390423,0.11962448060512543,0.03587602451443672,18.06329703636707,17752.5703125,19229.748046875,2680637.9700272246,41000020,47988600,6191003054.588588,1330.3558349609375,648.1795654296875,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,0.718192627824019
7,2,PEO1 TX,2.2222222222222223,2,A02,750,941.8059312323173,12675.729022189267,183,395.97149658203125,147.15603637695312,140152.984375,158298.078125,25647996.757898837,0.1302870362997055,0.03411201387643814,23.84252828842956,19332.30859375,22056.611328125,3537812.4403485535,51661884,143697088,9454124615.512331,1240.779296875,557.30712890625,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,0.8703923900118906
8,2,PEO1 TX,6.666666666666667,3,A03,750,941.8059312323173,13404.246704335343,121,343.2716979980469,96.80944061279297,99908.5546875,61115.4921875,12088935.584070293,0.12858489155769348,0.028012579306960106,15.55877258344378,13211.8251953125,9707.6513671875,1598630.7984723465,26745154,26944756,3236163555.701855,1530.3250732421875,830.6278076171875,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,0.5755053507728894
9,2,PEO1 TX,20.0,4,B01,750,941.8059312323173,10862.256674910677,50,344.0888671875,121.140625,104514.65625,86685.15625,5225732.737094213,0.11525991559028625,0.05628131330013275,5.762995607629019,12836.5009765625,14579.7138671875,641825.0719361827,30769092,45925928,1538454605.1334722,1924.8006591796875,1454.7677001953125,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,0.23781212841854935
10,2,PEO1 TX,60.0,5,B02,750,941.8059312323173,12600.927138764966,22,273.9775695800781,59.80607986450195,61764.08203125,26029.96484375,1358809.7754754387,0.12217261642217636,0.02858886495232582,2.687797512163048,7702.86181640625,4687.0712890625,169462.96345767617,12314125,7478884,270910739.18338317,2961.3046875,1814.271728515625,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,0.10463733650416171
11,2,PEO1 TX,0.0,6,B03,750,941.8059312323173,14147.55651667103,236,434.8777160644531,147.04066467285156,165514.46875,126070.78125,39061416.449657574,0.1533891260623932,0.04771475866436958,36.1998320641564,27139.380859375,26699.060546875,6404893.707671296,60106344,77019968,14185097405.026628,1052.2757568359375,484.900390625,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate2\Plate2.ics,Veliparib,PEO1,TX,0.2803333333333333,1.1224732461355529
12,3,PEO1 TX,0.0,1,A01,750,941.8059312323173,13993.463999683261,223,395.3038024902344,131.39585876464844,136290.125,104095.0625,30392696.989194915,0.15090008080005646,0.04555697366595268,33.65071748409536,22676.642578125,24009.287109375,5056891.310790441,44850540,59146192,10001670856.540562,1123.68017578125,572.6550903320312,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,1.0606420927467302
13,3,PEO1 TX,1.953125e-05,2,A02,750,941.8059312323173,12261.903192228703,235,408.3233337402344,134.83375549316406,145226.46875,112737.140625,34128221.179440565,0.1325555145740509,0.03483562543988228,31.150545033818947,20225.642578125,19104.142578125,4753026.2231140975,49422480,68856288,11614283224.244152,1065.49853515625,484.56243896484375,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,1.117717003567182
14,3,PEO1 TX,3.90625e-05,3,A03,750,941.8059312323173,9535.052331607645,229,383.8124694824219,139.2549285888672,130928.9765625,138411.390625,29982735.126160987,0.10990022867918015,0.03568197041749954,25.167151564384145,15280.923828125,18320.14453125,3499331.6269205143,45690552,113460880,10463136680.650564,1109.4317626953125,534.020263671875,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,1.089179548156956
15,3,PEO1 TX,7.8125e-05,4,B01,750,941.8059312323173,14453.223342578407,193,392.935302734375,115.10771942138672,131670.375,84587.3515625,25412382.881030653,0.1608494520187378,0.050713200122117996,31.043944987192102,22425.09375,19224.02734375,4328043.109589516,40854272,44427096,7884874323.051387,1190.223388671875,659.4747924804688,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,0.9179548156956004
16,3,PEO1 TX,0.00015625,5,B02,750,941.8059312323173,12853.727837033519,207,403.4764404296875,129.828369140625,141095.71875,103333.9921875,29206812.86444822,0.1448681354522705,0.04431482404470444,29.987704966572807,21652.275390625,18988.826171875,4482021.0071489625,46693976,59882608,9665652817.90754,1174.453857421875,567.3009033203125,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,0.9845422116527943
17,3,PEO1 TX,0.0003125,6,B03,750,941.8059312323173,9974.43036064747,181,392.5097351074219,134.69483947753906,135250.75,100976.40625,24480384.684150655,0.11603102833032608,0.039079464972019196,21.001616759875578,16746.587890625,16208.9921875,3031132.3348249686,44273988,54323560,8013591919.316974,1063.128173828125,490.8678894042969,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate3\Plate3.ics,Talazoparib,PEO1,TX,0.2803333333333333,0.8608799048751486
18,4,PEO1 TX,0.000625,1,A01,750,941.8059312323173,11360.974334575438,138,369.7141418457031,108.94098663330078,116676.140625,80463.359375,16101307.903253658,0.12149297446012497,0.03608981892466545,16.766030308674214,15371.1484375,15957.681640625,2121218.5485302624,34437460,43863448,4752369433.273789,1398.6651611328125,671.4750366210938,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate4\Plate4.ics,Talazoparib,PEO1,TX,0.2803333333333333,0.6563614744351962
19,4,PEO1 TX,0.00125,2,A02,750,941.8059312323173,13126.634634785843,128,387.096923828125,133.65328979492188,131716.9375,111456.71875,16859768.81923445,0.13110443949699402,0.025309734046459198,16.781369131621485,18348.73828125,18852.029296875,2348638.5325944256,43650552,68781824,5587270596.987388,1339.7076416015625,578.4974975585938,2020-07-02,18:09:42,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-52\Plate4\Plate4.ics,Talazoparib,PEO1,TX,0.2803333333333333,0.6087990487514863
