Plate, 1
Well, 1
Count, 241
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.009, 0
0.014, 0.009 to 0.019, 0
0.023, 0.019 to 0.028, 0
0.033, 0.028 to 0.037, 0
0.042, 0.037 to 0.047, 0
0.051, 0.047 to 0.056, 0
0.060, 0.056 to 0.065, 0
0.070, 0.065 to 0.074, 0
0.079, 0.074 to 0.084, 0
0.088, 0.084 to 0.093, 0
0.098, 0.093 to 0.102, 0
0.107, 0.102 to 0.112, 0
0.116, 0.112 to 0.121, 0
0.126, 0.121 to 0.130, 0
0.135, 0.130 to 0.140, 0
0.144, 0.140 to 0.149, 1
0.153, 0.149 to 0.158, 5
0.163, 0.158 to 0.167, 16
0.172, 0.167 to 0.177, 25
0.181, 0.177 to 0.186, 14
0.191, 0.186 to 0.195, 23
0.200, 0.195 to 0.205, 19
0.209, 0.205 to 0.214, 12
0.219, 0.214 to 0.223, 18
0.228, 0.223 to 0.233, 13
0.237, 0.233 to 0.242, 12
0.246, 0.242 to 0.251, 14
0.256, 0.251 to 0.260, 12
0.265, 0.260 to 0.270, 7
0.274, 0.270 to 0.279, 3
0.284, 0.279 to 0.288, 5
0.293, 0.288 to 0.298, 6
0.302, 0.298 to 0.307, 6
0.312, 0.307 to 0.316, 4
0.321, 0.316 to 0.326, 4
0.330, 0.326 to 0.335, 4
0.339, 0.335 to 0.344, 3
0.349, 0.344 to 0.353, 5
0.358, 0.353 to 0.363, 2
0.367, 0.363 to 0.372, 0
0.377, 0.372 to 0.381, 2
0.386, 0.381 to 0.391, 1
0.395, 0.391 to 0.400, 2
0.405, 0.400 to 0.409, 0
0.414, 0.409 to 0.419, 0
0.423, 0.419 to 0.428, 0
0.432, 0.428 to 0.437, 1
0.442, 0.437 to 0.446, 0
0.451, 0.446 to 0.456, 0
0.460, 0.456 to 0.465, 2


Plate, 1
Well, 2
Count, 205
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.013, 0.008 to 0.017, 0
0.021, 0.017 to 0.025, 0
0.029, 0.025 to 0.034, 0
0.038, 0.034 to 0.042, 0
0.046, 0.042 to 0.050, 0
0.055, 0.050 to 0.059, 0
0.063, 0.059 to 0.067, 0
0.071, 0.067 to 0.075, 0
0.080, 0.075 to 0.084, 0
0.088, 0.084 to 0.092, 0
0.096, 0.092 to 0.101, 0
