Plate, 4
Well, 2
Count, 89

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
686.138, 369754.045, 0.319, 117797.713, 169134888.590, 911.888, 20066.000, 2709.333
545.865, 234024.015, 0.278, 65142.084, 85163684.006, 833.870, 4995.333, 15070.667
629.230, 310963.261, 0.304, 94593.926, 130444995.971, 1856.885, 29464.000, 21420.667
511.216, 205257.177, 0.359, 73626.382, 69953802.439, 1250.088, 24214.667, 3894.667
633.075, 314774.565, 0.236, 74327.497, 132850516.775, 946.602, 31665.333, 17102.667
480.206, 181111.018, 0.242, 43775.474, 57980386.589, 1663.436, 16256.000, 4910.667
564.576, 250342.836, 0.272, 68095.485, 94225088.269, 644.802, 3979.333, 25908.000
595.678, 278685.046, 0.209, 58349.027, 110671118.569, 863.434, 19219.333, 30903.333
511.608, 205572.066, 0.229, 47030.626, 70114840.513, 3748.353, 21759.333, 7112.000
539.660, 228733.805, 0.216, 49326.096, 82292324.785, 1743.393, 4233.333, 20997.333
405.983, 129451.333, 0.299, 38668.891, 35036731.875, 1817.870, 26670.000, 31072.667
445.110, 155605.083, 0.219, 34009.422, 46174209.685, 2710.656, 7789.333, 12107.333
486.469, 185866.355, 0.215, 40003.115, 60278852.317, 1139.074, 18034.000, 3386.667
539.371, 228489.110, 0.234, 53570.741, 82160308.378, 2141.916, 30395.333, 29040.667
534.441, 224331.011, 0.194, 43612.590, 79927783.636, 728.330, 21251.333, 2540.000
445.110, 155605.083, 0.209, 32498.109, 46174209.685, 1221.080, 4572.000, 23791.333
472.493, 175339.862, 0.200, 35094.620, 55231239.529, 911.888, 22775.333, 31411.333
363.166, 103585.700, 0.268, 27793.356, 25079189.994, 946.602, 32512.000, 16679.333
376.574, 111375.729, 0.284, 31659.530, 27960803.090, 2341.764, 25146.000, 9736.667
357.959, 100636.709, 0.248, 24987.926, 24015876.481, 2012.504, 27347.333, 23029.333
530.794, 221279.818, 0.190, 42093.535, 78302658.701, 987.375, 20574.000, 3556.000
539.824, 228873.241, 0.219, 50185.079, 82367584.495, 423.333, 19304.000, 32088.667
419.427, 138166.313, 0.200, 27607.104, 38633766.508, 2730.418, 6604.000, 28702.000
631.835, 313543.431, 0.171, 53738.418, 132071879.761, 423.333, 19050.000, 31750.000
311.809, 76360.215, 0.213, 16276.218, 15873201.009, 1976.563, 10583.333, 7535.333
436.281, 149493.244, 0.200, 29877.737, 43480662.046, 3106.240, 20997.333, 28109.333
261.222, 53592.968, 0.236, 12638.683, 9333091.384, 911.888, 21928.667, 31072.667
356.550, 99846.042, 0.202, 20189.179, 23733406.795, 803.219, 18965.333, 1608.667
385.726, 116855.218, 0.204, 23857.262, 30049411.283, 1221.080, 5588.000, 23114.000
217.621, 37195.693, 0.198, 7378.422, 5396383.125, 1151.591, 30818.667, 13631.333
334.377, 87813.667, 0.200, 17526.370, 19575234.475, 915.810, 27432.000, 10244.667
504.528, 199921.538, 0.175, 34909.854, 67243943.796, 803.219, 19219.333, 2370.667
485.977, 185490.252, 0.204, 37778.636, 60095981.998, 2846.110, 11514.667, 33189.333
350.012, 96217.602, 0.200, 19254.980, 22451511.993, 1129.594, 11345.333, 29294.667
281.877, 62403.366, 0.197, 12303.002, 11726700.303, 2490.121, 13631.333, 25230.667
373.944, 109825.634, 0.206, 22638.077, 27379113.152, 1338.698, 29887.333, 10752.667
208.327, 34086.426, 0.223, 7594.319, 4734084.490, 1949.173, 25823.333, 4995.333
388.230, 118377.201, 0.271, 32030.628, 30638387.122, 2846.110, 14139.333, 34290.000
332.294, 86723.249, 0.199, 17264.212, 19211758.063, 1378.273, 2370.667, 12869.333
223.867, 39361.483, 0.211, 8291.122, 5874500.904, 1139.074, 17187.333, 2624.667
519.392, 211875.332, 0.247, 52249.306, 73364235.298, 931.333, 15917.333, 931.333
402.983, 127544.829, 0.196, 25029.901, 34265579.782, 1129.594, 12446.000, 29040.667
335.043, 88164.063, 0.217, 19113.855, 19692515.461, 698.179, 28532.667, 30395.333
549.978, 237563.857, 0.168, 39935.371, 87103248.407, 1338.698, 30988.000, 11514.667
521.390, 213508.354, 0.170, 36237.303, 74214045.901, 1019.522, 4656.667, 26670.000
346.371, 94226.732, 0.191, 18003.550, 21758301.545, 698.179, 28363.333, 29718.000
710.919, 396945.341, 0.155, 61592.612, 188130783.070, 946.602, 2963.333, 25315.333
359.325, 101406.255, 0.191, 19331.925, 24291868.327, 1817.870, 25823.333, 29464.000
341.868, 91792.151, 0.204, 18687.510, 20920502.882, 1992.817, 29210.000, 23791.333
419.804, 138414.836, 0.171, 23694.665, 38738050.600, 535.479, 5334.000, 14308.667
217.621, 37195.693, 0.205, 7630.438, 5396383.125, 1250.088, 23114.000, 3302.000
223.867, 39361.483, 0.172, 6768.588, 5874500.904, 1500.297, 12869.333, 27601.333
223.867, 39361.483, 0.221, 8682.711, 5874500.904, 1796.051, 32935.333, 21928.667
659.378, 341474.821, 0.152, 51857.222, 150107305.226, 644.802, 3386.667, 26162.000
217.993, 37322.817, 0.186, 6925.656, 5424071.799, 2710.656, 10668.000, 25738.667
331.249, 86178.387, 0.188, 16201.941, 19030988.411, 1047.269, 2455.333, 21166.667
321.473, 81167.092, 0.186, 15110.921, 17395374.520, 2397.727, 12869.333, 2878.667
308.139, 74573.380, 0.185, 13810.098, 15319322.005, 5663.181, 16594.667, 20404.667
204.959, 32993.316, 0.191, 6314.993, 4508195.671, 1669.888, 3556.000, 18711.333
266.491, 55777.106, 0.203, 11302.061, 9909409.203, 1151.591, 29718.000, 13292.667
378.008, 112225.703, 0.176, 19716.114, 28281491.096, 1100.667, 17949.333, 31750.000
471.493, 174598.086, 0.169, 29501.714, 54881126.760, 915.810, 27940.000, 11006.667
599.992, 282735.891, 0.148, 41855.198, 113092866.670, 987.375, 4487.333, 13123.333
248.783, 48610.682, 0.204, 9898.508, 8062344.890, 1726.868, 6265.333, 25992.667
450.402, 159327.556, 0.225, 35857.286, 47840988.352, 2047.813, 25654.000, 32850.667
220.744, 38270.927, 0.183, 7001.961, 5632060.095, 2710.656, 14732.000, 10668.000
298.634, 70043.662, 0.192, 13418.281, 13944953.494, 2198.075, 25908.000, 16425.333
397.881, 124336.112, 0.171, 21302.191, 32980688.932, 1378.273, 2116.667, 14224.000
479.234, 180378.816, 0.152, 27391.409, 57629134.814, 535.479, 5842.000, 14139.333
347.902, 95061.227, 0.177, 16812.371, 22047985.822, 1338.698, 11345.333, 10752.667
212.390, 35428.770, 0.180, 6369.989, 5016466.464, 2286.000, 7874.000, 23114.000
227.887, 40787.742, 0.188, 7675.426, 6196668.902, 1047.269, 2709.333, 20150.667
210.667, 34856.524, 0.182, 6337.117, 4895419.558, 1663.436, 14647.333, 4487.333
436.338, 149532.884, 0.164, 24489.076, 43497957.571, 931.333, 15917.333, 1862.667
218.364, 37450.159, 0.164, 6154.191, 5451855.025, 987.375, 3640.667, 13631.333
230.152, 41602.672, 0.207, 8610.413, 6383305.660, 1338.698, 10922.000, 9482.667
323.217, 82049.829, 0.232, 19055.659, 17679921.099, 2710.656, 22690.667, 34120.667
231.907, 42239.383, 0.216, 9132.513, 6530405.526, 1019.522, 27686.000, 28956.000
212.390, 35428.770, 0.191, 6770.730, 5016466.464, 1726.868, 7958.667, 25654.000
389.607, 119218.147, 0.222, 26502.571, 30965446.863, 1617.554, 1016.000, 15409.333
332.998, 87090.917, 0.173, 15082.528, 19334061.550, 2047.813, 28024.667, 17018.000
201.184, 31789.075, 0.197, 6263.248, 4263641.073, 1992.817, 29633.333, 25738.667
419.143, 137979.524, 0.157, 21657.589, 38555448.870, 728.330, 21674.667, 3132.667
278.525, 60928.098, 0.167, 10149.745, 11313324.083, 1401.483, 7112.000, 14732.000
309.076, 75027.486, 0.166, 12463.247, 15459462.587, 2710.656, 16425.333, 8551.333
249.599, 48929.872, 0.172, 8436.328, 8141884.082, 4557.081, 9736.667, 18457.333
231.515, 42096.873, 0.183, 7714.091, 6497384.211, 1617.554, 30056.667, 17272.000
476.844, 178583.972, 0.159, 28388.602, 56771127.450, 2804.244, 32342.667, 9059.333
228.048, 40845.486, 0.179, 7308.853, 6209832.694, 1796.051, 31157.333, 22182.667



