Plate, 1
Well, 1
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10475.865, 0.000 to 20951.730, 0
31427.595, 20951.730 to 41903.460, 18
52379.325, 41903.460 to 62855.190, 8
73331.055, 62855.190 to 83806.920, 12
94282.785, 83806.920 to 104758.650, 17
115234.515, 104758.650 to 125710.380, 18
136186.245, 125710.380 to 146662.110, 13
157137.975, 146662.110 to 167613.840, 21
178089.705, 167613.840 to 188565.570, 17
199041.435, 188565.570 to 209517.300, 14
219993.165, 209517.300 to 230469.030, 11
240944.895, 230469.030 to 251420.760, 13
261896.625, 251420.760 to 272372.490, 7
282848.355, 272372.490 to 293324.220, 6
303800.085, 293324.220 to 314275.950, 6
324751.815, 314275.950 to 335227.680, 5
345703.545, 335227.680 to 356179.410, 3
366655.275, 356179.410 to 377131.140, 4
387607.005, 377131.140 to 398082.870, 6
408558.735, 398082.870 to 419034.600, 4
429510.465, 419034.600 to 439986.330, 2
450462.195, 439986.330 to 460938.060, 1
471413.925, 460938.060 to 481889.790, 2
492365.655, 481889.790 to 502841.520, 1
513317.385, 502841.520 to 523793.250, 3
534269.115, 523793.250 to 544744.980, 0
555220.845, 544744.980 to 565696.710, 1
576172.575, 565696.710 to 586648.440, 0
597124.305, 586648.440 to 607600.170, 1
618076.035, 607600.170 to 628551.900, 0
639027.765, 628551.900 to 649503.630, 0
659979.495, 649503.630 to 670455.360, 0
680931.225, 670455.360 to 691407.090, 0
701882.955, 691407.090 to 712358.820, 0
722834.685, 712358.820 to 733310.550, 1
743786.415, 733310.550 to 754262.280, 0
764738.145, 754262.280 to 775214.010, 0
785689.875, 775214.010 to 796165.740, 1
806641.605, 796165.740 to 817117.470, 0
827593.335, 817117.470 to 838069.200, 0
848545.065, 838069.200 to 859020.930, 0
869496.795, 859020.930 to 879972.660, 0
890448.525, 879972.660 to 900924.390, 1
911400.255, 900924.390 to 921876.120, 0
932351.985, 921876.120 to 942827.850, 0
953303.715, 942827.850 to 963779.580, 0
974255.445, 963779.580 to 984731.310, 1
995207.175, 984731.310 to 1005683.040, 0
1016158.905, 1005683.040 to 1026634.770, 0
1037110.635, 1026634.770 to 1047586.500, 1


Plate, 1
Well, 2
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
9446.302, 0.000 to 18892.605, 0
28338.907, 18892.605 to 37785.210, 10
47231.512, 37785.210 to 56677.815, 17
66124.117, 56677.815 to 75570.420, 7
85016.722, 75570.420 to 94463.025, 9
103909.327, 94463.025 to 113355.630, 17
122801.932, 113355.630 to 132248.234, 19
141694.537, 132248.234 to 151140.839, 15
160587.142, 151140.839 to 170033.444, 19
179479.747, 170033.444 to 188926.049, 18
198372.352, 188926.049 to 207818.654, 20
217264.957, 207818.654 to 226711.259, 13
236157.562, 226711.259 to 245603.864, 16
255050.166, 245603.864 to 264496.469, 11
273942.771, 264496.469 to 283389.074, 5
292835.376, 283389.074 to 302281.679, 9
311727.981, 302281.679 to 321174.284, 6
330620.586, 321174.284 to 340066.889, 5
349513.191, 340066.889 to 358959.494, 5
368405.796, 358959.494 to 377852.098, 2
387298.401, 377852.098 to 396744.703, 2
406191.006, 396744.703 to 415637.308, 1
425083.611, 415637.308 to 434529.913, 0
443976.216, 434529.913 to 453422.518, 3
462868.821, 453422.518 to 472315.123, 1
481761.425, 472315.123 to 491207.728, 3
500654.030, 491207.728 to 510100.333, 0
519546.635, 510100.333 to 528992.938, 2
538439.240, 528992.938 to 547885.543, 0
557331.845, 547885.543 to 566778.148, 2
576224.450, 566778.148 to 585670.753, 0
595117.055, 585670.753 to 604563.357, 1
614009.660, 604563.357 to 623455.962, 1
632902.265, 623455.962 to 642348.567, 0
651794.870, 642348.567 to 661241.172, 1
670687.475, 661241.172 to 680133.777, 0
689580.080, 680133.777 to 699026.382, 0
708472.685, 699026.382 to 717918.987, 0
727365.289, 717918.987 to 736811.592, 0
746257.894, 736811.592 to 755704.197, 1
765150.499, 755704.197 to 774596.802, 0
784043.104, 774596.802 to 793489.407, 0
802935.709, 793489.407 to 812382.012, 2
821828.314, 812382.012 to 831274.617, 0
840720.919, 831274.617 to 850167.221, 0
859613.524, 850167.221 to 869059.826, 1
878506.129, 869059.826 to 887952.431, 0
897398.734, 887952.431 to 906845.036, 0
916291.339, 906845.036 to 925737.641, 0
935183.944, 925737.641 to 944630.246, 1


Plate, 1
Well, 3
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
15411.591, 0.000 to 30823.181, 0
46234.772, 30823.181 to 61646.362, 22
77057.953, 61646.362 to 92469.544, 16
107881.134, 92469.544 to 123292.725, 25
138704.316, 123292.725 to 154115.906, 39
169527.497, 154115.906 to 184939.087, 26
200350.678, 184939.087 to 215762.269, 21
231173.859, 215762.269 to 246585.450, 20
261997.040, 246585.450 to 277408.631, 10
292820.222, 277408.631 to 308231.812, 7
323643.403, 308231.812 to 339054.993, 7
354466.584, 339054.993 to 369878.175, 11
385289.765, 369878.175 to 400701.356, 5
416112.947, 400701.356 to 431524.537, 3
446936.128, 431524.537 to 462347.718, 3
477759.309, 462347.718 to 493170.900, 1
508582.490, 493170.900 to 523994.081, 2
539405.671, 523994.081 to 554817.262, 4
570228.853, 554817.262 to 585640.443, 3
601052.034, 585640.443 to 616463.625, 1
631875.215, 616463.625 to 647286.806, 0
662698.396, 647286.806 to 678109.987, 0
693521.578, 678109.987 to 708933.168, 1
724344.759, 708933.168 to 739756.349, 1
755167.940, 739756.349 to 770579.531, 1
785991.121, 770579.531 to 801402.712, 0
816814.303, 801402.712 to 832225.893, 1
847637.484, 832225.893 to 863049.074, 0
878460.665, 863049.074 to 893872.256, 0
909283.846, 893872.256 to 924695.437, 0
940107.027, 924695.437 to 955518.618, 1
970930.209, 955518.618 to 986341.799, 0
1001753.390, 986341.799 to 1017164.980, 0
1032576.571, 1017164.980 to 1047988.162, 0
1063399.752, 1047988.162 to 1078811.343, 0
1094222.934, 1078811.343 to 1109634.524, 0
1125046.115, 1109634.524 to 1140457.705, 0
1155869.296, 1140457.705 to 1171280.887, 0
1186692.477, 1171280.887 to 1202104.068, 1
1217515.658, 1202104.068 to 1232927.249, 0
1248338.840, 1232927.249 to 1263750.430, 0
1279162.021, 1263750.430 to 1294573.612, 0
1309985.202, 1294573.612 to 1325396.793, 0
1340808.383, 1325396.793 to 1356219.974, 0
1371631.565, 1356219.974 to 1387043.155, 0
1402454.746, 1387043.155 to 1417866.336, 0
1433277.927, 1417866.336 to 1448689.518, 0
1464101.108, 1448689.518 to 1479512.699, 0
1494924.289, 1479512.699 to 1510335.880, 1
1525747.471, 1510335.880 to 1541159.061, 1


Plate, 1
Well, 4
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10933.969, 0.000 to 21867.937, 0
32801.906, 21867.937 to 43735.874, 13
54669.843, 43735.874 to 65603.811, 12
76537.780, 65603.811 to 87471.749, 13
