Plate, 1
Well, 1
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.021, 0
0.025, 0.021 to 0.028, 0
0.032, 0.028 to 0.036, 0
0.039, 0.036 to 0.043, 0
0.046, 0.043 to 0.050, 0
0.053, 0.050 to 0.057, 0
0.061, 0.057 to 0.064, 0
0.068, 0.064 to 0.071, 0
0.075, 0.071 to 0.078, 0
0.082, 0.078 to 0.085, 0
0.089, 0.085 to 0.093, 0
0.096, 0.093 to 0.100, 0
0.103, 0.100 to 0.107, 0
0.110, 0.107 to 0.114, 0
0.117, 0.114 to 0.121, 1
0.125, 0.121 to 0.128, 2
0.132, 0.128 to 0.135, 1
0.139, 0.135 to 0.142, 7
0.146, 0.142 to 0.150, 8
0.153, 0.150 to 0.157, 16
0.160, 0.157 to 0.164, 15
0.167, 0.164 to 0.171, 19
0.174, 0.171 to 0.178, 16
0.182, 0.178 to 0.185, 13
0.189, 0.185 to 0.192, 17
0.196, 0.192 to 0.199, 12
0.203, 0.199 to 0.206, 13
0.210, 0.206 to 0.214, 11
0.217, 0.214 to 0.221, 12
0.224, 0.221 to 0.228, 10
0.231, 0.228 to 0.235, 2
0.239, 0.235 to 0.242, 6
0.246, 0.242 to 0.249, 7
0.253, 0.249 to 0.256, 6
0.260, 0.256 to 0.263, 3
0.267, 0.263 to 0.271, 7
0.274, 0.271 to 0.278, 3
0.281, 0.278 to 0.285, 2
0.288, 0.285 to 0.292, 2
0.295, 0.292 to 0.299, 1
0.303, 0.299 to 0.306, 0
0.310, 0.306 to 0.313, 0
0.317, 0.313 to 0.320, 1
0.324, 0.320 to 0.328, 2
0.331, 0.328 to 0.335, 2
0.338, 0.335 to 0.342, 0
0.345, 0.342 to 0.349, 0
0.352, 0.349 to 0.356, 2


Plate, 1
Well, 2
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.021, 0
0.024, 0.021 to 0.028, 0
0.031, 0.028 to 0.034, 0
0.038, 0.034 to 0.041, 0
0.045, 0.041 to 0.048, 0
0.052, 0.048 to 0.055, 0
0.059, 0.055 to 0.062, 0
0.066, 0.062 to 0.069, 0
0.072, 0.069 to 0.076, 0
0.079, 0.076 to 0.083, 0
0.086, 0.083 to 0.090, 0
0.093, 0.090 to 0.097, 0
0.100, 0.097 to 0.103, 0
0.107, 0.103 to 0.110, 2
0.114, 0.110 to 0.117, 3
0.121, 0.117 to 0.124, 3
0.128, 0.124 to 0.131, 12
0.134, 0.131 to 0.138, 12
0.141, 0.138 to 0.145, 12
0.148, 0.145 to 0.152, 16
0.155, 0.152 to 0.159, 13
0.162, 0.159 to 0.165, 16
0.169, 0.165 to 0.172, 22
0.176, 0.172 to 0.179, 15
0.183, 0.179 to 0.186, 13
0.190, 0.186 to 0.193, 15
0.197, 0.193 to 0.200, 11
0.203, 0.200 to 0.207, 12
0.210, 0.207 to 0.214, 12
0.217, 0.214 to 0.221, 7
0.224, 0.221 to 0.228, 9
0.231, 0.228 to 0.234, 4
0.238, 0.234 to 0.241, 9
0.245, 0.241 to 0.248, 4
0.252, 0.248 to 0.255, 3
0.259, 0.255 to 0.262, 4
0.265, 0.262 to 0.269, 7
0.272, 0.269 to 0.276, 1
0.279, 0.276 to 0.283, 2
0.286, 0.283 to 0.290, 1
0.293, 0.290 to 0.296, 1
0.300, 0.296 to 0.303, 1
0.307, 0.303 to 0.310, 1
0.314, 0.310 to 0.317, 0
0.321, 0.317 to 0.324, 0
0.328, 0.324 to 0.331, 1
0.334, 0.331 to 0.338, 0
0.341, 0.338 to 0.345, 1


Plate, 1
Well, 3
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.022, 0
0.025, 0.022 to 0.029, 0
0.032, 0.029 to 0.036, 0
0.039, 0.036 to 0.043, 0
0.047, 0.043 to 0.050, 0
0.054, 0.050 to 0.057, 0
0.061, 0.057 to 0.065, 0
0.068, 0.065 to 0.072, 0
0.075, 0.072 to 0.079, 0
0.082, 0.079 to 0.086, 1
0.090, 0.086 to 0.093, 1
0.097, 0.093 to 0.100, 4
