Plate, 1
Well, 1
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3371.876, 0.000 to 6743.753, 8
10115.629, 6743.753 to 13487.505, 23
16859.381, 13487.505 to 20231.258, 23
23603.134, 20231.258 to 26975.010, 37
30346.887, 26975.010 to 33718.763, 31
37090.639, 33718.763 to 40462.516, 25
43834.392, 40462.516 to 47206.268, 7
50578.144, 47206.268 to 53950.021, 13
57321.897, 53950.021 to 60693.773, 7
64065.650, 60693.773 to 67437.526, 7
70809.402, 67437.526 to 74181.278, 7
77553.155, 74181.278 to 80925.031, 3
84296.907, 80925.031 to 87668.784, 4
91040.660, 87668.784 to 94412.536, 3
97784.413, 94412.536 to 101156.289, 2
104528.165, 101156.289 to 107900.041, 2
111271.918, 107900.041 to 114643.794, 5
118015.670, 114643.794 to 121387.547, 2
124759.423, 121387.547 to 128131.299, 3
131503.175, 128131.299 to 134875.052, 1
138246.928, 134875.052 to 141618.804, 1
144990.681, 141618.804 to 148362.557, 2
151734.433, 148362.557 to 155106.309, 0
158478.186, 155106.309 to 161850.062, 0
165221.938, 161850.062 to 168593.815, 0
171965.691, 168593.815 to 175337.567, 0
178709.444, 175337.567 to 182081.320, 1
185453.196, 182081.320 to 188825.072, 1
192196.949, 188825.072 to 195568.825, 0
198940.701, 195568.825 to 202312.578, 0
205684.454, 202312.578 to 209056.330, 0
212428.206, 209056.330 to 215800.083, 0
219171.959, 215800.083 to 222543.835, 0
225915.712, 222543.835 to 229287.588, 0
232659.464, 229287.588 to 236031.341, 0
239403.217, 236031.341 to 242775.093, 0
246146.969, 242775.093 to 249518.846, 0
252890.722, 249518.846 to 256262.598, 0
259634.475, 256262.598 to 263006.351, 0
266378.227, 263006.351 to 269750.103, 0
273121.980, 269750.103 to 276493.856, 0
279865.732, 276493.856 to 283237.609, 0
286609.485, 283237.609 to 289981.361, 0
293353.238, 289981.361 to 296725.114, 0
300096.990, 296725.114 to 303468.866, 0
306840.743, 303468.866 to 310212.619, 0
313584.495, 310212.619 to 316956.372, 0
320328.248, 316956.372 to 323700.124, 0
327072.000, 323700.124 to 330443.877, 0
333815.753, 330443.877 to 337187.629, 1


Plate, 1
Well, 2
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2426.931, 0.000 to 4853.862, 2
7280.793, 4853.862 to 9707.724, 26
12134.655, 9707.724 to 14561.586, 10
16988.517, 14561.586 to 19415.448, 19
21842.379, 19415.448 to 24269.310, 26
26696.241, 24269.310 to 29123.172, 31
31550.103, 29123.172 to 33977.033, 22
36403.964, 33977.033 to 38830.895, 21
41257.826, 38830.895 to 43684.757, 16
46111.688, 43684.757 to 48538.619, 11
50965.550, 48538.619 to 53392.481, 14
55819.412, 53392.481 to 58246.343, 6
60673.274, 58246.343 to 63100.205, 6
65527.136, 63100.205 to 67954.067, 5
70380.998, 67954.067 to 72807.929, 6
75234.860, 72807.929 to 77661.791, 1
80088.722, 77661.791 to 82515.653, 4
84942.584, 82515.653 to 87369.515, 3
89796.446, 87369.515 to 92223.377, 1
94650.308, 92223.377 to 97077.239, 2
99504.170, 97077.239 to 101931.100, 0
104358.031, 101931.100 to 106784.962, 0
109211.893, 106784.962 to 111638.824, 2
114065.755, 111638.824 to 116492.686, 1
118919.617, 116492.686 to 121346.548, 1
123773.479, 121346.548 to 126200.410, 0
128627.341, 126200.410 to 131054.272, 1
133481.203, 131054.272 to 135908.134, 0
138335.065, 135908.134 to 140761.996, 2
143188.927, 140761.996 to 145615.858, 1
148042.789, 145615.858 to 150469.720, 1
152896.651, 150469.720 to 155323.582, 0
157750.513, 155323.582 to 160177.444, 0
162604.375, 160177.444 to 165031.306, 0
167458.236, 165031.306 to 169885.167, 0
172312.098, 169885.167 to 174739.029, 0
177165.960, 174739.029 to 179592.891, 0
182019.822, 179592.891 to 184446.753, 0
186873.684, 184446.753 to 189300.615, 1
191727.546, 189300.615 to 194154.477, 0
196581.408, 194154.477 to 199008.339, 1
201435.270, 199008.339 to 203862.201, 0
206289.132, 203862.201 to 208716.063, 0
211142.994, 208716.063 to 213569.925, 1
215996.856, 213569.925 to 218423.787, 0
220850.718, 218423.787 to 223277.649, 0
225704.580, 223277.649 to 228131.511, 0
230558.442, 228131.511 to 232985.373, 0
235412.303, 232985.373 to 237839.234, 0
240266.165, 237839.234 to 242693.096, 1


Plate, 1
Well, 3
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3541.265, 0.000 to 7082.530, 15
10623.795, 7082.530 to 14165.060, 28
17706.325, 14165.060 to 21247.590, 41
24788.855, 21247.590 to 28330.120, 41
31871.385, 28330.120 to 35412.650, 26
38953.915, 35412.650 to 42495.180, 19
46036.445, 42495.180 to 49577.710, 14
53118.975, 49577.710 to 56660.240, 16
60201.505, 56660.240 to 63742.770, 5
67284.035, 63742.770 to 70825.300, 3
74366.565, 70825.300 to 77907.830, 3
81449.096, 77907.830 to 84990.361, 4
88531.626, 84990.361 to 92072.891, 4
95614.156, 92072.891 to 99155.421, 2
102696.686, 99155.421 to 106237.951, 1
109779.216, 106237.951 to 113320.481, 2
116861.746, 113320.481 to 120403.011, 1
123944.276, 120403.011 to 127485.541, 0
131026.806, 127485.541 to 134568.071, 2
138109.336, 134568.071 to 141650.601, 2
145191.866, 141650.601 to 148733.131, 1
152274.396, 148733.131 to 155815.661, 0
159356.926, 155815.661 to 162898.191, 0
166439.456, 162898.191 to 169980.721, 0
173521.986, 169980.721 to 177063.251, 0
180604.516, 177063.251 to 184145.781, 0
187687.046, 184145.781 to 191228.311, 1
194769.576, 191228.311 to 198310.841, 0
201852.106, 198310.841 to 205393.371, 0
208934.636, 205393.371 to 212475.901, 0
216017.166, 212475.901 to 219558.431, 0
223099.696, 219558.431 to 226640.961, 0
230182.226, 226640.961 to 233723.491, 0
237264.756, 233723.491 to 240806.021, 2
244347.287, 240806.021 to 247888.552, 0
251429.817, 247888.552 to 254971.082, 0
258512.347, 254971.082 to 262053.612, 0
265594.877, 262053.612 to 269136.142, 0
272677.407, 269136.142 to 276218.672, 0
279759.937, 276218.672 to 283301.202, 0
286842.467, 283301.202 to 290383.732, 0
293924.997, 290383.732 to 297466.262, 0
301007.527, 297466.262 to 304548.792, 0
308090.057, 304548.792 to 311631.322, 0
315172.587, 311631.322 to 318713.852, 0
322255.117, 318713.852 to 325796.382, 0
329337.647, 325796.382 to 332878.912, 0
336420.177, 332878.912 to 339961.442, 0
343502.707, 339961.442 to 347043.972, 0
350585.237, 347043.972 to 354126.502, 1


Plate, 1
Well, 4
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3673.516, 0.000 to 7347.032, 11
11020.548, 7347.032 to 14694.064, 19
18367.580, 14694.064 to 22041.096, 27
25714.612, 22041.096 to 29388.128, 37
33061.644, 29388.128 to 36735.160, 34
40408.676, 36735.160 to 44082.192, 23
47755.708, 44082.192 to 51429.224, 8
55102.740, 51429.224 to 58776.256, 14
62449.772, 58776.256 to 66123.288, 6
69796.805, 66123.288 to 73470.321, 5
77143.837, 73470.321 to 80817.353, 7
84490.869, 80817.353 to 88164.385, 2
91837.901, 88164.385 to 95511.417, 4
99184.933, 95511.417 to 102858.449, 4
106531.965, 102858.449 to 110205.481, 2
113878.997, 110205.481 to 117552.513, 1
121226.029, 117552.513 to 124899.545, 0
128573.061, 124899.545 to 132246.577, 1
135920.093, 132246.577 to 139593.609, 0
143267.125, 139593.609 to 146940.641, 0
150614.157, 146940.641 to 154287.673, 1
157961.189, 154287.673 to 161634.705, 0
165308.221, 161634.705 to 168981.737, 0
172655.253, 168981.737 to 176328.769, 0
180002.285, 176328.769 to 183675.801, 0
187349.317, 183675.801 to 191022.833, 1
194696.349, 191022.833 to 198369.865, 0
202043.382, 198369.865 to 205716.898, 0
209390.414, 205716.898 to 213063.930, 0
216737.446, 213063.930 to 220410.962, 0
224084.478, 220410.962 to 227757.994, 0
231431.510, 227757.994 to 235105.026, 0
238778.542, 235105.026 to 242452.058, 0
246125.574, 242452.058 to 249799.090, 1
253472.606, 249799.090 to 257146.122, 0
260819.638, 257146.122 to 264493.154, 0
268166.670, 264493.154 to 271840.186, 0
275513.702, 271840.186 to 279187.218, 0
282860.734, 279187.218 to 286534.250, 0
290207.766, 286534.250 to 293881.282, 0
297554.798, 293881.282 to 301228.314, 0
304901.830, 301228.314 to 308575.346, 0
312248.862, 308575.346 to 315922.378, 0
