Plate, 2
Well, 4
Count, 42

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
536.922, 226418.638, 0.232, 52601.303, 81046088.712, 1419.272, 25823.333, 5249.333
544.171, 232574.026, 0.185, 43129.658, 84373412.855, 493.687, 24976.667, 3979.333
357.236, 100230.846, 0.255, 25534.995, 23870740.770, 1561.176, 11006.667, 31750.000
752.260, 444453.393, 0.171, 76034.454, 222896443.564, 535.479, 22860.000, 4656.667
480.722, 181500.627, 0.183, 33287.610, 58167579.732, 2131.852, 17610.667, 3132.667
434.215, 148080.954, 0.193, 28556.374, 42865964.974, 1737.215, 29294.667, 8297.333
500.421, 196680.157, 0.178, 35028.382, 65615224.835, 1610.893, 17526.000, 26585.333
430.393, 145486.024, 0.172, 24961.505, 41744158.829, 2033.763, 5334.000, 23706.667
339.059, 90290.027, 0.175, 15844.403, 20409082.044, 757.282, 28617.333, 21420.667
520.784, 213012.253, 0.153, 32519.290, 73955534.078, 1212.242, 22352.000, 5757.333
376.574, 111375.729, 0.168, 18676.761, 27960803.090, 3039.757, 10160.000, 20489.333
340.078, 90833.579, 0.200, 18167.996, 20593655.406, 946.602, 8720.667, 5842.000
377.234, 111766.309, 0.174, 19487.302, 28108014.233, 757.282, 29294.667, 21082.000
367.225, 105914.134, 0.194, 20584.681, 25929532.204, 1561.176, 11345.333, 30226.000
285.849, 64174.677, 0.198, 12693.226, 12229517.964, 3898.346, 30649.333, 14816.667
307.775, 74397.298, 0.162, 12058.786, 15265096.245, 493.687, 24553.333, 3725.333
527.598, 218623.215, 0.160, 34934.991, 76896790.536, 3039.757, 10837.333, 23452.667
472.873, 175622.197, 0.162, 28385.490, 55364694.523, 1258.660, 28109.333, 7027.333
488.593, 187493.052, 0.170, 31935.658, 61071919.066, 1135.923, 27262.667, 6096.000
342.031, 91880.228, 0.161, 14752.083, 20950620.882, 1033.488, 6011.333, 8551.333
597.635, 280518.543, 0.126, 35238.361, 111765087.667, 535.479, 23368.000, 4487.333
290.574, 66313.521, 0.163, 10834.566, 12845970.797, 3329.026, 14308.667, 3556.000
308.536, 74765.577, 0.164, 12295.092, 15378583.420, 2421.526, 12784.667, 14901.333
273.507, 58752.365, 0.184, 10836.053, 10712771.330, 1033.488, 6604.000, 7704.667
213.251, 35716.812, 0.202, 7229.806, 5077767.728, 493.687, 30818.667, 10922.000
223.867, 39361.483, 0.166, 6522.736, 5874500.904, 5779.702, 4826.000, 17949.333
355.437, 99223.585, 0.149, 14751.540, 23511815.996, 1930.697, 20489.333, 5249.333
275.061, 59422.096, 0.154, 9132.413, 10896468.160, 1610.893, 17441.333, 28194.000
356.550, 99846.042, 0.174, 17327.689, 23733406.795, 5546.798, 22944.667, 25400.000
217.621, 37195.693, 0.183, 6815.968, 5396383.125, 2421.526, 10837.333, 16340.667
502.313, 198170.349, 0.120, 23688.322, 66362358.195, 946.602, 9567.333, 5418.667
448.957, 158307.068, 0.138, 21882.451, 47382094.795, 4922.331, 32512.000, 24807.333
218.364, 37450.159, 0.161, 6043.713, 5451855.025, 2131.852, 17864.667, 5249.333
349.174, 95757.880, 0.145, 13895.174, 22290796.335, 1856.885, 7704.667, 9313.333
374.129, 109934.205, 0.205, 22489.719, 27419722.867, 4591.557, 34882.667, 16594.667
231.907, 42239.383, 0.153, 6446.158, 6530405.526, 1561.176, 14224.000, 12361.333
249.599, 48929.872, 0.171, 8383.029, 8141884.082, 1135.923, 26246.667, 6604.000
217.621, 37195.693, 0.170, 6329.623, 5396383.125, 698.179, 30649.333, 10244.667
444.302, 155040.855, 0.127, 19659.061, 45923294.282, 493.687, 31242.000, 10668.000
208.327, 34086.426, 0.150, 5101.449, 4734084.490, 1561.176, 13208.000, 11176.000
210.667, 34856.524, 0.170, 5931.565, 4895419.558, 2033.763, 7366.000, 23791.333
542.339, 231010.439, 0.111, 25528.759, 83523985.088, 1643.929, 5672.667, 6350.000



ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	21:15:36
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-09\Plate2\Plate2.ics
