Plate, 2
Well, 1
Count, 131
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.735, 0.000 to 17.470, 0
26.205, 17.470 to 34.940, 0
43.675, 34.940 to 52.410, 0
61.145, 52.410 to 69.880, 0
78.615, 69.880 to 87.350, 0
96.086, 87.350 to 104.821, 0
113.556, 104.821 to 122.291, 0
131.026, 122.291 to 139.761, 0
148.496, 139.761 to 157.231, 0
165.966, 157.231 to 174.701, 0
183.436, 174.701 to 192.171, 0
200.906, 192.171 to 209.641, 1
218.376, 209.641 to 227.111, 10
235.846, 227.111 to 244.581, 4
253.316, 244.581 to 262.051, 1
270.787, 262.051 to 279.522, 1
288.257, 279.522 to 296.992, 3
305.727, 296.992 to 314.462, 1
323.197, 314.462 to 331.932, 3
340.667, 331.932 to 349.402, 10
358.137, 349.402 to 366.872, 5
375.607, 366.872 to 384.342, 2
393.077, 384.342 to 401.812, 5
410.547, 401.812 to 419.282, 11
428.017, 419.282 to 436.752, 9
445.488, 436.752 to 454.223, 3
462.958, 454.223 to 471.693, 3
480.428, 471.693 to 489.163, 4
497.898, 489.163 to 506.633, 7
515.368, 506.633 to 524.103, 3
532.838, 524.103 to 541.573, 5
550.308, 541.573 to 559.043, 2
567.778, 559.043 to 576.513, 3
585.248, 576.513 to 593.983, 1
602.718, 593.983 to 611.453, 5
620.189, 611.453 to 628.924, 5
637.659, 628.924 to 646.394, 1
655.129, 646.394 to 663.864, 5
672.599, 663.864 to 681.334, 4
690.069, 681.334 to 698.804, 3
707.539, 698.804 to 716.274, 2
725.009, 716.274 to 733.744, 2
742.479, 733.744 to 751.214, 1
759.949, 751.214 to 768.684, 1
777.419, 768.684 to 786.154, 1
794.889, 786.154 to 803.625, 0
812.360, 803.625 to 821.095, 1
829.830, 821.095 to 838.565, 1
847.300, 838.565 to 856.035, 0
864.770, 856.035 to 873.505, 2


Plate, 2
Well, 2
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.108, 0.000 to 20.217, 0
30.325, 20.217 to 40.434, 0
50.542, 40.434 to 60.650, 0
70.759, 60.650 to 80.867, 0
90.976, 80.867 to 101.084, 0
111.193, 101.084 to 121.301, 0
131.409, 121.301 to 141.518, 0
151.626, 141.518 to 161.735, 0
171.843, 161.735 to 181.951, 0
192.060, 181.951 to 202.168, 1
212.277, 202.168 to 222.385, 8
232.493, 222.385 to 242.602, 6
252.710, 242.602 to 262.819, 3
272.927, 262.819 to 283.035, 3
293.144, 283.035 to 303.252, 2
313.361, 303.252 to 323.469, 6
333.578, 323.469 to 343.686, 5
353.794, 343.686 to 363.903, 7
374.011, 363.903 to 384.120, 12
394.228, 384.120 to 404.336, 10
414.445, 404.336 to 424.553, 14
434.662, 424.553 to 444.770, 10
454.878, 444.770 to 464.987, 7
475.095, 464.987 to 485.204, 4
495.312, 485.204 to 505.421, 10
515.529, 505.421 to 525.637, 9
535.746, 525.637 to 545.854, 8
555.963, 545.854 to 566.071, 5
576.179, 566.071 to 586.288, 4
596.396, 586.288 to 606.505, 3
616.613, 606.505 to 626.721, 4
636.830, 626.721 to 646.938, 1
657.047, 646.938 to 667.155, 1
677.264, 667.155 to 687.372, 1
697.480, 687.372 to 707.589, 2
717.697, 707.589 to 727.806, 0
737.914, 727.806 to 748.022, 1
758.131, 748.022 to 768.239, 0
778.348, 768.239 to 788.456, 0
798.564, 788.456 to 808.673, 0
818.781, 808.673 to 828.890, 1
838.998, 828.890 to 849.106, 1
859.215, 849.106 to 869.323, 1
879.432, 869.323 to 889.540, 0
899.649, 889.540 to 909.757, 0
919.865, 909.757 to 929.974, 0
940.082, 929.974 to 950.191, 0
960.299, 950.191 to 970.407, 0
980.516, 970.407 to 990.624, 0
1000.733, 990.624 to 1010.841, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
7.601, 0.000 to 15.203, 0
22.804, 15.203 to 30.405, 0
38.006, 30.405 to 45.608, 0
53.209, 45.608 to 60.810, 0
68.412, 60.810 to 76.013, 0
83.614, 76.013 to 91.215, 0
98.817, 91.215 to 106.418, 0
114.019, 106.418 to 121.621, 0
129.222, 121.621 to 136.823, 0
144.424, 136.823 to 152.026, 0
159.627, 152.026 to 167.228, 0
174.830, 167.228 to 182.431, 0
190.032, 182.431 to 197.633, 0
205.235, 197.633 to 212.836, 1
220.437, 212.836 to 228.039, 10
235.640, 228.039 to 243.241, 3
250.843, 243.241 to 258.444, 0
266.045, 258.444 to 273.646, 4
281.248, 273.646 to 288.849, 4
296.450, 288.849 to 304.052, 3
311.653, 304.052 to 319.254, 2
326.855, 319.254 to 334.457, 0
342.058, 334.457 to 349.659, 7
357.261, 349.659 to 364.862, 4
372.463, 364.862 to 380.064, 6
387.666, 380.064 to 395.267, 6
402.868, 395.267 to 410.470, 5
418.071, 410.470 to 425.672, 4
433.273, 425.672 to 440.875, 7
448.476, 440.875 to 456.077, 4
463.679, 456.077 to 471.280, 5
478.881, 471.280 to 486.482, 3
494.084, 486.482 to 501.685, 4
509.286, 501.685 to 516.888, 4
524.489, 516.888 to 532.090, 3
539.691, 532.090 to 547.293, 7
554.894, 547.293 to 562.495, 1
570.097, 562.495 to 577.698, 1
585.299, 577.698 to 592.900, 0
600.502, 592.900 to 608.103, 0
615.704, 608.103 to 623.306, 1
630.907, 623.306 to 638.508, 0
646.110, 638.508 to 653.711, 2
661.312, 653.711 to 668.913, 0
676.515, 668.913 to 684.116, 2
691.717, 684.116 to 699.319, 1
706.920, 699.319 to 714.521, 0
722.122, 714.521 to 729.724, 0
737.325, 729.724 to 744.926, 0
752.528, 744.926 to 760.129, 1


Plate, 2
Well, 4
Count, 43
CHARM Settings 1:		unsaved settings

Type 1 Histograms
