Plate, 2
Well, 1
Count, 131
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
3489753.204, 0.000 to 6979506.408, 13
10469259.613, 6979506.408 to 13959012.817, 7
17448766.021, 13959012.817 to 20938519.225, 8
24428272.430, 20938519.225 to 27918025.634, 12
31407778.838, 27918025.634 to 34897532.042, 7
38387285.247, 34897532.042 to 41877038.451, 17
45366791.655, 41877038.451 to 48856544.859, 5
52346298.064, 48856544.859 to 55836051.268, 3
59325804.472, 55836051.268 to 62815557.676, 6
66305310.880, 62815557.676 to 69795064.085, 6
73284817.289, 69795064.085 to 76774570.493, 2
80264323.697, 76774570.493 to 83754076.902, 5
87243830.106, 83754076.902 to 90733583.310, 2
94223336.514, 90733583.310 to 97713089.719, 3
101202842.923, 97713089.719 to 104692596.127, 1
108182349.331, 104692596.127 to 111672102.536, 2
115161855.740, 111672102.536 to 118651608.944, 3
122141362.148, 118651608.944 to 125631115.352, 4
129120868.557, 125631115.352 to 132610621.761, 1
136100374.965, 132610621.761 to 139590128.169, 1
143079881.374, 139590128.169 to 146569634.578, 3
150059387.782, 146569634.578 to 153549140.986, 2
157038894.191, 153549140.986 to 160528647.395, 1
164018400.599, 160528647.395 to 167508153.803, 4
170997907.007, 167508153.803 to 174487660.212, 2
177977413.416, 174487660.212 to 181467166.620, 0
184956919.824, 181467166.620 to 188446673.029, 1
191936426.233, 188446673.029 to 195426179.437, 1
198915932.641, 195426179.437 to 202405685.846, 0
205895439.050, 202405685.846 to 209385192.254, 2
212874945.458, 209385192.254 to 216364698.663, 1
219854451.867, 216364698.663 to 223344205.071, 0
226833958.275, 223344205.071 to 230323711.479, 0
233813464.684, 230323711.479 to 237303217.888, 0
240792971.092, 237303217.888 to 244282724.296, 2
247772477.501, 244282724.296 to 251262230.705, 0
254751983.909, 251262230.705 to 258241737.113, 0
261731490.318, 258241737.113 to 265221243.522, 0
268710996.726, 265221243.522 to 272200749.930, 1
275690503.135, 272200749.930 to 279180256.339, 0
282670009.543, 279180256.339 to 286159762.747, 0
289649515.951, 286159762.747 to 293139269.156, 0
296629022.360, 293139269.156 to 300118775.564, 1
303608528.768, 300118775.564 to 307098281.973, 0
310588035.177, 307098281.973 to 314077788.381, 0
317567541.585, 314077788.381 to 321057294.790, 0
324547047.994, 321057294.790 to 328036801.198, 0
331526554.402, 328036801.198 to 335016307.607, 1
338506060.811, 335016307.607 to 341995814.015, 0
345485567.219, 341995814.015 to 348975320.423, 1


Plate, 2
Well, 2
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
5408131.608, 0.000 to 10816263.216, 19
16224394.825, 10816263.216 to 21632526.433, 17
27040658.041, 21632526.433 to 32448789.649, 23
37856921.258, 32448789.649 to 43265052.866, 21
48673184.474, 43265052.866 to 54081316.082, 15
59489447.691, 54081316.082 to 64897579.299, 8
70305710.907, 64897579.299 to 75713842.515, 13
81121974.124, 75713842.515 to 86530105.732, 10
91938237.340, 86530105.732 to 97346368.948, 6
102754500.557, 97346368.948 to 108162632.165, 3
113570763.773, 108162632.165 to 118978895.381, 3
124387026.990, 118978895.381 to 129795158.598, 3
135203290.206, 129795158.598 to 140611421.814, 1
146019553.423, 140611421.814 to 151427685.031, 1
156835816.639, 151427685.031 to 162243948.247, 1
167652079.856, 162243948.247 to 173060211.464, 2
178468343.072, 173060211.464 to 183876474.680, 0
189284606.289, 183876474.680 to 194692737.897, 0
200100869.505, 194692737.897 to 205509001.113, 0
210917132.722, 205509001.113 to 216325264.330, 1
221733395.938, 216325264.330 to 227141527.546, 0
232549659.155, 227141527.546 to 237957790.763, 0
243365922.371, 237957790.763 to 248774053.979, 0
254182185.588, 248774053.979 to 259590317.196, 0
264998448.804, 259590317.196 to 270406580.412, 0
275814712.021, 270406580.412 to 281222843.629, 0
286630975.237, 281222843.629 to 292039106.845, 1
297447238.454, 292039106.845 to 302855370.062, 0
308263501.670, 302855370.062 to 313671633.278, 1
319079764.887, 313671633.278 to 324487896.495, 1
329896028.103, 324487896.495 to 335304159.711, 0
340712291.320, 335304159.711 to 346120422.928, 0
351528554.536, 346120422.928 to 356936686.144, 0
362344817.753, 356936686.144 to 367752949.361, 0
373161080.969, 367752949.361 to 378569212.577, 0
383977344.186, 378569212.577 to 389385475.794, 0
394793607.402, 389385475.794 to 400201739.010, 0
405609870.619, 400201739.010 to 411018002.227, 0
416426133.835, 411018002.227 to 421834265.443, 0
427242397.052, 421834265.443 to 432650528.660, 0
438058660.268, 432650528.660 to 443466791.876, 0
448874923.485, 443466791.876 to 454283055.093, 0
459691186.701, 454283055.093 to 465099318.309, 0
470507449.918, 465099318.309 to 475915581.526, 0
481323713.134, 475915581.526 to 486731844.742, 0
492139976.351, 486731844.742 to 497548107.959, 0
502956239.567, 497548107.959 to 508364371.175, 0
513772502.784, 508364371.175 to 519180634.392, 0
524588766.000, 519180634.392 to 529996897.608, 0
535405029.217, 529996897.608 to 540813160.825, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
2299642.083, 0.000 to 4599284.166, 0
6898926.249, 4599284.166 to 9198568.332, 17
11498210.415, 9198568.332 to 13797852.498, 7
16097494.581, 13797852.498 to 18397136.663, 3
20696778.746, 18397136.663 to 22996420.829, 9
25296062.912, 22996420.829 to 27595704.995, 6
29895347.078, 27595704.995 to 32194989.161, 8
34494631.244, 32194989.161 to 36794273.327, 5
39093915.410, 36794273.327 to 41393557.493, 7
43693199.576, 41393557.493 to 45992841.659, 5
48292483.742, 45992841.659 to 50592125.824, 3
52891767.907, 50592125.824 to 55191409.990, 5
57491052.073, 55191409.990 to 59790694.156, 3
62090336.239, 59790694.156 to 64389978.322, 3
66689620.405, 64389978.322 to 68989262.488, 3
71288904.571, 68989262.488 to 73588546.654, 2
75888188.737, 73588546.654 to 78187830.820, 3
80487472.903, 78187830.820 to 82787114.986, 4
85086757.068, 82787114.986 to 87386399.151, 4
89686041.234, 87386399.151 to 91985683.317, 0
94285325.400, 91985683.317 to 96584967.483, 1
98884609.566, 96584967.483 to 101184251.649, 0
103483893.732, 101184251.649 to 105783535.815, 0
108083177.898, 105783535.815 to 110382819.981, 0
112682462.064, 110382819.981 to 114982104.147, 0
117281746.229, 114982104.147 to 119581388.312, 0
121881030.395, 119581388.312 to 124180672.478, 0
126480314.561, 124180672.478 to 128779956.644, 1
131079598.727, 128779956.644 to 133379240.810, 0
135678882.893, 133379240.810 to 137978524.976, 0
140278167.059, 137978524.976 to 142577809.142, 0
144877451.225, 142577809.142 to 147177093.308, 2
149476735.391, 147177093.308 to 151776377.473, 0
154076019.556, 151776377.473 to 156375661.639, 0
158675303.722, 156375661.639 to 160974945.805, 2
163274587.888, 160974945.805 to 165574229.971, 0
167873872.054, 165574229.971 to 170173514.137, 1
172473156.220, 170173514.137 to 174772798.303, 0
177072440.386, 174772798.303 to 179372082.469, 0
181671724.552, 179372082.469 to 183971366.634, 0
186271008.717, 183971366.634 to 188570650.800, 0
190870292.883, 188570650.800 to 193169934.966, 0
195469577.049, 193169934.966 to 197769219.132, 0
200068861.215, 197769219.132 to 202368503.298, 0
204668145.381, 202368503.298 to 206967787.464, 0
209267429.547, 206967787.464 to 211567071.630, 0
213866713.713, 211567071.630 to 216166355.795, 0
218465997.878, 216166355.795 to 220765639.961, 0
223065282.044, 220765639.961 to 225364924.127, 0
227664566.210, 225364924.127 to 229964208.293, 1


Plate, 2
Well, 4
Count, 43
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
2497311.485, 0.000 to 4994622.970, 2
7491934.455, 4994622.970 to 9989245.940, 10
12486557.424, 9989245.940 to 14983868.909, 0
17481180.394, 14983868.909 to 19978491.879, 3
22475803.364, 19978491.879 to 24973114.849, 2
