Plate, 2
Well, 1
Count, 131
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1986.525, 0.000 to 3973.050, 0
5959.574, 3973.050 to 7946.099, 13
9932.624, 7946.099 to 11919.149, 7
13905.674, 11919.149 to 15892.199, 14
17878.723, 15892.199 to 19865.248, 9
21851.773, 19865.248 to 23838.298, 11
25824.823, 23838.298 to 27811.347, 11
29797.872, 27811.347 to 31784.397, 9
33770.922, 31784.397 to 35757.447, 4
37743.971, 35757.447 to 39730.496, 2
41717.021, 39730.496 to 43703.546, 5
45690.071, 43703.546 to 47676.596, 6
49663.120, 47676.596 to 51649.645, 6
53636.170, 51649.645 to 55622.695, 4
57609.220, 55622.695 to 59595.744, 5
61582.269, 59595.744 to 63568.794, 2
65555.319, 63568.794 to 67541.844, 5
69528.369, 67541.844 to 71514.893, 2
73501.418, 71514.893 to 75487.943, 1
77474.468, 75487.943 to 79460.993, 1
81447.517, 79460.993 to 83434.042, 2
85420.567, 83434.042 to 87407.092, 2
89393.617, 87407.092 to 91380.141, 1
93366.666, 91380.141 to 95353.191, 2
97339.716, 95353.191 to 99326.241, 1
101312.766, 99326.241 to 103299.290, 0
105285.815, 103299.290 to 107272.340, 0
109258.865, 107272.340 to 111245.390, 0
113231.914, 111245.390 to 115218.439, 1
117204.964, 115218.439 to 119191.489, 1
121178.014, 119191.489 to 123164.539, 0
125151.063, 123164.539 to 127137.588, 0
129124.113, 127137.588 to 131110.638, 0
133097.163, 131110.638 to 135083.687, 0
137070.212, 135083.687 to 139056.737, 1
141043.262, 139056.737 to 143029.787, 0
145016.311, 143029.787 to 147002.836, 1
148989.361, 147002.836 to 150975.886, 0
152962.411, 150975.886 to 154948.936, 0
156935.460, 154948.936 to 158921.985, 0
160908.510, 158921.985 to 162895.035, 0
164881.560, 162895.035 to 166868.084, 0
168854.609, 166868.084 to 170841.134, 0
172827.659, 170841.134 to 174814.184, 0
176800.709, 174814.184 to 178787.233, 0
180773.758, 178787.233 to 182760.283, 1
184746.808, 182760.283 to 186733.333, 0
188719.857, 186733.333 to 190706.382, 0
192692.907, 190706.382 to 194679.432, 0
196665.957, 194679.432 to 198652.482, 1


Plate, 2
Well, 2
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1282.681, 0.000 to 2565.362, 0
3848.043, 2565.362 to 5130.724, 5
6413.406, 5130.724 to 7696.087, 11
8978.768, 7696.087 to 10261.449, 3
11544.130, 10261.449 to 12826.811, 12
14109.492, 12826.811 to 15392.173, 10
16674.855, 15392.173 to 17957.536, 10
19240.217, 17957.536 to 20522.898, 14
21805.579, 20522.898 to 23088.260, 10
24370.941, 23088.260 to 25653.622, 9
26936.304, 25653.622 to 28218.985, 8
29501.666, 28218.985 to 30784.347, 5
32067.028, 30784.347 to 33349.709, 8
34632.390, 33349.709 to 35915.071, 9
37197.752, 35915.071 to 38480.434, 2
39763.115, 38480.434 to 41045.796, 4
42328.477, 41045.796 to 43611.158, 2
44893.839, 43611.158 to 46176.520, 3
47459.201, 46176.520 to 48741.883, 2
50024.564, 48741.883 to 51307.245, 4
52589.926, 51307.245 to 53872.607, 1
55155.288, 53872.607 to 56437.969, 2
57720.650, 56437.969 to 59003.331, 2
60286.013, 59003.331 to 61568.694, 4
62851.375, 61568.694 to 64134.056, 1
65416.737, 64134.056 to 66699.418, 0
67982.099, 66699.418 to 69264.780, 1
70547.462, 69264.780 to 71830.143, 2
73112.824, 71830.143 to 74395.505, 0
75678.186, 74395.505 to 76960.867, 0
78243.548, 76960.867 to 79526.229, 0
80808.911, 79526.229 to 82091.592, 0
83374.273, 82091.592 to 84656.954, 1
85939.635, 84656.954 to 87222.316, 0
88504.997, 87222.316 to 89787.678, 1
91070.359, 89787.678 to 92353.041, 0
93635.722, 92353.041 to 94918.403, 1
96201.084, 94918.403 to 97483.765, 0
98766.446, 97483.765 to 100049.127, 0
101331.808, 100049.127 to 102614.490, 1
103897.171, 102614.490 to 105179.852, 2
106462.533, 105179.852 to 107745.214, 0
109027.895, 107745.214 to 110310.576, 0
111593.257, 110310.576 to 112875.939, 0
114158.620, 112875.939 to 115441.301, 0
116723.982, 115441.301 to 118006.663, 0
119289.344, 118006.663 to 120572.025, 0
121854.706, 120572.025 to 123137.387, 0
124420.069, 123137.387 to 125702.750, 0
126985.431, 125702.750 to 128268.112, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1028.448, 0.000 to 2056.897, 0
3085.345, 2056.897 to 4113.794, 1
5142.242, 4113.794 to 6170.690, 9
7199.139, 6170.690 to 8227.587, 8
9256.036, 8227.587 to 10284.484, 3
11312.933, 10284.484 to 12341.381, 4
13369.829, 12341.381 to 14398.278, 5
15426.726, 14398.278 to 16455.175, 9
17483.623, 16455.175 to 18512.071, 10
19540.520, 18512.071 to 20568.968, 5
21597.417, 20568.968 to 22625.865, 9
23654.314, 22625.865 to 24682.762, 9
25711.210, 24682.762 to 26739.659, 6
27768.107, 26739.659 to 28796.556, 2
29825.004, 28796.556 to 30853.452, 3
31881.901, 30853.452 to 32910.349, 4
33938.798, 32910.349 to 34967.246, 2
35995.695, 34967.246 to 37024.143, 2
38052.591, 37024.143 to 39081.040, 1
40109.488, 39081.040 to 41137.937, 3
42166.385, 41137.937 to 43194.833, 2
44223.282, 43194.833 to 45251.730, 1
46280.179, 45251.730 to 47308.627, 2
48337.076, 47308.627 to 49365.524, 1
50393.972, 49365.524 to 51422.421, 0
