Plate, 4
Well, 1
Count, 186
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5045.609, 0.000 to 10091.219, 0
15136.828, 10091.219 to 20182.437, 0
25228.047, 20182.437 to 30273.656, 0
35319.265, 30273.656 to 40364.874, 13
45410.484, 40364.874 to 50456.093, 7
55501.702, 50456.093 to 60547.312, 9
65592.921, 60547.312 to 70638.530, 6
75684.140, 70638.530 to 80729.749, 5
85775.358, 80729.749 to 90820.967, 1
95866.577, 90820.967 to 100912.186, 13
105957.795, 100912.186 to 111003.405, 8
116049.014, 111003.405 to 121094.623, 18
126140.233, 121094.623 to 131185.842, 8
136231.451, 131185.842 to 141277.060, 12
146322.670, 141277.060 to 151368.279, 14
156413.888, 151368.279 to 161459.498, 7
166505.107, 161459.498 to 171550.716, 7
176596.326, 171550.716 to 181641.935, 8
186687.544, 181641.935 to 191733.154, 4
196778.763, 191733.154 to 201824.372, 4
206869.981, 201824.372 to 211915.591, 9
216961.200, 211915.591 to 222006.809, 8
227052.419, 222006.809 to 232098.028, 3
237143.637, 232098.028 to 242189.247, 4
247234.856, 242189.247 to 252280.465, 1
257326.074, 252280.465 to 262371.684, 3
267417.293, 262371.684 to 272462.902, 1
277508.512, 272462.902 to 282554.121, 0
287599.730, 282554.121 to 292645.340, 2
297690.949, 292645.340 to 302736.558, 1
307782.168, 302736.558 to 312827.777, 1
317873.386, 312827.777 to 322918.995, 0
327964.605, 322918.995 to 333010.214, 3
338055.823, 333010.214 to 343101.433, 1
348147.042, 343101.433 to 353192.651, 0
358238.261, 353192.651 to 363283.870, 1
368329.479, 363283.870 to 373375.088, 1
378420.698, 373375.088 to 383466.307, 1
388511.916, 383466.307 to 393557.526, 0
398603.135, 393557.526 to 403648.744, 1
408694.354, 403648.744 to 413739.963, 0
418785.572, 413739.963 to 423831.181, 0
428876.791, 423831.181 to 433922.400, 0
438968.009, 433922.400 to 444013.619, 0
449059.228, 444013.619 to 454104.837, 0
459150.447, 454104.837 to 464196.056, 0
469241.665, 464196.056 to 474287.275, 0
479332.884, 474287.275 to 484378.493, 0
489424.102, 484378.493 to 494469.712, 0
499515.321, 494469.712 to 504560.930, 1


Plate, 4
Well, 2
Count, 147
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5956.135, 0.000 to 11912.270, 0
17868.404, 11912.270 to 23824.539, 0
29780.674, 23824.539 to 35736.809, 5
41692.944, 35736.809 to 47649.079, 11
53605.213, 47649.079 to 59561.348, 6
65517.483, 59561.348 to 71473.618, 5
77429.753, 71473.618 to 83385.887, 7
89342.022, 83385.887 to 95298.157, 4
101254.292, 95298.157 to 107210.427, 7
113166.561, 107210.427 to 119122.696, 13
125078.831, 119122.696 to 131034.966, 8
136991.101, 131034.966 to 142947.236, 9
148903.370, 142947.236 to 154859.505, 10
160815.640, 154859.505 to 166771.775, 6
172727.910, 166771.775 to 178684.044, 5
184640.179, 178684.044 to 190596.314, 7
196552.449, 190596.314 to 202508.584, 5
208464.718, 202508.584 to 214420.853, 4
220376.988, 214420.853 to 226333.123, 7
232289.258, 226333.123 to 238245.393, 5
244201.527, 238245.393 to 250157.662, 2
256113.797, 250157.662 to 262069.932, 2
268026.067, 262069.932 to 273982.201, 1
279938.336, 273982.201 to 285894.471, 2
291850.606, 285894.471 to 297806.741, 3
303762.875, 297806.741 to 309719.010, 1
315675.145, 309719.010 to 321631.280, 3
327587.415, 321631.280 to 333543.550, 1
339499.684, 333543.550 to 345455.819, 1
351411.954, 345455.819 to 357368.089, 0
363324.224, 357368.089 to 369280.358, 1
375236.493, 369280.358 to 381192.628, 0
387148.763, 381192.628 to 393104.898, 1
399061.032, 393104.898 to 405017.167, 0
410973.302, 405017.167 to 416929.437, 1
422885.572, 416929.437 to 428841.707, 0
434797.841, 428841.707 to 440753.976, 0
446710.111, 440753.976 to 452666.246, 1
458622.381, 452666.246 to 464578.515, 0
470534.650, 464578.515 to 476490.785, 1
482446.920, 476490.785 to 488403.055, 1
494359.190, 488403.055 to 500315.324, 0
506271.459, 500315.324 to 512227.594, 0
518183.729, 512227.594 to 524139.864, 0
530095.998, 524139.864 to 536052.133, 0
542008.268, 536052.133 to 547964.403, 0
553920.538, 547964.403 to 559876.672, 0
565832.807, 559876.672 to 571788.942, 0
577745.077, 571788.942 to 583701.212, 0
589657.347, 583701.212 to 595613.481, 1


Plate, 4
Well, 3
Count, 104
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4514.316, 0.000 to 9028.633, 0
13542.949, 9028.633 to 18057.265, 0
22571.581, 18057.265 to 27085.898, 0
31600.214, 27085.898 to 36114.530, 4
40628.847, 36114.530 to 45143.163, 12
49657.479, 45143.163 to 54171.795, 4
58686.112, 54171.795 to 63200.428, 5
67714.744, 63200.428 to 72229.061, 1
76743.377, 72229.061 to 81257.693, 4
85772.009, 81257.693 to 90286.326, 5
94800.642, 90286.326 to 99314.958, 12
103829.275, 99314.958 to 108343.591, 7
112857.907, 108343.591 to 117372.223, 2
121886.540, 117372.223 to 126400.856, 5
130915.172, 126400.856 to 135429.489, 6
139943.805, 135429.489 to 144458.121, 4
148972.437, 144458.121 to 153486.754, 3
158001.070, 153486.754 to 162515.386, 2
167029.703, 162515.386 to 171544.019, 3
176058.335, 171544.019 to 180572.651, 6
185086.968, 180572.651 to 189601.284, 3
194115.600, 189601.284 to 198629.917, 1
203144.233, 198629.917 to 207658.549, 1
212172.865, 207658.549 to 216687.182, 1
