Plate, 4
Well, 1
Count, 186
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.015, 0.000 to 16.030, 0
24.045, 16.030 to 32.061, 0
40.076, 32.061 to 48.091, 0
56.106, 48.091 to 64.121, 0
72.136, 64.121 to 80.152, 0
88.167, 80.152 to 96.182, 0
104.197, 96.182 to 112.212, 0
120.227, 112.212 to 128.242, 0
136.258, 128.242 to 144.273, 0
152.288, 144.273 to 160.303, 0
168.318, 160.303 to 176.333, 0
184.349, 176.333 to 192.364, 0
200.379, 192.364 to 208.394, 2
216.409, 208.394 to 224.424, 10
232.439, 224.424 to 240.455, 7
248.470, 240.455 to 256.485, 3
264.500, 256.485 to 272.515, 5
280.530, 272.515 to 288.546, 5
296.561, 288.546 to 304.576, 5
312.591, 304.576 to 320.606, 3
328.621, 320.606 to 336.636, 0
344.652, 336.636 to 352.667, 12
360.682, 352.667 to 368.697, 4
376.712, 368.697 to 384.727, 21
392.743, 384.727 to 400.758, 5
408.773, 400.758 to 416.788, 13
424.803, 416.788 to 432.818, 8
440.833, 432.818 to 448.849, 16
456.864, 448.849 to 464.879, 8
472.894, 464.879 to 480.909, 9
488.924, 480.909 to 496.940, 5
504.955, 496.940 to 512.970, 9
520.985, 512.970 to 529.000, 8
537.015, 529.000 to 545.030, 7
553.046, 545.030 to 561.061, 3
569.076, 561.061 to 577.091, 4
585.106, 577.091 to 593.121, 1
601.137, 593.121 to 609.152, 1
617.167, 609.152 to 625.182, 3
633.197, 625.182 to 641.212, 0
649.227, 641.212 to 657.243, 4
665.258, 657.243 to 673.273, 0
681.288, 673.273 to 689.303, 2
697.318, 689.303 to 705.334, 1
713.349, 705.334 to 721.364, 1
729.379, 721.364 to 737.394, 0
745.409, 737.394 to 753.424, 0
761.440, 753.424 to 769.455, 0
777.470, 769.455 to 785.485, 0
793.500, 785.485 to 801.515, 1


Plate, 4
Well, 2
Count, 147
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.708, 0.000 to 17.417, 0
26.125, 17.417 to 34.834, 0
43.542, 34.834 to 52.250, 0
60.959, 52.250 to 69.667, 0
78.375, 69.667 to 87.084, 0
95.792, 87.084 to 104.501, 0
113.209, 104.501 to 121.917, 0
130.626, 121.917 to 139.334, 0
148.042, 139.334 to 156.751, 0
165.459, 156.751 to 174.168, 0
182.876, 174.168 to 191.584, 0
200.293, 191.584 to 209.001, 3
217.709, 209.001 to 226.418, 11
235.126, 226.418 to 243.835, 2
252.543, 243.835 to 261.251, 2
269.960, 261.251 to 278.668, 5
287.377, 278.668 to 296.085, 2
304.793, 296.085 to 313.502, 5
322.210, 313.502 to 330.918, 5
339.627, 330.918 to 348.335, 3
357.044, 348.335 to 365.752, 6
374.460, 365.752 to 383.169, 7
391.877, 383.169 to 400.585, 14
409.294, 400.585 to 418.002, 6
426.711, 418.002 to 435.419, 7
444.127, 435.419 to 452.836, 10
461.544, 452.836 to 470.252, 5
478.961, 470.252 to 487.669, 10
496.378, 487.669 to 505.086, 4
513.794, 505.086 to 522.503, 5
531.211, 522.503 to 539.919, 9
548.628, 539.919 to 557.336, 4
566.045, 557.336 to 574.753, 2
583.461, 574.753 to 592.170, 2
600.878, 592.170 to 609.587, 3
618.295, 609.587 to 627.003, 3
635.712, 627.003 to 644.420, 3
653.128, 644.420 to 661.837, 2
670.545, 661.837 to 679.254, 0
687.962, 679.254 to 696.670, 1
705.379, 696.670 to 714.087, 1
722.795, 714.087 to 731.504, 1
740.212, 731.504 to 748.921, 0
757.629, 748.921 to 766.337, 1
775.046, 766.337 to 783.754, 2
792.462, 783.754 to 801.171, 0
809.879, 801.171 to 818.588, 0
827.296, 818.588 to 836.004, 0
844.713, 836.004 to 853.421, 0
862.130, 853.421 to 870.838, 1


Plate, 4
Well, 3
Count, 104
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
7.581, 0.000 to 15.163, 0
22.744, 15.163 to 30.326, 0
37.907, 30.326 to 45.489, 0
53.070, 45.489 to 60.651, 0
68.233, 60.651 to 75.814, 0
83.396, 75.814 to 90.977, 0
98.559, 90.977 to 106.140, 0
113.721, 106.140 to 121.303, 0
128.884, 121.303 to 136.466, 0
144.047, 136.466 to 151.629, 0
159.210, 151.629 to 166.791, 0
174.373, 166.791 to 181.954, 0
189.536, 181.954 to 197.117, 0
204.699, 197.117 to 212.280, 3
219.861, 212.280 to 227.443, 10
235.024, 227.443 to 242.606, 3
250.187, 242.606 to 257.769, 3
265.350, 257.769 to 272.931, 3
280.513, 272.931 to 288.094, 3
295.676, 288.094 to 303.257, 1
310.839, 303.257 to 318.420, 4
326.001, 318.420 to 333.583, 2
341.164, 333.583 to 348.746, 8
356.327, 348.746 to 363.909, 10
371.490, 363.909 to 379.071, 6
386.653, 379.071 to 394.234, 4
401.816, 394.234 to 409.397, 6
416.979, 409.397 to 424.560, 4
432.141, 424.560 to 439.723, 1
447.304, 439.723 to 454.886, 5
462.467, 454.886 to 470.049, 7
477.630, 470.049 to 485.211, 3
492.793, 485.211 to 500.374, 3
507.956, 500.374 to 515.537, 1
523.119, 515.537 to 530.700, 1
538.281, 530.700 to 545.863, 1
553.444, 545.863 to 561.026, 3
568.607, 561.026 to 576.189, 2
