Plate, 4
Well, 2
Count, 147

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
697.005, 381558.903, 0.286, 109240.382, 177298959.468, 957.894, 8043.333, 24638.000
646.466, 328232.404, 0.301, 98845.071, 141460757.832, 2222.399, 29802.667, 24299.333
514.152, 207622.039, 0.271, 56342.121, 71166232.812, 2007.154, 25823.333, 15070.667
780.306, 478211.610, 0.191, 91182.703, 248767690.231, 728.330, 10837.333, 5588.000
870.838, 595613.481, 0.197, 117098.018, 345788526.526, 838.157, 19896.667, 5080.000
632.491, 314194.254, 0.289, 90681.870, 132483305.961, 254.000, 18965.333, 3386.667
534.760, 224599.233, 0.297, 66705.777, 80071175.570, 254.000, 18965.333, 3132.667
758.992, 452443.386, 0.211, 95579.425, 228933931.358, 723.392, 22267.333, 30480.000
568.427, 253769.798, 0.226, 57295.465, 96166475.916, 1019.522, 26754.667, 6434.667
485.977, 185490.252, 0.245, 45522.110, 60095981.998, 2241.669, 27178.000, 18203.333
614.673, 296740.992, 0.235, 69629.078, 121599031.435, 1526.350, 11684.000, 8805.333
530.794, 221279.818, 0.241, 53299.069, 78302658.701, 1976.563, 11768.667, 3556.000
442.175, 153559.866, 0.259, 39847.382, 45266861.681, 598.684, 9990.667, 4572.000
602.839, 285425.509, 0.201, 57281.549, 114710448.319, 1514.563, 24045.333, 10498.667
605.226, 287690.028, 0.190, 54600.106, 116078292.993, 846.667, 27770.667, 6350.000
463.245, 168543.160, 0.236, 39756.317, 52051170.378, 965.349, 13462.000, 32596.667
471.538, 174631.939, 0.234, 40792.322, 54897088.728, 1113.616, 17864.667, 9313.333
603.250, 285814.903, 0.233, 66640.501, 114945270.443, 1151.591, 7620.000, 4318.000
482.050, 182504.432, 0.220, 40139.122, 58650797.571, 1701.779, 15240.000, 17780.000
383.197, 115327.647, 0.248, 28552.234, 29462116.708, 1701.779, 15070.667, 16086.667
542.360, 231028.462, 0.212, 48998.581, 83533760.075, 780.588, 7027.333, 17780.000
383.717, 115640.947, 0.222, 25654.799, 29582253.746, 1033.488, 7789.333, 7027.333
422.239, 140025.560, 0.227, 31850.291, 39416202.066, 846.667, 30734.000, 27770.667
374.821, 110341.351, 0.210, 23144.790, 27572188.946, 911.888, 22182.667, 32766.000
455.106, 162672.932, 0.171, 27807.875, 49355634.818, 2198.075, 5672.667, 7620.000
430.393, 145486.024, 0.214, 31081.835, 41744158.829, 3205.056, 9482.667, 20066.000
479.585, 180643.051, 0.189, 34228.833, 57755811.392, 1016.000, 26754.667, 26331.333
