Plate, 1
Well, 1
Count, 233
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
8004.726, 0.000 to 16009.453, 0
24014.179, 16009.453 to 32018.905, 0
40023.632, 32018.905 to 48028.358, 20
56033.085, 48028.358 to 64037.811, 6
72042.537, 64037.811 to 80047.264, 9
88051.990, 80047.264 to 96056.716, 19
104061.443, 96056.716 to 112066.169, 20
120070.895, 112066.169 to 128075.622, 15
136080.348, 128075.622 to 144085.074, 22
152089.801, 144085.074 to 160094.527, 21
168099.254, 160094.527 to 176103.980, 20
184108.706, 176103.980 to 192113.433, 14
200118.159, 192113.433 to 208122.885, 17
216127.612, 208122.885 to 224132.338, 10
232137.064, 224132.338 to 240141.791, 6
248146.517, 240141.791 to 256151.244, 6
264155.970, 256151.244 to 272160.696, 3
280165.423, 272160.696 to 288170.149, 4
296174.875, 288170.149 to 304179.602, 3
312184.328, 304179.602 to 320189.054, 5
328193.781, 320189.054 to 336198.507, 1
344203.233, 336198.507 to 352207.960, 4
360212.686, 352207.960 to 368217.413, 2
376222.139, 368217.413 to 384226.865, 0
392231.592, 384226.865 to 400236.318, 1
408241.044, 400236.318 to 416245.771, 0
424250.497, 416245.771 to 432255.223, 1
440259.950, 432255.223 to 448264.676, 0
456269.403, 448264.676 to 464274.129, 0
472278.855, 464274.129 to 480283.582, 0
488288.308, 480283.582 to 496293.034, 1
504297.761, 496293.034 to 512302.487, 0
520307.213, 512302.487 to 528311.940, 0
536316.666, 528311.940 to 544321.392, 0
552326.119, 544321.392 to 560330.845, 1
568335.572, 560330.845 to 576340.298, 0
584345.024, 576340.298 to 592349.751, 0
600354.477, 592349.751 to 608359.203, 0
616363.930, 608359.203 to 624368.656, 0
632373.382, 624368.656 to 640378.109, 0
648382.835, 640378.109 to 656387.562, 0
664392.288, 656387.562 to 672397.014, 0
680401.741, 672397.014 to 688406.467, 0
696411.193, 688406.467 to 704415.920, 0
712420.646, 704415.920 to 720425.372, 1
728430.099, 720425.372 to 736434.825, 0
744439.551, 736434.825 to 752444.278, 0
760449.004, 752444.278 to 768453.731, 0
776458.457, 768453.731 to 784463.183, 0
792467.910, 784463.183 to 800472.636, 1


Plate, 1
Well, 2
Count, 229
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
7142.210, 0.000 to 14284.419, 0
21426.629, 14284.419 to 28568.838, 0
35711.048, 28568.838 to 42853.257, 20
49995.467, 42853.257 to 57137.676, 10
64279.886, 57137.676 to 71422.095, 6
78564.305, 71422.095 to 85706.514, 10
92848.724, 85706.514 to 99990.933, 13
107133.143, 99990.933 to 114275.352, 13
121417.562, 114275.352 to 128559.771, 16
135701.981, 128559.771 to 142844.190, 21
149986.400, 142844.190 to 157128.609, 22
164270.819, 157128.609 to 171413.028, 18
178555.238, 171413.028 to 185697.447, 13
192839.657, 185697.447 to 199981.866, 12
207124.076, 199981.866 to 214266.285, 8
221408.495, 214266.285 to 228550.704, 6
235692.914, 228550.704 to 242835.123, 7
249977.333, 242835.123 to 257119.542, 7
264261.752, 257119.542 to 271403.961, 3
278546.171, 271403.961 to 285688.380, 4
292830.590, 285688.380 to 299972.799, 4
307115.009, 299972.799 to 314257.218, 3
321399.428, 314257.218 to 328541.637, 2
335683.847, 328541.637 to 342826.056, 1
349968.266, 342826.056 to 357110.475, 0
364252.685, 357110.475 to 371394.894, 2
378537.104, 371394.894 to 385679.313, 2
