Plate, 1
Well, 1
Count, 233
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
31.498, 0.000 to 62.996, 0
94.493, 62.996 to 125.991, 0
157.489, 125.991 to 188.987, 0
220.485, 188.987 to 251.983, 0
283.480, 251.983 to 314.978, 0
346.476, 314.978 to 377.974, 0
409.472, 377.974 to 440.969, 2
472.467, 440.969 to 503.965, 4
535.463, 503.965 to 566.961, 12
598.459, 566.961 to 629.956, 16
661.454, 629.956 to 692.952, 9
724.450, 692.952 to 755.948, 14
787.446, 755.948 to 818.943, 20
850.441, 818.943 to 881.939, 24
913.437, 881.939 to 944.935, 5
976.432, 944.935 to 1007.930, 15
1039.428, 1007.930 to 1070.926, 9
1102.424, 1070.926 to 1133.922, 17
1165.419, 1133.922 to 1196.917, 11
1228.415, 1196.917 to 1259.913, 11
1291.411, 1259.913 to 1322.908, 10
1354.406, 1322.908 to 1385.904, 6
1417.402, 1385.904 to 1448.900, 10
1480.398, 1448.900 to 1511.895, 8
1543.393, 1511.895 to 1574.891, 4
1606.389, 1574.891 to 1637.887, 2
1669.384, 1637.887 to 1700.882, 3
1732.380, 1700.882 to 1763.878, 4
1795.376, 1763.878 to 1826.874, 2
1858.371, 1826.874 to 1889.869, 4
1921.367, 1889.869 to 1952.865, 2
1984.363, 1952.865 to 2015.861, 3
2047.358, 2015.861 to 2078.856, 1
2110.354, 2078.856 to 2141.852, 1
2173.350, 2141.852 to 2204.847, 0
2236.345, 2204.847 to 2267.843, 1
2299.341, 2267.843 to 2330.839, 0
2362.337, 2330.839 to 2393.834, 0
2425.332, 2393.834 to 2456.830, 0
2488.328, 2456.830 to 2519.826, 1
2551.323, 2519.826 to 2582.821, 1
2614.319, 2582.821 to 2645.817, 0
2677.315, 2645.817 to 2708.813, 0
2740.310, 2708.813 to 2771.808, 0
2803.306, 2771.808 to 2834.804, 0
2866.302, 2834.804 to 2897.800, 0
2929.297, 2897.800 to 2960.795, 0
2992.293, 2960.795 to 3023.791, 0
3055.289, 3023.791 to 3086.786, 0
3118.284, 3086.786 to 3149.782, 1


Plate, 1
Well, 2
Count, 229
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
29.451, 0.000 to 58.903, 0
88.354, 58.903 to 117.805, 0
147.257, 117.805 to 176.708, 2
206.159, 176.708 to 235.611, 0
265.062, 235.611 to 294.513, 0
323.965, 294.513 to 353.416, 2
382.867, 353.416 to 412.319, 0
441.770, 412.319 to 471.222, 10
500.673, 471.222 to 530.124, 6
559.576, 530.124 to 589.027, 11
618.478, 589.027 to 647.930, 14
677.381, 647.930 to 706.832, 21
736.284, 706.832 to 765.735, 12
795.186, 765.735 to 824.638, 5
854.089, 824.638 to 883.540, 7
912.992, 883.540 to 942.443, 8
971.894, 942.443 to 1001.346, 22
1030.797, 1001.346 to 1060.248, 8
1089.700, 1060.248 to 1119.151, 7
1148.602, 1119.151 to 1178.054, 7
1207.505, 1178.054 to 1236.957, 12
1266.408, 1236.957 to 1295.859, 14
1325.311, 1295.859 to 1354.762, 14
1384.213, 1354.762 to 1413.665, 6
1443.116, 1413.665 to 1472.567, 12
1502.019, 1472.567 to 1531.470, 5
1560.921, 1531.470 to 1590.373, 3
1619.824, 1590.373 to 1649.275, 4
1678.727, 1649.275 to 1708.178, 2
1737.629, 1708.178 to 1767.081, 1
1796.532, 1767.081 to 1825.983, 0
1855.435, 1825.983 to 1884.886, 7
1914.337, 1884.886 to 1943.789, 0
1973.240, 1943.789 to 2002.692, 2
2032.143, 2002.692 to 2061.594, 0
2091.046, 2061.594 to 2120.497, 1
2149.948, 2120.497 to 2179.400, 1
2208.851, 2179.400 to 2238.302, 0
2267.754, 2238.302 to 2297.205, 0
2326.656, 2297.205 to 2356.108, 0
2385.559, 2356.108 to 2415.010, 1
2444.462, 2415.010 to 2473.913, 0
2503.364, 2473.913 to 2532.816, 0
2562.267, 2532.816 to 2591.718, 1
2621.170, 2591.718 to 2650.621, 0
2680.072, 2650.621 to 2709.524, 0
2738.975, 2709.524 to 2768.427, 0
2797.878, 2768.427 to 2827.329, 0
2856.781, 2827.329 to 2886.232, 0
2915.683, 2886.232 to 2945.135, 1


Plate, 1
Well, 3
Count, 251
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
24.901, 0.000 to 49.802, 0
74.704, 49.802 to 99.605, 0
124.506, 99.605 to 149.407, 0
174.308, 149.407 to 199.210, 0
224.111, 199.210 to 249.012, 0
273.913, 249.012 to 298.815, 2
323.716, 298.815 to 348.617, 0
373.518, 348.617 to 398.419, 6
423.321, 398.419 to 448.222, 6
473.123, 448.222 to 498.024, 6
522.925, 498.024 to 547.827, 18
572.728, 547.827 to 597.629, 14
622.530, 597.629 to 647.432, 19
672.333, 647.432 to 697.234, 8
722.135, 697.234 to 747.036, 9
771.938, 747.036 to 796.839, 4
821.740, 796.839 to 846.641, 17
871.542, 846.641 to 896.444, 13
921.345, 896.444 to 946.246, 16
971.147, 946.246 to 996.049, 15
1020.950, 996.049 to 1045.851, 9
1070.752, 1045.851 to 1095.653, 10
1120.555, 1095.653 to 1145.456, 8
1170.357, 1145.456 to 1195.258, 7
1220.159, 1195.258 to 1245.061, 13
1269.962, 1245.061 to 1294.863, 7
1319.764, 1294.863 to 1344.666, 7
1369.567, 1344.666 to 1394.468, 6
1419.369, 1394.468 to 1444.270, 4
1469.172, 1444.270 to 1494.073, 0
1518.974, 1494.073 to 1543.875, 1
1568.776, 1543.875 to 1593.678, 3
1618.579, 1593.678 to 1643.480, 4
1668.381, 1643.480 to 1693.283, 3
1718.184, 1693.283 to 1743.085, 2
1767.986, 1743.085 to 1792.887, 1
1817.789, 1792.887 to 1842.690, 2
1867.591, 1842.690 to 1892.492, 1
1917.393, 1892.492 to 1942.295, 1
1967.196, 1942.295 to 1992.097, 3
2016.998, 1992.097 to 2041.900, 0
2066.801, 2041.900 to 2091.702, 0
2116.603, 2091.702 to 2141.504, 0
2166.406, 2141.504 to 2191.307, 0
2216.208, 2191.307 to 2241.109, 2
2266.010, 2241.109 to 2290.912, 0
2315.813, 2290.912 to 2340.714, 0
2365.615, 2340.714 to 2390.517, 1
2415.418, 2390.517 to 2440.319, 1
2465.220, 2440.319 to 2490.121, 2


Plate, 1
Well, 4
Count, 151
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
41.521, 0.000 to 83.042, 0
124.564, 83.042 to 166.085, 0
207.606, 166.085 to 249.127, 0
290.648, 249.127 to 332.170, 2
373.691, 332.170 to 415.212, 2
456.733, 415.212 to 498.255, 8
539.776, 498.255 to 581.297, 3
622.818, 581.297 to 664.339, 11
705.861, 664.339 to 747.382, 10
788.903, 747.382 to 830.424, 2
871.945, 830.424 to 913.467, 17
954.988, 913.467 to 996.509, 7
1038.030, 996.509 to 1079.551, 2
1121.073, 1079.551 to 1162.594, 13
1204.115, 1162.594 to 1245.636, 11
1287.158, 1245.636 to 1328.679, 11
1370.200, 1328.679 to 1411.721, 8
1453.242, 1411.721 to 1494.764, 7
1536.285, 1494.764 to 1577.806, 1
1619.327, 1577.806 to 1660.848, 3
1702.370, 1660.848 to 1743.891, 5
1785.412, 1743.891 to 1826.933, 3
1868.454, 1826.933 to 1909.976, 6
1951.497, 1909.976 to 1993.018, 4
2034.539, 1993.018 to 2076.061, 0
2117.582, 2076.061 to 2159.103, 4
2200.624, 2159.103 to 2242.145, 1
2283.667, 2242.145 to 2325.188, 0
2366.709, 2325.188 to 2408.230, 0
2449.751, 2408.230 to 2491.273, 0
2532.794, 2491.273 to 2574.315, 2
2615.836, 2574.315 to 2657.357, 2
2698.879, 2657.357 to 2740.400, 1
2781.921, 2740.400 to 2823.442, 1
2864.963, 2823.442 to 2906.485, 1
2948.006, 2906.485 to 2989.527, 0
3031.048, 2989.527 to 3072.570, 1
3114.091, 3072.570 to 3155.612, 0
3197.133, 3155.612 to 3238.654, 0
3280.176, 3238.654 to 3321.697, 0
3363.218, 3321.697 to 3404.739, 0
3446.260, 3404.739 to 3487.782, 0
3529.303, 3487.782 to 3570.824, 0
3612.345, 3570.824 to 3653.866, 0
3695.388, 3653.866 to 3736.909, 0
3778.430, 3736.909 to 3819.951, 0
3861.473, 3819.951 to 3902.994, 0
3944.515, 3902.994 to 3986.036, 1
4027.557, 3986.036 to 4069.079, 0
4110.600, 4069.079 to 4152.121, 1


Plate, 1
Well, 5
Count, -1
CHARM Settings 1:		



Plate, 1
Well, 6
Count, -1
CHARM Settings 1:		





ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	22:09:00
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1\Plate1.ics


