Plate, 1
Well, 3
Count, 251

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
792.574, 493366.172, 0.233, 114773.751, 260686086.826, 1019.522, 8636.000, 8382.000
659.445, 341543.791, 0.226, 77211.172, 150152785.012, 1322.536, 29210.000, 27178.000
544.136, 232543.617, 0.280, 65014.420, 84356865.714, 935.174, 10922.000, 22013.333
644.124, 325858.377, 0.188, 61212.413, 139928808.431, 965.349, 13716.000, 9398.000
443.454, 154449.461, 0.249, 38456.920, 45660787.261, 1212.242, 16425.333, 14562.667
457.112, 164110.181, 0.271, 44533.688, 50011178.493, 1176.227, 15917.333, 9144.000
534.118, 224059.754, 0.231, 51811.419, 79782856.903, 1441.821, 27347.333, 21759.333
550.242, 237791.985, 0.227, 54019.501, 87228743.938, 1338.698, 24299.333, 24299.333
782.627, 481060.632, 0.192, 92575.726, 250994107.641, 1188.353, 4318.000, 27601.333
463.245, 168543.160, 0.234, 39521.498, 52051170.378, 723.392, 30903.333, 26077.333
356.171, 99633.674, 0.296, 29513.471, 23657726.974, 1151.591, 30734.000, 10752.667
708.429, 394169.535, 0.228, 89681.819, 186160862.909, 1197.367, 5757.333, 22436.667
652.474, 334361.224, 0.181, 60568.245, 145441270.609, 1151.591, 31411.333, 11684.000
456.197, 163453.417, 0.298, 48761.858, 49711264.073, 592.667, 11599.333, 31411.333
543.224, 231764.786, 0.226, 52282.986, 83933431.043, 798.744, 32681.333, 23537.333
536.394, 225973.739, 0.225, 50890.380, 80807330.026, 1258.660, 23706.667, 11006.667
500.421, 196680.157, 0.249, 49052.944, 65615224.835, 838.157, 15578.667, 19134.667
376.574, 111375.729, 0.290, 32261.860, 27960803.090, 567.961, 2878.667, 20235.333
515.839, 208986.398, 0.185, 38694.868, 71868872.486, 718.420, 17018.000, 5249.333
703.372, 388561.280, 0.191, 74024.112, 182201975.746, 1378.273, 12954.000, 31072.667
515.839, 208986.398, 0.194, 40555.195, 71868872.486, 616.383, 22013.333, 32427.333
405.983, 129451.333, 0.264, 34178.464, 35036731.875, 644.802, 20574.000, 7027.333
530.794, 221279.818, 0.167, 37037.770, 78302658.701, 915.810, 11853.333, 23537.333
777.507, 474786.810, 0.144, 68578.112, 246100087.517, 616.383, 21844.000, 33020.000
615.027, 297083.163, 0.146, 43362.418, 121809415.567, 1019.522, 13546.667, 3640.667
489.407, 188117.822, 0.203, 38107.212, 61377431.912, 644.802, 19981.333, 6773.333
462.190, 167776.517, 0.177, 29659.909, 51696431.194, 798.744, 10498.667, 12700.000
642.303, 324018.499, 0.132, 42620.137, 138745373.274, 567.961, 23960.667, 31411.333
411.278, 132849.528, 0.207, 27442.160, 36425357.456, 803.219, 14478.000, 14562.667
512.161, 206016.621, 0.203, 41752.769, 70342401.482, 1203.339, 12615.333, 4402.667
445.110, 155605.083, 0.216, 33584.248, 46174209.685, 1626.394, 19642.667, 12361.333
376.574, 111375.729, 0.224, 24974.857, 27960803.090, 935.174, 19812.000, 9228.667
356.171, 99633.674, 0.211, 21019.974, 23657726.974, 911.888, 21251.333, 31919.333
300.181, 70770.962, 0.277, 19612.509, 14162712.671, 718.420, 17526.000, 4741.333
879.440, 607438.913, 0.139, 84139.774, 356137507.433, 957.894, 32427.333, 24892.000
529.779, 220434.465, 0.171, 37771.120, 77854379.432, 1714.369, 29548.667, 8720.667
595.976, 278963.623, 0.139, 38771.415, 110837102.096, 1060.870, 28109.333, 30310.667
395.556, 122887.225, 0.220, 26974.995, 32405886.499, 965.349, 14986.000, 2286.000
522.403, 214339.352, 0.162, 34702.779, 74647741.354, 957.894, 20912.667, 11345.333
579.857, 264077.820, 0.163, 42915.447, 102084942.648, 1030.014, 12192.000, 21759.333
437.548, 150363.275, 0.204, 30670.195, 43860791.589, 1388.637, 23368.000, 2709.333
545.079, 233350.945, 0.158, 36811.068, 84796542.552, 567.961, 12954.000, 12784.667
528.802, 219622.263, 0.173, 37990.267, 77424488.393, 677.333, 18542.000, 22352.000
516.886, 209835.765, 0.181, 38064.902, 72307453.862, 682.604, 14647.333, 5164.667
548.699, 236460.153, 0.146, 34408.585, 86496941.372, 728.330, 13546.667, 12361.333
577.592, 262018.944, 0.175, 45767.977, 100893419.009, 1669.888, 23960.667, 16764.000
496.514, 193621.323, 0.166, 32074.097, 64090487.385, 871.697, 18372.667, 32258.000
511.608, 205572.066, 0.143, 29306.839, 70114840.513, 1176.227, 16933.333, 9736.667
493.442, 191232.714, 0.192, 36809.304, 62908174.791, 431.717, 14647.333, 6519.333
436.646, 149743.830, 0.173, 25894.713, 43590033.789, 850.889, 18626.667, 21505.333
308.112, 74560.273, 0.156, 11614.386, 15315283.441, 1212.242, 17441.333, 8636.000
529.779, 220434.465, 0.189, 41558.542, 77854379.432, 349.090, 17102.667, 11684.000
409.832, 131917.521, 0.158, 20796.503, 36042717.025, 833.870, 23960.667, 8974.667
407.360, 130330.903, 0.196, 25524.942, 35394428.830, 798.744, 10922.000, 12022.667
442.175, 153559.866, 0.158, 24329.153, 45266861.681, 1556.578, 2540.000, 24130.000
428.287, 144065.426, 0.173, 24869.712, 41134237.709, 987.375, 3725.333, 14562.667
412.796, 133832.497, 0.148, 19824.869, 36830377.685, 1135.923, 26839.333, 9059.333
493.805, 191514.141, 0.170, 32607.524, 63047093.793, 1103.918, 12192.000, 32342.667
487.768, 186859.782, 0.180, 33604.077, 60762768.815, 1135.923, 18372.667, 27178.000
428.036, 143896.853, 0.138, 19790.476, 41062061.034, 616.383, 14139.333, 8212.667
424.434, 141485.260, 0.179, 25327.001, 40034148.426, 1047.269, 14986.000, 32427.333
447.638, 157377.811, 0.161, 25352.653, 46965510.970, 1761.799, 26331.333, 3979.333
543.838, 232289.519, 0.163, 37826.226, 84218639.646, 515.007, 2455.333, 17864.667
552.928, 240119.542, 0.140, 33728.472, 88512592.165, 915.810, 20235.333, 19812.000
481.516, 182100.405, 0.136, 24700.299, 58456144.687, 535.479, 23537.333, 23198.667
444.344, 155070.246, 0.149, 23094.061, 45936352.965, 946.602, 9398.000, 7704.667
437.717, 150479.424, 0.169, 25470.415, 43911622.080, 535.479, 9313.333, 25823.333
450.316, 159266.869, 0.166, 26458.350, 47813657.091, 535.479, 8805.333, 25992.667
430.058, 145259.485, 0.149, 21710.760, 41646695.794, 987.375, 15578.667, 7874.000
526.975, 218107.045, 0.156, 33927.227, 76624621.189, 359.210, 4572.000, 20150.667
661.640, 343821.748, 0.108, 37286.375, 151657473.455, 493.687, 14478.000, 8805.333
566.330, 251900.244, 0.155, 38972.186, 95105729.995, 542.131, 5249.333, 20235.333
384.125, 115887.281, 0.165, 19097.591, 29676826.521, 1203.339, 12784.667, 2709.333
447.330, 157161.553, 0.159, 25019.853, 46868739.007, 1680.585, 11938.000, 7366.000
521.390, 213508.354, 0.163, 34697.364, 74214045.901, 803.219, 4318.000, 15748.000
652.474, 334361.224, 0.154, 51493.455, 145441270.609, 542.131, 5588.000, 20658.667
607.729, 290074.249, 0.161, 46709.935, 117524271.000, 349.090, 16764.000, 11768.667
445.110, 155605.083, 0.166, 25797.548, 46174209.685, 871.697, 5418.667, 29040.667
534.211, 224137.819, 0.131, 29307.781, 79824556.440, 1203.339, 22182.667, 31157.333
395.556, 122887.225, 0.137, 16827.423, 32405886.499, 1033.488, 28109.333, 26162.000
694.796, 379144.455, 0.122, 46201.398, 175618742.922, 455.944, 1947.333, 20658.667
