Plate, 1
Well, 1
Count, 233
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
10.096, 0.000 to 20.191, 0
30.287, 20.191 to 40.382, 0
50.478, 40.382 to 60.573, 0
70.669, 60.573 to 80.764, 0
90.860, 80.764 to 100.955, 0
111.051, 100.955 to 121.146, 0
131.242, 121.146 to 141.337, 0
151.433, 141.337 to 161.528, 0
171.624, 161.528 to 181.719, 0
191.815, 181.719 to 201.910, 0
212.006, 201.910 to 222.101, 12
232.197, 222.101 to 242.292, 8
252.388, 242.292 to 262.483, 3
272.579, 262.483 to 282.674, 2
292.770, 282.674 to 302.865, 7
312.961, 302.865 to 323.056, 4
333.152, 323.056 to 343.247, 13
353.343, 343.247 to 363.438, 15
373.534, 363.438 to 383.629, 14
393.725, 383.629 to 403.820, 11
413.916, 403.820 to 424.011, 20
434.107, 424.011 to 444.202, 13
454.298, 444.202 to 464.394, 21
474.489, 464.394 to 484.585, 15
494.680, 484.585 to 504.776, 17
514.871, 504.776 to 524.967, 13
535.062, 524.967 to 545.158, 9
555.253, 545.158 to 565.349, 6
575.444, 565.349 to 585.540, 4
595.635, 585.540 to 605.731, 5
615.826, 605.731 to 625.922, 4
636.017, 625.922 to 646.113, 5
656.208, 646.113 to 666.304, 3
676.399, 666.304 to 686.495, 3
696.590, 686.495 to 706.686, 1
716.781, 706.686 to 726.877, 0
736.972, 726.877 to 747.068, 1
757.163, 747.068 to 767.259, 0
777.354, 767.259 to 787.450, 0
797.545, 787.450 to 807.641, 1
817.736, 807.641 to 827.832, 0
837.927, 827.832 to 848.023, 1
858.118, 848.023 to 868.214, 0
878.309, 868.214 to 888.405, 0
898.500, 888.405 to 908.596, 0
918.691, 908.596 to 928.787, 0
938.883, 928.787 to 948.978, 0
959.074, 948.978 to 969.169, 1
979.265, 969.169 to 989.360, 0
999.456, 989.360 to 1009.551, 1


Plate, 1
Well, 2
Count, 229
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.536, 0.000 to 19.072, 0
28.608, 19.072 to 38.144, 0
47.681, 38.144 to 57.217, 0
66.753, 57.217 to 76.289, 0
85.825, 76.289 to 95.361, 0
104.897, 95.361 to 114.433, 0
123.969, 114.433 to 133.506, 0
143.042, 133.506 to 152.578, 0
162.114, 152.578 to 171.650, 0
181.186, 171.650 to 190.722, 0
200.258, 190.722 to 209.794, 2
219.331, 209.794 to 228.867, 11
238.403, 228.867 to 247.939, 12
257.475, 247.939 to 267.011, 5
276.547, 267.011 to 286.083, 3
295.619, 286.083 to 305.156, 5
314.692, 305.156 to 324.228, 7
333.764, 324.228 to 343.300, 7
352.836, 343.300 to 362.372, 9
371.908, 362.372 to 381.444, 11
390.981, 381.444 to 400.517, 13
410.053, 400.517 to 419.589, 21
429.125, 419.589 to 438.661, 15
448.197, 438.661 to 457.733, 24
467.269, 457.733 to 476.806, 8
486.342, 476.806 to 495.878, 14
505.414, 495.878 to 514.950, 10
524.486, 514.950 to 534.022, 11
543.558, 534.022 to 553.095, 6
562.631, 553.095 to 572.167, 8
581.703, 572.167 to 591.239, 3
600.775, 591.239 to 610.311, 5
619.847, 610.311 to 629.383, 6
638.920, 629.383 to 648.456, 2
657.992, 648.456 to 667.528, 1
677.064, 667.528 to 686.600, 1
696.136, 686.600 to 705.672, 3
715.208, 705.672 to 724.745, 2
734.281, 724.745 to 743.817, 0
753.353, 743.817 to 762.889, 0
772.425, 762.889 to 781.961, 0
791.497, 781.961 to 801.033, 1
810.570, 801.033 to 820.106, 1
829.642, 820.106 to 839.178, 0
848.714, 839.178 to 858.250, 0
867.786, 858.250 to 877.322, 0
886.858, 877.322 to 896.395, 0
905.931, 896.395 to 915.467, 0
925.003, 915.467 to 934.539, 0
944.075, 934.539 to 953.611, 2


Plate, 1
Well, 3
Count, 216
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.540, 0.000 to 17.081, 0
25.621, 17.081 to 34.162, 0
42.702, 34.162 to 51.243, 0
59.783, 51.243 to 68.324, 0
76.864, 68.324 to 85.405, 0
93.945, 85.405 to 102.485, 0
111.026, 102.485 to 119.566, 0
128.107, 119.566 to 136.647, 0
145.188, 136.647 to 153.728, 0
162.269, 153.728 to 170.809, 0
179.349, 170.809 to 187.890, 0
196.430, 187.890 to 204.971, 1
213.511, 204.971 to 222.052, 8
230.592, 222.052 to 239.133, 4
247.673, 239.133 to 256.214, 4
264.754, 256.214 to 273.294, 8
281.835, 273.294 to 290.375, 6
298.916, 290.375 to 307.456, 7
315.997, 307.456 to 324.537, 3
333.078, 324.537 to 341.618, 2
350.158, 341.618 to 358.699, 17
367.239, 358.699 to 375.780, 9
384.320, 375.780 to 392.861, 11
401.401, 392.861 to 409.942, 10
418.482, 409.942 to 427.023, 16
435.563, 427.023 to 444.103, 21
452.644, 444.103 to 461.184, 12
469.725, 461.184 to 478.265, 5
486.806, 478.265 to 495.346, 8
503.887, 495.346 to 512.427, 9
520.967, 512.427 to 529.508, 11
538.048, 529.508 to 546.589, 14
555.129, 546.589 to 563.670, 2
572.210, 563.670 to 580.751, 2
589.291, 580.751 to 597.832, 1
606.372, 597.832 to 614.912, 0
623.453, 614.912 to 631.993, 2
640.534, 631.993 to 649.074, 5
657.615, 649.074 to 666.155, 6
674.696, 666.155 to 683.236, 1
691.776, 683.236 to 700.317, 5
708.857, 700.317 to 717.398, 1
725.938, 717.398 to 734.479, 1
743.019, 734.479 to 751.560, 0
760.100, 751.560 to 768.641, 0
777.181, 768.641 to 785.721, 1
794.262, 785.721 to 802.802, 1
811.343, 802.802 to 819.883, 0
828.424, 819.883 to 836.964, 0
845.505, 836.964 to 854.045, 2


Plate, 1
Well, 4
Count, 151
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.509, 0.000 to 19.019, 0
28.528, 19.019 to 38.037, 0
47.546, 38.037 to 57.056, 0
66.565, 57.056 to 76.074, 0
85.583, 76.074 to 95.093, 0
104.602, 95.093 to 114.111, 0
123.621, 114.111 to 133.130, 0
142.639, 133.130 to 152.148, 0
161.658, 152.148 to 171.167, 0
180.676, 171.167 to 190.186, 0
199.695, 190.186 to 209.204, 0
218.713, 209.204 to 228.223, 21
237.732, 228.223 to 247.241, 4
256.750, 247.241 to 266.260, 6
275.769, 266.260 to 285.278, 1
294.788, 285.278 to 304.297, 3
313.806, 304.297 to 323.315, 3
332.825, 323.315 to 342.334, 4
351.843, 342.334 to 361.353, 9
370.862, 361.353 to 380.371, 11
389.880, 380.371 to 399.390, 14
408.899, 399.390 to 418.408, 13
427.917, 418.408 to 437.427, 11
446.936, 437.427 to 456.445, 8
465.955, 456.445 to 475.464, 3
484.973, 475.464 to 494.482, 6
503.992, 494.482 to 513.501, 7
523.010, 513.501 to 532.520, 8
542.029, 532.520 to 551.538, 4
561.047, 551.538 to 570.557, 2
580.066, 570.557 to 589.575, 4
599.084, 589.575 to 608.594, 2
618.103, 608.594 to 627.612, 1
637.122, 627.612 to 646.631, 1
656.140, 646.631 to 665.649, 1
675.159, 665.649 to 684.668, 0
694.177, 684.668 to 703.687, 1
713.196, 703.687 to 722.705, 0
732.214, 722.705 to 741.724, 0
751.233, 741.724 to 760.742, 1
770.251, 760.742 to 779.761, 0
789.270, 779.761 to 798.779, 1
808.289, 798.779 to 817.798, 0
827.307, 817.798 to 836.816, 0
846.326, 836.816 to 855.835, 0
865.344, 855.835 to 874.853, 0
884.363, 874.853 to 893.872, 0
903.381, 893.872 to 912.891, 0
922.400, 912.891 to 931.909, 0
941.418, 931.909 to 950.928, 1


Plate, 1
Well, 5
Count, 205
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
10.768, 0.000 to 21.535, 0
32.303, 21.535 to 43.070, 0
53.838, 43.070 to 64.605, 0
75.373, 64.605 to 86.140, 0
96.908, 86.140 to 107.675, 0
118.443, 107.675 to 129.210, 0
139.978, 129.210 to 150.745, 0
161.513, 150.745 to 172.280, 0
183.048, 172.280 to 193.816, 0
204.583, 193.816 to 215.351, 2
226.118, 215.351 to 236.886, 19
247.653, 236.886 to 258.421, 5
269.188, 258.421 to 279.956, 5
290.723, 279.956 to 301.491, 6
312.258, 301.491 to 323.026, 8
333.793, 323.026 to 344.561, 8
355.329, 344.561 to 366.096, 16
376.864, 366.096 to 387.631, 10
398.399, 387.631 to 409.166, 9
419.934, 409.166 to 430.701, 15
441.469, 430.701 to 452.236, 19
463.004, 452.236 to 473.771, 13
484.539, 473.771 to 495.306, 12
506.074, 495.306 to 516.841, 7
527.609, 516.841 to 538.377, 8
549.144, 538.377 to 559.912, 7
570.679, 559.912 to 581.447, 8
592.214, 581.447 to 602.982, 6
613.749, 602.982 to 624.517, 1
635.284, 624.517 to 646.052, 4
656.819, 646.052 to 667.587, 4
678.354, 667.587 to 689.122, 3
699.889, 689.122 to 710.657, 1
721.425, 710.657 to 732.192, 1
742.960, 732.192 to 753.727, 0
764.495, 753.727 to 775.262, 1
786.030, 775.262 to 796.797, 0
807.565, 796.797 to 818.332, 0
829.100, 818.332 to 839.867, 0
850.635, 839.867 to 861.402, 1
872.170, 861.402 to 882.937, 0
893.705, 882.937 to 904.473, 0
915.240, 904.473 to 926.008, 2
936.775, 926.008 to 947.543, 0
958.310, 947.543 to 969.078, 1
979.845, 969.078 to 990.613, 2
1001.380, 990.613 to 1012.148, 0
1022.915, 1012.148 to 1033.683, 0
1044.450, 1033.683 to 1055.218, 0
1065.986, 1055.218 to 1076.753, 1


Plate, 1
Well, 6
Count, 125
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
7.634, 0.000 to 15.268, 0
22.903, 15.268 to 30.537, 0
38.171, 30.537 to 45.805, 0
53.440, 45.805 to 61.074, 0
68.708, 61.074 to 76.342, 0
83.977, 76.342 to 91.611, 0
99.245, 91.611 to 106.879, 0
114.514, 106.879 to 122.148, 0
129.782, 122.148 to 137.416, 0
145.051, 137.416 to 152.685, 0
160.319, 152.685 to 167.953, 0
175.588, 167.953 to 183.222, 0
190.856, 183.222 to 198.490, 0
206.125, 198.490 to 213.759, 1
221.393, 213.759 to 229.027, 13
236.662, 229.027 to 244.296, 4
251.930, 244.296 to 259.564, 1
267.199, 259.564 to 274.833, 4
282.467, 274.833 to 290.101, 2
297.736, 290.101 to 305.370, 1
313.004, 305.370 to 320.638, 1
328.273, 320.638 to 335.907, 4
343.541, 335.907 to 351.175, 9
358.810, 351.175 to 366.444, 6
374.078, 366.444 to 381.712, 10
389.347, 381.712 to 396.981, 8
404.615, 396.981 to 412.249, 8
419.884, 412.249 to 427.518, 4
435.152, 427.518 to 442.786, 3
450.421, 442.786 to 458.055, 7
465.689, 458.055 to 473.323, 3
480.957, 473.323 to 488.592, 7
496.226, 488.592 to 503.860, 3
511.494, 503.860 to 519.129, 2
526.763, 519.129 to 534.397, 4
542.031, 534.397 to 549.666, 5
557.300, 549.666 to 564.934, 0
572.568, 564.934 to 580.203, 2
587.837, 580.203 to 595.471, 1
603.105, 595.471 to 610.740, 1
618.374, 610.740 to 626.008, 2
633.642, 626.008 to 641.277, 0
648.911, 641.277 to 656.545, 1
664.179, 656.545 to 671.814, 3
679.448, 671.814 to 687.082, 0
694.716, 687.082 to 702.351, 0
709.985, 702.351 to 717.619, 2
725.253, 717.619 to 732.888, 1
740.522, 732.888 to 748.156, 0
755.790, 748.156 to 763.425, 2




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	22:10:39
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics


