Plate, 1
Well, 3
Count, 216

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
792.574, 493366.172, 0.233, 114773.751, 260686086.826, 1019.522, 8636.000, 8382.000
659.445, 341543.791, 0.226, 77211.172, 150152785.012, 1322.536, 29210.000, 27178.000
544.136, 232543.617, 0.280, 65014.420, 84356865.714, 935.174, 10922.000, 22013.333
644.124, 325858.377, 0.188, 61212.413, 139928808.431, 965.349, 13716.000, 9398.000
443.454, 154449.461, 0.249, 38456.920, 45660787.261, 1212.242, 16425.333, 14562.667
463.245, 168543.160, 0.234, 39521.498, 52051170.378, 723.392, 30903.333, 26077.333
457.112, 164110.181, 0.271, 44533.688, 50011178.493, 1176.227, 15917.333, 9144.000
534.118, 224059.754, 0.231, 51811.419, 79782856.903, 1441.821, 27347.333, 21759.333
782.627, 481060.632, 0.192, 92575.726, 250994107.641, 1188.353, 4318.000, 27601.333
659.789, 341901.094, 0.228, 77932.449, 150388468.059, 598.684, 11514.667, 31411.333
550.242, 237791.985, 0.227, 54019.501, 87228743.938, 1338.698, 24299.333, 24299.333
693.510, 377742.571, 0.228, 85944.341, 174645619.595, 1289.604, 5757.333, 22436.667
652.474, 334361.224, 0.181, 60568.245, 145441270.609, 1151.591, 31411.333, 11684.000
500.421, 196680.157, 0.249, 49052.944, 65615224.835, 838.157, 15578.667, 19134.667
356.171, 99633.674, 0.296, 29513.471, 23657726.974, 1151.591, 30734.000, 10752.667
543.224, 231764.786, 0.226, 52282.986, 83933431.043, 798.744, 32681.333, 23537.333
536.394, 225973.739, 0.225, 50890.380, 80807330.026, 1258.660, 23706.667, 11006.667
376.574, 111375.729, 0.290, 32261.860, 27960803.090, 567.961, 2878.667, 20235.333
405.983, 129451.333, 0.264, 34178.464, 35036731.875, 644.802, 20574.000, 7027.333
512.161, 206016.621, 0.194, 39978.890, 70342401.482, 616.383, 22013.333, 32427.333
700.338, 385217.082, 0.148, 57049.583, 179854830.279, 616.383, 21844.000, 33020.000
683.536, 366955.236, 0.191, 69907.983, 167218157.561, 1378.273, 12954.000, 31072.667
615.027, 297083.163, 0.146, 43362.418, 121809415.567, 957.894, 13546.667, 3640.667
445.110, 155605.083, 0.216, 33584.248, 46174209.685, 1626.394, 19642.667, 12361.333
287.783, 65046.031, 0.179, 11612.740, 12479437.372, 661.268, 17018.000, 5164.667
489.407, 188117.822, 0.203, 38107.212, 61377431.912, 644.802, 19981.333, 6773.333
376.574, 111375.729, 0.224, 24974.857, 27960803.090, 935.174, 19812.000, 9228.667
462.190, 167776.517, 0.177, 29659.909, 51696431.194, 798.744, 10498.667, 12700.000
528.613, 219465.090, 0.167, 36734.021, 77341389.933, 915.810, 11853.333, 23537.333
536.809, 226323.659, 0.169, 38172.080, 80995097.546, 1019.522, 12276.667, 21759.333
512.161, 206016.621, 0.203, 41752.769, 70342401.482, 1203.339, 12615.333, 4402.667
437.548, 150363.275, 0.204, 30670.195, 43860791.589, 1388.637, 23368.000, 2709.333
411.278, 132849.528, 0.207, 27442.160, 36425357.456, 803.219, 14478.000, 14562.667
300.181, 70770.962, 0.277, 19612.509, 14162712.671, 661.268, 17526.000, 4741.333
493.442, 191232.714, 0.192, 36809.304, 62908174.791, 431.717, 14647.333, 6519.333
842.944, 558068.836, 0.139, 77301.247, 313614010.940, 957.894, 32427.333, 24892.000
642.303, 324018.499, 0.132, 42620.137, 138745373.274, 567.961, 23960.667, 31411.333
395.556, 122887.225, 0.220, 26974.995, 32405886.499, 1019.522, 14986.000, 2286.000
528.802, 219622.263, 0.173, 37990.267, 77424488.393, 850.889, 18542.000, 22352.000
473.709, 176243.537, 0.168, 29612.332, 55658769.568, 1135.923, 28194.000, 30310.667
522.403, 214339.352, 0.162, 34702.779, 74647741.354, 957.894, 20912.667, 11345.333
545.079, 233350.945, 0.158, 36811.068, 84796542.552, 567.961, 12954.000, 12784.667
341.194, 91431.084, 0.220, 20086.622, 20797187.186, 682.604, 14647.333, 5164.667
518.715, 211323.079, 0.171, 36209.897, 73077586.299, 1954.682, 29548.667, 8720.667
577.592, 262018.944, 0.175, 45767.977, 100893419.009, 1669.888, 23960.667, 16764.000
566.330, 251900.244, 0.155, 38972.186, 95105729.995, 542.131, 5249.333, 20235.333
450.316, 159266.869, 0.166, 26458.350, 47813657.091, 535.479, 8805.333, 25992.667
346.078, 94067.302, 0.204, 19175.088, 21703103.058, 798.744, 10922.000, 12022.667
511.608, 205572.066, 0.143, 29306.839, 70114840.513, 1176.227, 16933.333, 9736.667
409.832, 131917.521, 0.158, 20796.503, 36042717.025, 833.870, 23960.667, 8974.667
493.805, 191514.141, 0.170, 32607.524, 63047093.793, 1151.591, 12192.000, 32342.667
521.390, 213508.354, 0.163, 34697.364, 74214045.901, 965.349, 4318.000, 15748.000
421.598, 139600.507, 0.185, 25774.651, 39236864.471, 850.889, 18626.667, 21505.333
548.699, 236460.153, 0.146, 34408.585, 86496941.372, 728.330, 13546.667, 12361.333
529.779, 220434.465, 0.189, 41558.542, 77854379.432, 349.090, 17102.667, 11684.000
430.058, 145259.485, 0.149, 21710.760, 41646695.794, 1258.660, 15578.667, 7874.000
436.281, 149493.244, 0.164, 24545.597, 43480662.046, 2525.849, 11684.000, 19304.000
467.978, 172005.084, 0.140, 24015.742, 53663096.215, 957.894, 14224.000, 2963.333
399.841, 125564.124, 0.198, 24833.626, 33470496.585, 1135.923, 18372.667, 27178.000
428.036, 143896.853, 0.138, 19790.476, 41062061.034, 682.604, 14139.333, 8212.667
428.287, 144065.426, 0.173, 24869.712, 41134237.709, 987.375, 3725.333, 14562.667
437.717, 150479.424, 0.169, 25470.415, 43911622.080, 535.479, 9313.333, 25823.333
496.514, 193621.323, 0.166, 32074.097, 64090487.385, 1701.779, 18372.667, 32258.000
537.657, 227039.011, 0.163, 36971.229, 81379408.625, 515.007, 2455.333, 17864.667
444.344, 155070.246, 0.149, 23094.061, 45936352.965, 946.602, 9398.000, 7704.667
529.653, 220329.226, 0.161, 35491.147, 77798632.479, 1590.742, 2540.000, 24214.667
664.360, 346654.730, 0.152, 52753.151, 153535743.284, 542.131, 5588.000, 20658.667
516.492, 209515.848, 0.156, 32590.840, 72142156.064, 359.210, 4572.000, 20150.667
371.909, 108633.647, 0.190, 20595.089, 26934588.094, 1047.269, 14986.000, 32427.333
412.796, 133832.497, 0.148, 19824.869, 36830377.685, 1135.923, 26839.333, 9059.333
481.516, 182100.405, 0.136, 24700.299, 58456144.687, 535.479, 23537.333, 23198.667
447.638, 157377.811, 0.161, 25352.653, 46965510.970, 1745.448, 26331.333, 3979.333
419.423, 138163.910, 0.167, 23112.593, 38632758.852, 915.810, 20235.333, 19812.000
453.652, 161635.051, 0.161, 25984.579, 48884042.978, 883.946, 21251.333, 31834.667
620.212, 302113.129, 0.113, 34121.309, 124916037.150, 682.604, 14478.000, 8805.333
308.112, 74560.273, 0.156, 11614.386, 15315283.441, 1212.242, 17441.333, 8636.000
522.475, 214398.220, 0.131, 28034.252, 74678495.883, 1151.591, 22182.667, 31157.333
430.662, 145667.822, 0.159, 23190.070, 41822427.787, 1680.585, 11938.000, 7366.000
267.276, 56106.133, 0.201, 11275.148, 9997221.405, 1590.742, 3979.333, 23537.333
355.276, 99133.590, 0.165, 16336.674, 23479835.700, 1203.339, 12784.667, 2709.333
694.796, 379144.455, 0.122, 46201.398, 175618742.922, 431.717, 1947.333, 20658.667
