Plate, 2
Well, 1
Count, 162
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
7370.886, 0.000 to 14741.773, 0
22112.659, 14741.773 to 29483.546, 0
36854.432, 29483.546 to 44225.319, 21
51596.205, 44225.319 to 58967.092, 7
66337.978, 58967.092 to 73708.865, 5
81079.751, 73708.865 to 88450.638, 10
95821.524, 88450.638 to 103192.411, 8
110563.297, 103192.411 to 117934.184, 10
125305.070, 117934.184 to 132675.957, 12
140046.843, 132675.957 to 147417.730, 16
154788.616, 147417.730 to 162159.503, 19
169530.389, 162159.503 to 176901.276, 11
184272.162, 176901.276 to 191643.049, 8
199013.935, 191643.049 to 206384.822, 3
213755.708, 206384.822 to 221126.595, 8
228497.481, 221126.595 to 235868.368, 4
243239.254, 235868.368 to 250610.141, 3
257981.027, 250610.141 to 265351.914, 5
272722.800, 265351.914 to 280093.687, 4
287464.573, 280093.687 to 294835.460, 1
302206.346, 294835.460 to 309577.233, 0
316948.119, 309577.233 to 324319.006, 0
331689.892, 324319.006 to 339060.779, 0
346431.665, 339060.779 to 353802.552, 1
361173.438, 353802.552 to 368544.325, 1
375915.211, 368544.325 to 383286.098, 1
390656.984, 383286.098 to 398027.871, 0
405398.757, 398027.871 to 412769.644, 0
420140.530, 412769.644 to 427511.417, 0
434882.303, 427511.417 to 442253.190, 0
449624.076, 442253.190 to 456994.963, 2
464365.849, 456994.963 to 471736.736, 0
479107.622, 471736.736 to 486478.509, 0
493849.395, 486478.509 to 501220.282, 0
508591.168, 501220.282 to 515962.055, 0
523332.941, 515962.055 to 530703.828, 0
538074.714, 530703.828 to 545445.601, 0
552816.487, 545445.601 to 560187.374, 0
567558.260, 560187.374 to 574929.147, 0
582300.033, 574929.147 to 589670.920, 1
597041.806, 589670.920 to 604412.693, 0
611783.579, 604412.693 to 619154.466, 0
626525.352, 619154.466 to 633896.239, 0
641267.125, 633896.239 to 648638.012, 0
656008.898, 648638.012 to 663379.785, 0
670750.671, 663379.785 to 678121.558, 0
685492.444, 678121.558 to 692863.331, 0
700234.217, 692863.331 to 707605.104, 0
714975.990, 707605.104 to 722346.877, 0
729717.763, 722346.877 to 737088.650, 1


Plate, 2
Well, 2
Count, 127
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
5326.670, 0.000 to 10653.341, 0
15980.011, 10653.341 to 21306.682, 0
26633.352, 21306.682 to 31960.022, 0
37286.693, 31960.022 to 42613.363, 16
47940.034, 42613.363 to 53266.704, 9
58593.374, 53266.704 to 63920.045, 6
69246.715, 63920.045 to 74573.385, 2
79900.056, 74573.385 to 85226.726, 3
90553.397, 85226.726 to 95880.067, 10
101206.737, 95880.067 to 106533.408, 12
111860.078, 106533.408 to 117186.749, 8
122513.419, 117186.749 to 127840.089, 7
133166.760, 127840.089 to 138493.430, 4
143820.101, 138493.430 to 149146.771, 3
154473.441, 149146.771 to 159800.112, 10
165126.782, 159800.112 to 170453.452, 5
175780.123, 170453.452 to 181106.793, 6
186433.464, 181106.793 to 191760.134, 2
197086.804, 191760.134 to 202413.475, 2
207740.145, 202413.475 to 213066.816, 4
218393.486, 213066.816 to 223720.156, 1
229046.827, 223720.156 to 234373.497, 2
239700.168, 234373.497 to 245026.838, 2
250353.508, 245026.838 to 255680.179, 1
261006.849, 255680.179 to 266333.519, 2
271660.190, 266333.519 to 276986.860, 1
282313.531, 276986.860 to 287640.201, 2
292966.871, 287640.201 to 298293.542, 0
303620.212, 298293.542 to 308946.883, 2
314273.553, 308946.883 to 319600.223, 1
324926.894, 319600.223 to 330253.564, 0
335580.235, 330253.564 to 340906.905, 1
346233.575, 340906.905 to 351560.246, 0
356886.916, 351560.246 to 362213.586, 2
367540.257, 362213.586 to 372866.927, 0
378193.598, 372866.927 to 383520.268, 0
388846.938, 383520.268 to 394173.609, 0
399500.279, 394173.609 to 404826.950, 0
410153.620, 404826.950 to 415480.290, 0
420806.961, 415480.290 to 426133.631, 0
431460.302, 426133.631 to 436786.972, 0
442113.642, 436786.972 to 447440.313, 0
452766.983, 447440.313 to 458093.653, 0
463420.324, 458093.653 to 468746.994, 0
474073.665, 468746.994 to 479400.335, 0
484727.005, 479400.335 to 490053.676, 0
495380.346, 490053.676 to 500707.017, 0
506033.687, 500707.017 to 511360.357, 0
516687.028, 511360.357 to 522013.698, 0
