Plate, 2
Well, 1
Count, 162
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.010, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.023, 0.019 to 0.026, 0
0.029, 0.026 to 0.032, 0
0.036, 0.032 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.048, 0.045 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.061, 0.058 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.074, 0.071 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.087, 0.084 to 0.091, 0
0.094, 0.091 to 0.097, 0
0.100, 0.097 to 0.103, 0
0.107, 0.103 to 0.110, 6
0.113, 0.110 to 0.116, 13
0.120, 0.116 to 0.123, 7
0.126, 0.123 to 0.129, 15
0.133, 0.129 to 0.136, 12
0.139, 0.136 to 0.142, 18
0.145, 0.142 to 0.149, 12
0.152, 0.149 to 0.155, 9
0.158, 0.155 to 0.162, 12
0.165, 0.162 to 0.168, 9
0.171, 0.168 to 0.175, 7
0.178, 0.175 to 0.181, 11
0.184, 0.181 to 0.188, 3
0.191, 0.188 to 0.194, 2
0.197, 0.194 to 0.200, 1
0.204, 0.200 to 0.207, 5
0.210, 0.207 to 0.213, 3
0.217, 0.213 to 0.220, 1
0.223, 0.220 to 0.226, 4
0.230, 0.226 to 0.233, 3
0.236, 0.233 to 0.239, 0
0.242, 0.239 to 0.246, 1
0.249, 0.246 to 0.252, 1
0.255, 0.252 to 0.259, 0
0.262, 0.259 to 0.265, 1
0.268, 0.265 to 0.272, 0
0.275, 0.272 to 0.278, 3
0.281, 0.278 to 0.284, 0
0.288, 0.284 to 0.291, 0
0.294, 0.291 to 0.297, 1
0.301, 0.297 to 0.304, 0
0.307, 0.304 to 0.310, 0
0.314, 0.310 to 0.317, 0
0.320, 0.317 to 0.323, 2


Plate, 2
Well, 2
Count, 127
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.018, 0.015 to 0.022, 0
0.025, 0.022 to 0.029, 0
0.033, 0.029 to 0.036, 0
0.040, 0.036 to 0.044, 0
0.047, 0.044 to 0.051, 0
0.054, 0.051 to 0.058, 0
0.062, 0.058 to 0.065, 0
0.069, 0.065 to 0.073, 0
0.076, 0.073 to 0.080, 0
0.083, 0.080 to 0.087, 0
0.091, 0.087 to 0.094, 0
0.098, 0.094 to 0.102, 0
0.105, 0.102 to 0.109, 0
0.112, 0.109 to 0.116, 0
0.120, 0.116 to 0.123, 3
0.127, 0.123 to 0.131, 6
0.134, 0.131 to 0.138, 13
0.141, 0.138 to 0.145, 7
0.149, 0.145 to 0.152, 15
0.156, 0.152 to 0.160, 8
0.163, 0.160 to 0.167, 10
0.171, 0.167 to 0.174, 7
0.178, 0.174 to 0.181, 11
0.185, 0.181 to 0.189, 4
0.192, 0.189 to 0.196, 4
0.200, 0.196 to 0.203, 2
0.207, 0.203 to 0.210, 3
0.214, 0.210 to 0.218, 2
0.221, 0.218 to 0.225, 3
0.229, 0.225 to 0.232, 5
0.236, 0.232 to 0.239, 6
0.243, 0.239 to 0.247, 1
0.250, 0.247 to 0.254, 2
0.258, 0.254 to 0.261, 4
0.265, 0.261 to 0.268, 0
0.272, 0.268 to 0.276, 3
0.279, 0.276 to 0.283, 1
0.287, 0.283 to 0.290, 2
0.294, 0.290 to 0.298, 1
0.301, 0.298 to 0.305, 0
0.308, 0.305 to 0.312, 3
0.316, 0.312 to 0.319, 0
0.323, 0.319 to 0.327, 0
0.330, 0.327 to 0.334, 0
0.337, 0.334 to 0.341, 0
0.345, 0.341 to 0.348, 0
0.352, 0.348 to 0.356, 0
0.359, 0.356 to 0.363, 1


Plate, 2
Well, 3
Count, 57
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.010, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.023, 0.019 to 0.026, 0
0.029, 0.026 to 0.032, 0
0.036, 0.032 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.062, 0.058 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.075, 0.071 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.088, 0.084 to 0.091, 0
0.094, 0.091 to 0.097, 0
0.101, 0.097 to 0.104, 0
0.107, 0.104 to 0.110, 0
0.114, 0.110 to 0.117, 0
0.120, 0.117 to 0.123, 1
0.127, 0.123 to 0.130, 0
0.133, 0.130 to 0.136, 0
0.140, 0.136 to 0.143, 2
0.146, 0.143 to 0.149, 3
0.153, 0.149 to 0.156, 7
0.159, 0.156 to 0.162, 6
0.166, 0.162 to 0.169, 4
0.172, 0.169 to 0.175, 5
0.179, 0.175 to 0.182, 3
0.185, 0.182 to 0.188, 8
0.191, 0.188 to 0.195, 5
0.198, 0.195 to 0.201, 1
0.204, 0.201 to 0.208, 0
0.211, 0.208 to 0.214, 2
0.217, 0.214 to 0.221, 0
0.224, 0.221 to 0.227, 0
0.230, 0.227 to 0.234, 1
0.237, 0.234 to 0.240, 3
0.243, 0.240 to 0.247, 1
0.250, 0.247 to 0.253, 1
0.256, 0.253 to 0.260, 0
0.263, 0.260 to 0.266, 1
0.269, 0.266 to 0.273, 0
0.276, 0.273 to 0.279, 1
0.282, 0.279 to 0.286, 0
0.289, 0.286 to 0.292, 1
0.295, 0.292 to 0.299, 0
0.302, 0.299 to 0.305, 0
0.308, 0.305 to 0.312, 0
0.315, 0.312 to 0.318, 0
0.321, 0.318 to 0.325, 1


Plate, 2
Well, 4
Count, 27
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.004, 0
0.006, 0.004 to 0.008, 0
0.011, 0.008 to 0.013, 0
0.015, 0.013 to 0.017, 0
0.019, 0.017 to 0.021, 0
0.023, 0.021 to 0.025, 0
0.028, 0.025 to 0.030, 0
0.032, 0.030 to 0.034, 0
0.036, 0.034 to 0.038, 0
0.040, 0.038 to 0.042, 0
0.044, 0.042 to 0.047, 0
0.049, 0.047 to 0.051, 0
0.053, 0.051 to 0.055, 0
0.057, 0.055 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.066, 0.064 to 0.068, 0
0.070, 0.068 to 0.072, 0
0.074, 0.072 to 0.076, 0
0.078, 0.076 to 0.080, 0
0.083, 0.080 to 0.085, 0
0.087, 0.085 to 0.089, 0
0.091, 0.089 to 0.093, 0
0.095, 0.093 to 0.097, 0
0.100, 0.097 to 0.102, 0
0.104, 0.102 to 0.106, 0
0.108, 0.106 to 0.110, 1
0.112, 0.110 to 0.114, 0
0.117, 0.114 to 0.119, 2
0.121, 0.119 to 0.123, 2
0.125, 0.123 to 0.127, 5
0.129, 0.127 to 0.131, 0
0.133, 0.131 to 0.136, 3
0.138, 0.136 to 0.140, 0
0.142, 0.140 to 0.144, 1
0.146, 0.144 to 0.148, 3
0.150, 0.148 to 0.153, 0
0.155, 0.153 to 0.157, 2
0.159, 0.157 to 0.161, 0
0.163, 0.161 to 0.165, 3
0.167, 0.165 to 0.169, 0
0.172, 0.169 to 0.174, 1
0.176, 0.174 to 0.178, 0
0.180, 0.178 to 0.182, 0
0.184, 0.182 to 0.186, 0
0.189, 0.186 to 0.191, 1
0.193, 0.191 to 0.195, 0
0.197, 0.195 to 0.199, 0
0.201, 0.199 to 0.203, 1
0.205, 0.203 to 0.208, 1
0.210, 0.208 to 0.212, 1


Plate, 2
Well, 5
Count, 11
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.003, 0
0.005, 0.003 to 0.006, 0
0.008, 0.006 to 0.009, 0
0.011, 0.009 to 0.012, 0
0.014, 0.012 to 0.016, 0
0.017, 0.016 to 0.019, 0
0.020, 0.019 to 0.022, 0
0.023, 0.022 to 0.025, 0
0.027, 0.025 to 0.028, 0
0.030, 0.028 to 0.031, 0
0.033, 0.031 to 0.034, 0
0.036, 0.034 to 0.037, 0
0.039, 0.037 to 0.041, 0
0.042, 0.041 to 0.044, 0
0.045, 0.044 to 0.047, 0
0.048, 0.047 to 0.050, 0
0.051, 0.050 to 0.053, 0
0.055, 0.053 to 0.056, 0
0.058, 0.056 to 0.059, 0
0.061, 0.059 to 0.062, 0
0.064, 0.062 to 0.066, 0
0.067, 0.066 to 0.069, 0
0.070, 0.069 to 0.072, 0
0.073, 0.072 to 0.075, 0
0.076, 0.075 to 0.078, 0
0.080, 0.078 to 0.081, 0
0.083, 0.081 to 0.084, 0
0.086, 0.084 to 0.087, 0
0.089, 0.087 to 0.090, 0
0.092, 0.090 to 0.094, 0
0.095, 0.094 to 0.097, 0
0.098, 0.097 to 0.100, 0
0.101, 0.100 to 0.103, 0
0.105, 0.103 to 0.106, 0
0.108, 0.106 to 0.109, 0
0.111, 0.109 to 0.112, 0
