Plate, 2
Well, 1
Count, 162
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
35.721, 0.000 to 71.442, 0
107.163, 71.442 to 142.884, 0
178.605, 142.884 to 214.325, 0
250.046, 214.325 to 285.767, 2
321.488, 285.767 to 357.209, 2
392.930, 357.209 to 428.651, 8
464.372, 428.651 to 500.093, 3
535.814, 500.093 to 571.534, 10
607.255, 571.534 to 642.976, 6
678.697, 642.976 to 714.418, 11
750.139, 714.418 to 785.860, 11
821.581, 785.860 to 857.302, 8
893.023, 857.302 to 928.744, 9
964.464, 928.744 to 1000.185, 7
1035.906, 1000.185 to 1071.627, 7
1107.348, 1071.627 to 1143.069, 5
1178.790, 1143.069 to 1214.511, 9
1250.232, 1214.511 to 1285.953, 8
1321.674, 1285.953 to 1357.394, 3
1393.115, 1357.394 to 1428.836, 6
1464.557, 1428.836 to 1500.278, 2
1535.999, 1500.278 to 1571.720, 3
1607.441, 1571.720 to 1643.162, 2
1678.883, 1643.162 to 1714.603, 5
1750.324, 1714.603 to 1786.045, 8
1821.766, 1786.045 to 1857.487, 3
1893.208, 1857.487 to 1928.929, 2
1964.650, 1928.929 to 2000.371, 0
2036.092, 2000.371 to 2071.813, 5
2107.533, 2071.813 to 2143.254, 3
2178.975, 2143.254 to 2214.696, 1
2250.417, 2214.696 to 2286.138, 3
2321.859, 2286.138 to 2357.580, 1
2393.301, 2357.580 to 2429.022, 3
2464.743, 2429.022 to 2500.463, 0
2536.184, 2500.463 to 2571.905, 0
2607.626, 2571.905 to 2643.347, 0
2679.068, 2643.347 to 2714.789, 1
2750.510, 2714.789 to 2786.231, 0
2821.952, 2786.231 to 2857.672, 0
2893.393, 2857.672 to 2929.114, 0
2964.835, 2929.114 to 3000.556, 0
3036.277, 3000.556 to 3071.998, 1
3107.719, 3071.998 to 3143.440, 2
3179.161, 3143.440 to 3214.882, 0
3250.602, 3214.882 to 3286.323, 0
3322.044, 3286.323 to 3357.765, 1
3393.486, 3357.765 to 3429.207, 0
3464.928, 3429.207 to 3500.649, 0
3536.370, 3500.649 to 3572.091, 1


Plate, 2
Well, 2
Count, 127
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
35.124, 0.000 to 70.248, 0
105.372, 70.248 to 140.496, 0
175.620, 140.496 to 210.743, 0
245.867, 210.743 to 280.991, 0
316.115, 280.991 to 351.239, 0
386.363, 351.239 to 421.487, 0
456.611, 421.487 to 491.735, 0
526.859, 491.735 to 561.983, 2
597.107, 561.983 to 632.230, 4
667.354, 632.230 to 702.478, 5
737.602, 702.478 to 772.726, 5
807.850, 772.726 to 842.974, 10
878.098, 842.974 to 913.222, 12
948.346, 913.222 to 983.470, 13
1018.593, 983.470 to 1053.717, 7
1088.841, 1053.717 to 1123.965, 9
1159.089, 1123.965 to 1194.213, 3
1229.337, 1194.213 to 1264.461, 3
1299.585, 1264.461 to 1334.709, 3
1369.833, 1334.709 to 1404.957, 4
1440.080, 1404.957 to 1475.204, 3
1510.328, 1475.204 to 1545.452, 5
1580.576, 1545.452 to 1615.700, 1
1650.824, 1615.700 to 1685.948, 6
1721.072, 1685.948 to 1756.196, 3
1791.320, 1756.196 to 1826.443, 5
1861.567, 1826.443 to 1896.691, 4
