Plate, 1
Well, 1
Count, 251
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
6745.229, 0.000 to 13490.458, 0
20235.688, 13490.458 to 26980.917, 0
33726.146, 26980.917 to 40471.375, 15
47216.604, 40471.375 to 53961.833, 10
60707.063, 53961.833 to 67452.292, 9
74197.521, 67452.292 to 80942.750, 7
87687.979, 80942.750 to 94433.208, 9
101178.438, 94433.208 to 107923.667, 18
114668.896, 107923.667 to 121414.125, 15
128159.354, 121414.125 to 134904.584, 14
141649.813, 134904.584 to 148395.042, 9
155140.271, 148395.042 to 161885.500, 12
168630.729, 161885.500 to 175375.959, 16
182121.188, 175375.959 to 188866.417, 17
195611.646, 188866.417 to 202356.875, 21
209102.104, 202356.875 to 215847.334, 8
222592.563, 215847.334 to 229337.792, 11
236083.021, 229337.792 to 242828.250, 8
249573.480, 242828.250 to 256318.709, 8
263063.938, 256318.709 to 269809.167, 9
276554.396, 269809.167 to 283299.625, 1
290044.855, 283299.625 to 296790.084, 3
303535.313, 296790.084 to 310280.542, 3
317025.771, 310280.542 to 323771.000, 5
330516.230, 323771.000 to 337261.459, 5
344006.688, 337261.459 to 350751.917, 0
357497.146, 350751.917 to 364242.376, 2
370987.605, 364242.376 to 377732.834, 1
384478.063, 377732.834 to 391223.292, 0
397968.521, 391223.292 to 404713.751, 3
411458.980, 404713.751 to 418204.209, 0
424949.438, 418204.209 to 431694.667, 2
438439.896, 431694.667 to 445185.126, 2
451930.355, 445185.126 to 458675.584, 0
465420.813, 458675.584 to 472166.042, 1
478911.271, 472166.042 to 485656.501, 0
492401.730, 485656.501 to 499146.959, 1
505892.188, 499146.959 to 512637.417, 0
519382.647, 512637.417 to 526127.876, 0
532873.105, 526127.876 to 539618.334, 0
546363.563, 539618.334 to 553108.792, 0
559854.022, 553108.792 to 566599.251, 0
573344.480, 566599.251 to 580089.709, 1
586834.938, 580089.709 to 593580.167, 1
600325.397, 593580.167 to 607070.626, 1
613815.855, 607070.626 to 620561.084, 1
627306.313, 620561.084 to 634051.543, 0
640796.772, 634051.543 to 647542.001, 0
654287.230, 647542.001 to 661032.459, 0
667777.688, 661032.459 to 674522.918, 2


Plate, 1
Well, 2
Count, 213
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
18919.189, 0.000 to 37838.379, 8
56757.568, 37838.379 to 75676.758, 21
94595.947, 75676.758 to 113515.137, 32
132434.326, 113515.137 to 151353.516, 36
170272.705, 151353.516 to 189191.895, 33
208111.084, 189191.895 to 227030.273, 29
245949.463, 227030.273 to 264868.652, 19
283787.842, 264868.652 to 302707.031, 9
321626.221, 302707.031 to 340545.410, 8
359464.600, 340545.410 to 378383.789, 9
397302.978, 378383.789 to 416222.168, 4
435141.357, 416222.168 to 454060.547, 1
472979.736, 454060.547 to 491898.926, 0
510818.115, 491898.926 to 529737.305, 2
548656.494, 529737.305 to 567575.684, 0
586494.873, 567575.684 to 605414.062, 1
624333.252, 605414.062 to 643252.441, 0
662171.631, 643252.441 to 681090.820, 0
700010.010, 681090.820 to 718929.199, 0
737848.389, 718929.199 to 756767.578, 0
775686.768, 756767.578 to 794605.957, 0
813525.146, 794605.957 to 832444.336, 0
851363.525, 832444.336 to 870282.715, 0
889201.904, 870282.715 to 908121.094, 0
927040.283, 908121.094 to 945959.473, 0
964878.662, 945959.473 to 983797.851, 0
1002717.041, 983797.851 to 1021636.230, 0
1040555.420, 1021636.230 to 1059474.609, 0
1078393.799, 1059474.609 to 1097312.988, 0
1116232.178, 1097312.988 to 1135151.367, 0
1154070.557, 1135151.367 to 1172989.746, 0
1191908.935, 1172989.746 to 1210828.125, 0
1229747.314, 1210828.125 to 1248666.504, 0
1267585.693, 1248666.504 to 1286504.883, 0
1305424.072, 1286504.883 to 1324343.262, 0
1343262.451, 1324343.262 to 1362181.641, 0
1381100.830, 1362181.641 to 1400020.019, 0
1418939.209, 1400020.019 to 1437858.398, 0
1456777.588, 1437858.398 to 1475696.777, 0
1494615.967, 1475696.777 to 1513535.156, 0
1532454.346, 1513535.156 to 1551373.535, 0
1570292.724, 1551373.535 to 1589211.914, 0
1608131.103, 1589211.914 to 1627050.293, 0
1645969.482, 1627050.293 to 1664888.672, 0
1683807.861, 1664888.672 to 1702727.051, 0
1721646.240, 1702727.051 to 1740565.430, 0
1759484.619, 1740565.430 to 1778403.808, 0
1797322.998, 1778403.808 to 1816242.187, 0
1835161.377, 1816242.187 to 1854080.566, 0
1872999.756, 1854080.566 to 1891918.945, 1


Plate, 1
Well, 3
Count, 165
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
6731.819, 0.000 to 13463.639, 0
20195.458, 13463.639 to 26927.278, 0
33659.097, 26927.278 to 40390.917, 11
47122.736, 40390.917 to 53854.556, 8
60586.375, 53854.556 to 67318.194, 6
74050.014, 67318.194 to 80781.833, 6
87513.653, 80781.833 to 94245.472, 7
100977.292, 94245.472 to 107709.111, 13
114440.931, 107709.111 to 121172.750, 12
127904.569, 121172.750 to 134636.389, 12
141368.208, 134636.389 to 148100.028, 11
154831.847, 148100.028 to 161563.667, 19
168295.486, 161563.667 to 175027.305, 7
181759.125, 175027.305 to 188490.944, 7
195222.764, 188490.944 to 201954.583, 4
208686.403, 201954.583 to 215418.222, 5
222150.042, 215418.222 to 228881.861, 3
235613.680, 228881.861 to 242345.500, 7
249077.319, 242345.500 to 255809.139, 4
262540.958, 255809.139 to 269272.778, 4
276004.597, 269272.778 to 282736.417, 1
289468.236, 282736.417 to 296200.055, 1
302931.875, 296200.055 to 309663.694, 4
316395.514, 309663.694 to 323127.333, 1
329859.153, 323127.333 to 336590.972, 1
343322.792, 336590.972 to 350054.611, 2
356786.430, 350054.611 to 363518.250, 1
370250.069, 363518.250 to 376981.889, 3
383713.708, 376981.889 to 390445.528, 0
397177.347, 390445.528 to 403909.167, 1
410640.986, 403909.167 to 417372.805, 1
424104.625, 417372.805 to 430836.444, 0
437568.264, 430836.444 to 444300.083, 0
451031.903, 444300.083 to 457763.722, 0
464495.541, 457763.722 to 471227.361, 0
477959.180, 471227.361 to 484691.000, 0
491422.819, 484691.000 to 498154.639, 0
504886.458, 498154.639 to 511618.278, 0
518350.097, 511618.278 to 525081.916, 0
531813.736, 525081.916 to 538545.555, 1
545277.375, 538545.555 to 552009.194, 0
558741.014, 552009.194 to 565472.833, 0
572204.653, 565472.833 to 578936.472, 0
585668.291, 578936.472 to 592400.111, 0
599131.930, 592400.111 to 605863.750, 0
612595.569, 605863.750 to 619327.389, 0
626059.208, 619327.389 to 632791.028, 1
639522.847, 632791.028 to 646254.666, 0
652986.486, 646254.666 to 659718.305, 0
666450.125, 659718.305 to 673181.944, 1


Plate, 1
Well, 4
Count, 128
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
15613.007, 0.000 to 31226.013, 0
46839.020, 31226.013 to 62452.027, 22
78065.034, 62452.027 to 93678.040, 16
