Plate, 1
Well, 1
Count, 251
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.193, 0.000 to 66.386, 0
99.580, 66.386 to 132.773, 0
165.966, 132.773 to 199.159, 0
232.353, 199.159 to 265.546, 0
298.739, 265.546 to 331.932, 2
365.125, 331.932 to 398.319, 6
431.512, 398.319 to 464.705, 12
497.898, 464.705 to 531.092, 8
564.285, 531.092 to 597.478, 8
630.671, 597.478 to 663.864, 14
697.058, 663.864 to 730.251, 17
763.444, 730.251 to 796.637, 15
829.831, 796.637 to 863.024, 13
896.217, 863.024 to 929.410, 18
962.603, 929.410 to 995.797, 21
1028.990, 995.797 to 1062.183, 17
1095.376, 1062.183 to 1128.570, 14
1161.763, 1128.570 to 1194.956, 12
1228.149, 1194.956 to 1261.342, 6
1294.536, 1261.342 to 1327.729, 13
1360.922, 1327.729 to 1394.115, 4
1427.308, 1394.115 to 1460.502, 7
1493.695, 1460.502 to 1526.888, 5
1560.081, 1526.888 to 1593.275, 6
1626.468, 1593.275 to 1659.661, 6
1692.854, 1659.661 to 1726.047, 3
1759.241, 1726.047 to 1792.434, 4
1825.627, 1792.434 to 1858.820, 2
1892.014, 1858.820 to 1925.207, 2
1958.400, 1925.207 to 1991.593, 3
2024.786, 1991.593 to 2057.980, 6
2091.173, 2057.980 to 2124.366, 1
2157.559, 2124.366 to 2190.753, 0
2223.946, 2190.753 to 2257.139, 1
2290.332, 2257.139 to 2323.525, 0
2356.719, 2323.525 to 2389.912, 1
2423.105, 2389.912 to 2456.298, 1
2489.492, 2456.298 to 2522.685, 0
2555.878, 2522.685 to 2589.071, 0
2622.264, 2589.071 to 2655.458, 0
2688.651, 2655.458 to 2721.844, 1
2755.037, 2721.844 to 2788.231, 0
2821.424, 2788.231 to 2854.617, 1
2887.810, 2854.617 to 2921.003, 0
2954.197, 2921.003 to 2987.390, 0
3020.583, 2987.390 to 3053.776, 0
3086.970, 3053.776 to 3120.163, 0
3153.356, 3120.163 to 3186.549, 0
3219.742, 3186.549 to 3252.936, 0
3286.129, 3252.936 to 3319.322, 1


Plate, 1
Well, 2
Count, 213
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
33.708, 0.000 to 67.415, 0
101.123, 67.415 to 134.830, 0
168.538, 134.830 to 202.245, 0
235.953, 202.245 to 269.660, 0
303.368, 269.660 to 337.075, 0
370.783, 337.075 to 404.491, 6
438.198, 404.491 to 471.906, 8
505.613, 471.906 to 539.321, 9
573.028, 539.321 to 606.736, 8
640.443, 606.736 to 674.151, 4
707.858, 674.151 to 741.566, 13
775.273, 741.566 to 808.981, 31
842.689, 808.981 to 876.396, 9
910.104, 876.396 to 943.811, 6
977.519, 943.811 to 1011.226, 7
1044.934, 1011.226 to 1078.641, 20
1112.349, 1078.641 to 1146.056, 9
1179.764, 1146.056 to 1213.472, 12
1247.179, 1213.472 to 1280.887, 13
1314.594, 1280.887 to 1348.302, 2
1382.009, 1348.302 to 1415.717, 6
1449.424, 1415.717 to 1483.132, 9
1516.839, 1483.132 to 1550.547, 6
1584.255, 1550.547 to 1617.962, 7
1651.670, 1617.962 to 1685.377, 1
1719.085, 1685.377 to 1752.792, 3
1786.500, 1752.792 to 1820.207, 2
1853.915, 1820.207 to 1887.622, 3
1921.330, 1887.622 to 1955.037, 4
1988.745, 1955.037 to 2022.453, 0
2056.160, 2022.453 to 2089.868, 1
2123.575, 2089.868 to 2157.283, 1
2190.990, 2157.283 to 2224.698, 1
2258.405, 2224.698 to 2292.113, 2
2325.820, 2292.113 to 2359.528, 0
2393.236, 2359.528 to 2426.943, 1
2460.651, 2426.943 to 2494.358, 2
2528.066, 2494.358 to 2561.773, 0
2595.481, 2561.773 to 2629.188, 1
2662.896, 2629.188 to 2696.603, 2
2730.311, 2696.603 to 2764.019, 0
2797.726, 2764.019 to 2831.434, 0
2865.141, 2831.434 to 2898.849, 0
2932.556, 2898.849 to 2966.264, 1
2999.971, 2966.264 to 3033.679, 1
3067.386, 3033.679 to 3101.094, 0
3134.801, 3101.094 to 3168.509, 0
3202.217, 3168.509 to 3235.924, 0
3269.632, 3235.924 to 3303.339, 0
3337.047, 3303.339 to 3370.754, 2


Plate, 1
Well, 3
Count, 165
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.184, 0.000 to 64.369, 0
96.553, 64.369 to 128.738, 0
160.922, 128.738 to 193.107, 0
225.291, 193.107 to 257.476, 0
289.660, 257.476 to 321.845, 2
354.029, 321.845 to 386.214, 4
418.398, 386.214 to 450.583, 2
482.767, 450.583 to 514.952, 6
547.136, 514.952 to 579.320, 11
611.505, 579.320 to 643.689, 10
675.874, 643.689 to 708.058, 2
740.243, 708.058 to 772.427, 6
804.612, 772.427 to 836.796, 4
868.981, 836.796 to 901.165, 13
933.350, 901.165 to 965.534, 13
997.719, 965.534 to 1029.903, 13
1062.088, 1029.903 to 1094.272, 2
1126.457, 1094.272 to 1158.641, 13
1190.825, 1158.641 to 1223.010, 10
1255.194, 1223.010 to 1287.379, 3
1319.563, 1287.379 to 1351.748, 5
1383.932, 1351.748 to 1416.117, 6
1448.301, 1416.117 to 1480.486, 6
1512.670, 1480.486 to 1544.855, 2
1577.039, 1544.855 to 1609.224, 6
1641.408, 1609.224 to 1673.593, 2
1705.777, 1673.593 to 1737.961, 5
1770.146, 1737.961 to 1802.330, 0
1834.515, 1802.330 to 1866.699, 4
1898.884, 1866.699 to 1931.068, 1
1963.253, 1931.068 to 1995.437, 2
2027.622, 1995.437 to 2059.806, 0
2091.991, 2059.806 to 2124.175, 1
2156.360, 2124.175 to 2188.544, 1
2220.729, 2188.544 to 2252.913, 0
2285.097, 2252.913 to 2317.282, 0
2349.466, 2317.282 to 2381.651, 0
2413.835, 2381.651 to 2446.020, 2
2478.204, 2446.020 to 2510.389, 1
2542.573, 2510.389 to 2574.758, 0
2606.942, 2574.758 to 2639.127, 3
2671.311, 2639.127 to 2703.496, 0
2735.680, 2703.496 to 2767.865, 0
2800.049, 2767.865 to 2832.234, 2
2864.418, 2832.234 to 2896.602, 0
2928.787, 2896.602 to 2960.971, 0
2993.156, 2960.971 to 3025.340, 1
3057.525, 3025.340 to 3089.709, 0
3121.894, 3089.709 to 3154.078, 0
3186.263, 3154.078 to 3218.447, 1


Plate, 1
Well, 4
Count, 128
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
37.109, 0.000 to 74.217, 0
111.326, 74.217 to 148.435, 0
185.544, 148.435 to 222.652, 0
259.761, 222.652 to 296.870, 0
333.979, 296.870 to 371.087, 0
408.196, 371.087 to 445.305, 2
482.414, 445.305 to 519.522, 1
556.631, 519.522 to 593.740, 2
630.848, 593.740 to 667.957, 9
705.066, 667.957 to 742.175, 11
779.283, 742.175 to 816.392, 7
