Plate, 2
Well, 1
Count, 123
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1216.062, 0.000 to 2432.123, 0
3648.185, 2432.123 to 4864.247, 1
6080.309, 4864.247 to 7296.370, 13
8512.432, 7296.370 to 9728.494, 6
10944.556, 9728.494 to 12160.617, 1
13376.679, 12160.617 to 14592.741, 16
15808.803, 14592.741 to 17024.864, 12
18240.926, 17024.864 to 19456.988, 10
20673.049, 19456.988 to 21889.111, 7
23105.173, 21889.111 to 24321.235, 10
25537.296, 24321.235 to 26753.358, 5
27969.420, 26753.358 to 29185.482, 5
30401.543, 29185.482 to 31617.605, 4
32833.667, 31617.605 to 34049.728, 5
35265.790, 34049.728 to 36481.852, 5
37697.914, 36481.852 to 38913.975, 3
40130.037, 38913.975 to 41346.099, 5
42562.161, 41346.099 to 43778.222, 4
44994.284, 43778.222 to 46210.346, 1
47426.408, 46210.346 to 48642.469, 2
49858.531, 48642.469 to 51074.593, 2
52290.654, 51074.593 to 53506.716, 1
54722.778, 53506.716 to 55938.840, 0
57154.901, 55938.840 to 58370.963, 0
59587.025, 58370.963 to 60803.087, 1
62019.148, 60803.087 to 63235.210, 0
64451.272, 63235.210 to 65667.334, 0
66883.395, 65667.334 to 68099.457, 1
69315.519, 68099.457 to 70531.580, 0
71747.642, 70531.580 to 72963.704, 0
74179.766, 72963.704 to 75395.827, 0
76611.889, 75395.827 to 77827.951, 1
79044.013, 77827.951 to 80260.074, 0
81476.136, 80260.074 to 82692.198, 0
83908.260, 82692.198 to 85124.321, 0
86340.383, 85124.321 to 87556.445, 0
88772.506, 87556.445 to 89988.568, 0
91204.630, 89988.568 to 92420.692, 0
93636.753, 92420.692 to 94852.815, 0
96068.877, 94852.815 to 97284.939, 0
98501.000, 97284.939 to 99717.062, 1
100933.124, 99717.062 to 102149.185, 0
103365.247, 102149.185 to 104581.309, 0
105797.371, 104581.309 to 107013.432, 0
108229.494, 107013.432 to 109445.556, 0
110661.618, 109445.556 to 111877.679, 0
113093.741, 111877.679 to 114309.803, 0
115525.865, 114309.803 to 116741.926, 0
117957.988, 116741.926 to 119174.050, 0
120390.111, 119174.050 to 121606.173, 1


Plate, 2
Well, 2
Count, 118
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
648.196, 0.000 to 1296.393, 0
1944.589, 1296.393 to 2592.786, 0
3240.982, 2592.786 to 3889.179, 1
4537.375, 3889.179 to 5185.571, 7
5833.768, 5185.571 to 6481.964, 12
7130.161, 6481.964 to 7778.357, 8
8426.554, 7778.357 to 9074.750, 6
9722.947, 9074.750 to 10371.143, 0
11019.339, 10371.143 to 11667.536, 3
12315.732, 11667.536 to 12963.929, 4
13612.125, 12963.929 to 14260.322, 2
14908.518, 14260.322 to 15556.714, 2
16204.911, 15556.714 to 16853.107, 8
17501.304, 16853.107 to 18149.500, 6
18797.697, 18149.500 to 19445.893, 3
20094.090, 19445.893 to 20742.286, 6
21390.482, 20742.286 to 22038.679, 6
22686.875, 22038.679 to 23335.072, 4
23983.268, 23335.072 to 24631.465, 2
25279.661, 24631.465 to 25927.857, 5
26576.054, 25927.857 to 27224.250, 5
27872.447, 27224.250 to 28520.643, 6
29168.840, 28520.643 to 29817.036, 5
30465.232, 29817.036 to 31113.429, 4
31761.625, 31113.429 to 32409.822, 1
33058.018, 32409.822 to 33706.215, 3
34354.411, 33706.215 to 35002.608, 0
35650.804, 35002.608 to 36299.000, 0
36947.197, 36299.000 to 37595.393, 1
38243.590, 37595.393 to 38891.786, 0
39539.983, 38891.786 to 40188.179, 1
40836.375, 40188.179 to 41484.572, 1
42132.768, 41484.572 to 42780.965, 1
43429.161, 42780.965 to 44077.358, 1
44725.554, 44077.358 to 45373.750, 1
46021.947, 45373.750 to 46670.143, 0
47318.340, 46670.143 to 47966.536, 1
48614.733, 47966.536 to 49262.929, 1
49911.126, 49262.929 to 50559.322, 0
51207.518, 50559.322 to 51855.715, 0
52503.911, 51855.715 to 53152.108, 0
53800.304, 53152.108 to 54448.501, 0
55096.697, 54448.501 to 55744.893, 0
56393.090, 55744.893 to 57041.286, 0
57689.483, 57041.286 to 58337.679, 0
58985.876, 58337.679 to 59634.072, 0
60282.269, 59634.072 to 60930.465, 0
61578.661, 60930.465 to 62226.858, 0
62875.054, 62226.858 to 63523.251, 0
64171.447, 63523.251 to 64819.644, 1


Plate, 2
Well, 3
Count, 80
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
859.363, 0.000 to 1718.726, 0
2578.089, 1718.726 to 3437.452, 0
4296.815, 3437.452 to 5156.178, 5
6015.541, 5156.178 to 6874.904, 7
7734.267, 6874.904 to 8593.630, 10
9452.993, 8593.630 to 10312.356, 4
11171.719, 10312.356 to 12031.082, 6
12890.445, 12031.082 to 13749.808, 3
14609.171, 13749.808 to 15468.535, 6
16327.898, 15468.535 to 17187.261, 4
18046.624, 17187.261 to 18905.987, 4
19765.350, 18905.987 to 20624.713, 6
21484.076, 20624.713 to 22343.439, 4
23202.802, 22343.439 to 24062.165, 1
24921.528, 24062.165 to 25780.891, 3
26640.254, 25780.891 to 27499.617, 4
28358.980, 27499.617 to 29218.343, 2
30077.706, 29218.343 to 30937.069, 0
31796.432, 30937.069 to 32655.795, 1
33515.158, 32655.795 to 34374.521, 2
35233.884, 34374.521 to 36093.247, 0
36952.610, 36093.247 to 37811.973, 0
38671.336, 37811.973 to 39530.699, 1
40390.062, 39530.699 to 41249.425, 2
42108.788, 41249.425 to 42968.151, 1
43827.514, 42968.151 to 44686.878, 0
45546.241, 44686.878 to 46405.604, 0
47264.967, 46405.604 to 48124.330, 1
48983.693, 48124.330 to 49843.056, 0
50702.419, 49843.056 to 51561.782, 0
52421.145, 51561.782 to 53280.508, 0
54139.871, 53280.508 to 54999.234, 2
55858.597, 54999.234 to 56717.960, 0
57577.323, 56717.960 to 58436.686, 0
59296.049, 58436.686 to 60155.412, 0
61014.775, 60155.412 to 61874.138, 0
62733.501, 61874.138 to 63592.864, 0
64452.227, 63592.864 to 65311.590, 0
66170.953, 65311.590 to 67030.316, 0
67889.679, 67030.316 to 68749.042, 0
69608.405, 68749.042 to 70467.768, 0
71327.131, 70467.768 to 72186.494, 0
73045.857, 72186.494 to 73905.220, 0
74764.584, 73905.220 to 75623.947, 0
76483.310, 75623.947 to 77342.673, 0
78202.036, 77342.673 to 79061.399, 0
79920.762, 79061.399 to 80780.125, 0
81639.488, 80780.125 to 82498.851, 0
83358.214, 82498.851 to 84217.577, 0
85076.940, 84217.577 to 85936.303, 1


Plate, 2
Well, 4
Count, 56
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
395.021, 0.000 to 790.042, 0
1185.063, 790.042 to 1580.084, 0
