Plate, 1
Well, 1
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3736.717, 0.000 to 7473.434, 5
11210.150, 7473.434 to 14946.867, 31
18683.584, 14946.867 to 22420.301, 36
26157.018, 22420.301 to 29893.735, 46
33630.451, 29893.735 to 37367.168, 37
41103.885, 37367.168 to 44840.602, 24
48577.319, 44840.602 to 52314.035, 18
56050.752, 52314.035 to 59787.469, 12
63524.186, 59787.469 to 67260.903, 7
70997.619, 67260.903 to 74734.336, 3
78471.053, 74734.336 to 82207.770, 5
85944.487, 82207.770 to 89681.204, 2
93417.920, 89681.204 to 97154.637, 6
100891.354, 97154.637 to 104628.071, 4
108364.788, 104628.071 to 112101.504, 1
115838.221, 112101.504 to 119574.938, 2
123311.655, 119574.938 to 127048.372, 0
130785.089, 127048.372 to 134521.805, 1
138258.522, 134521.805 to 141995.239, 1
145731.956, 141995.239 to 149468.673, 0
153205.389, 149468.673 to 156942.106, 0
160678.823, 156942.106 to 164415.540, 1
168152.257, 164415.540 to 171888.974, 0
175625.690, 171888.974 to 179362.407, 0
183099.124, 179362.407 to 186835.841, 0
190572.558, 186835.841 to 194309.274, 0
198045.991, 194309.274 to 201782.708, 0
205519.425, 201782.708 to 209256.142, 0
212992.858, 209256.142 to 216729.575, 1
220466.292, 216729.575 to 224203.009, 0
227939.726, 224203.009 to 231676.443, 1
235413.159, 231676.443 to 239149.876, 0
242886.593, 239149.876 to 246623.310, 0
250360.027, 246623.310 to 254096.743, 0
257833.460, 254096.743 to 261570.177, 0
265306.894, 261570.177 to 269043.611, 0
272780.328, 269043.611 to 276517.044, 0
280253.761, 276517.044 to 283990.478, 0
287727.195, 283990.478 to 291463.912, 0
295200.628, 291463.912 to 298937.345, 0
302674.062, 298937.345 to 306410.779, 0
310147.496, 306410.779 to 313884.213, 0
317620.929, 313884.213 to 321357.646, 0
325094.363, 321357.646 to 328831.080, 0
332567.797, 328831.080 to 336304.513, 0
340041.230, 336304.513 to 343777.947, 0
347514.664, 343777.947 to 351251.381, 0
354988.097, 351251.381 to 358724.814, 0
362461.531, 358724.814 to 366198.248, 0
369934.965, 366198.248 to 373671.682, 1


Plate, 1
Well, 2
Count, 239
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2542.562, 0.000 to 5085.123, 2
7627.685, 5085.123 to 10170.246, 21
12712.808, 10170.246 to 15255.369, 18
17797.931, 15255.369 to 20340.493, 26
22883.054, 20340.493 to 25425.616, 26
27968.177, 25425.616 to 30510.739, 29
33053.300, 30510.739 to 35595.862, 24
38138.423, 35595.862 to 40680.985, 17
43223.547, 40680.985 to 45766.108, 11
48308.670, 45766.108 to 50851.231, 10
53393.793, 50851.231 to 55936.354, 6
58478.916, 55936.354 to 61021.478, 8
63564.039, 61021.478 to 66106.601, 9
68649.162, 66106.601 to 71191.724, 1
73734.285, 71191.724 to 76276.847, 1
78819.409, 76276.847 to 81361.970, 7
83904.532, 81361.970 to 86447.093, 3
88989.655, 86447.093 to 91532.216, 1
94074.778, 91532.216 to 96617.340, 2
99159.901, 96617.340 to 101702.463, 3
104245.024, 101702.463 to 106787.586, 2
109330.147, 106787.586 to 111872.709, 1
114415.270, 111872.709 to 116957.832, 2
119500.394, 116957.832 to 122042.955, 1
124585.517, 122042.955 to 127128.078, 1
