Plate, 2
Well, 1
Count, 188
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.011, 0
0.016, 0.011 to 0.022, 0
0.027, 0.022 to 0.032, 0
0.038, 0.032 to 0.043, 0
0.049, 0.043 to 0.054, 0
0.059, 0.054 to 0.065, 0
0.070, 0.065 to 0.076, 0
0.081, 0.076 to 0.086, 0
0.092, 0.086 to 0.097, 0
0.103, 0.097 to 0.108, 0
0.113, 0.108 to 0.119, 0
0.124, 0.119 to 0.130, 7
0.135, 0.130 to 0.140, 13
0.146, 0.140 to 0.151, 18
0.157, 0.151 to 0.162, 31
0.167, 0.162 to 0.173, 22
0.178, 0.173 to 0.184, 18
0.189, 0.184 to 0.194, 18
0.200, 0.194 to 0.205, 13
0.211, 0.205 to 0.216, 12
0.221, 0.216 to 0.227, 6
0.232, 0.227 to 0.238, 3
0.243, 0.238 to 0.248, 1
0.254, 0.248 to 0.259, 7
0.265, 0.259 to 0.270, 4
0.275, 0.270 to 0.281, 4
0.286, 0.281 to 0.292, 2
0.297, 0.292 to 0.302, 3
0.308, 0.302 to 0.313, 0
0.319, 0.313 to 0.324, 2
0.329, 0.324 to 0.335, 1
0.340, 0.335 to 0.346, 0
0.351, 0.346 to 0.356, 0
0.362, 0.356 to 0.367, 1
0.373, 0.367 to 0.378, 0
0.383, 0.378 to 0.389, 0
0.394, 0.389 to 0.400, 1
0.405, 0.400 to 0.410, 0
0.416, 0.410 to 0.421, 0
0.427, 0.421 to 0.432, 0
0.437, 0.432 to 0.443, 0
0.448, 0.443 to 0.454, 0
0.459, 0.454 to 0.464, 0
0.470, 0.464 to 0.475, 0
0.481, 0.475 to 0.486, 0
0.492, 0.486 to 0.497, 0
0.502, 0.497 to 0.508, 0
0.513, 0.508 to 0.519, 0
0.524, 0.519 to 0.529, 0
0.535, 0.529 to 0.540, 1


Plate, 2
Well, 2
Count, 148
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.015, 0
0.019, 0.015 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.035, 0.031 to 0.038, 0
0.042, 0.038 to 0.046, 0
0.050, 0.046 to 0.054, 0
0.058, 0.054 to 0.062, 0
0.065, 0.062 to 0.069, 0
0.073, 0.069 to 0.077, 0
0.081, 0.077 to 0.085, 0
0.089, 0.085 to 0.092, 0
0.096, 0.092 to 0.100, 0
0.104, 0.100 to 0.108, 0
0.112, 0.108 to 0.115, 0
0.119, 0.115 to 0.123, 0
0.127, 0.123 to 0.131, 0
0.135, 0.131 to 0.139, 1
0.142, 0.139 to 0.146, 7
0.150, 0.146 to 0.154, 8
0.158, 0.154 to 0.162, 7
0.166, 0.162 to 0.169, 18
0.173, 0.169 to 0.177, 5
0.181, 0.177 to 0.185, 11
0.189, 0.185 to 0.192, 14
0.196, 0.192 to 0.200, 8
0.204, 0.200 to 0.208, 6
0.212, 0.208 to 0.216, 13
0.219, 0.216 to 0.223, 5
0.227, 0.223 to 0.231, 5
0.235, 0.231 to 0.239, 4
0.243, 0.239 to 0.246, 8
0.250, 0.246 to 0.254, 1
0.258, 0.254 to 0.262, 4
0.266, 0.262 to 0.269, 3
0.273, 0.269 to 0.277, 4
0.281, 0.277 to 0.285, 4
0.289, 0.285 to 0.293, 2
0.296, 0.293 to 0.300, 3
0.304, 0.300 to 0.308, 1
0.312, 0.308 to 0.316, 1
0.320, 0.316 to 0.323, 1
0.327, 0.323 to 0.331, 0
0.335, 0.331 to 0.339, 0
0.343, 0.339 to 0.346, 0
0.350, 0.346 to 0.354, 0
0.358, 0.354 to 0.362, 2
0.366, 0.362 to 0.370, 1
0.373, 0.370 to 0.377, 0
0.381, 0.377 to 0.385, 1


Plate, 2
Well, 3
Count, 100
