Plate, 2
Well, 4
Count, 74

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
646.543, 328310.163, 0.262, 85880.474, 141511029.511, 780.588, 32512.000, 19727.333
473.420, 176028.884, 0.310, 54586.542, 55557117.448, 3703.138, 8805.333, 5164.667
356.171, 99633.674, 0.301, 30013.091, 23657726.974, 2158.585, 6519.333, 18034.000
428.700, 144343.607, 0.249, 35999.593, 41253436.165, 2584.761, 15155.333, 1354.667
544.335, 232714.146, 0.211, 49198.826, 84449673.396, 2658.587, 34120.667, 17610.667
530.794, 221279.818, 0.240, 53173.205, 78302658.701, 2254.424, 29040.667, 25992.667
492.559, 190548.849, 0.240, 45659.746, 62571028.858, 1606.437, 15324.667, 4064.000
542.360, 231028.462, 0.222, 51355.443, 83533760.075, 1864.590, 17018.000, 31834.667
405.983, 129451.333, 0.298, 38590.798, 35036731.875, 1507.447, 29718.000, 23791.333
478.689, 179968.676, 0.212, 38232.284, 57432693.354, 2012.504, 9482.667, 8805.333
457.779, 164589.464, 0.218, 35860.368, 50230424.203, 455.944, 7535.333, 26585.333
566.346, 251914.759, 0.205, 51518.650, 95113950.086, 728.330, 24214.667, 4826.000
460.612, 166632.939, 0.214, 35737.811, 51168782.219, 1606.437, 13800.667, 3556.000
358.509, 100946.158, 0.247, 24967.417, 24126731.367, 1033.488, 14139.333, 33697.333
319.253, 80049.496, 0.214, 17154.257, 17037336.527, 883.946, 4572.000, 17102.667
412.299, 133510.447, 0.175, 23360.143, 36697516.686, 4254.447, 30988.000, 10752.667
412.204, 133448.963, 0.171, 22779.235, 36672169.738, 2141.916, 11430.000, 26162.000
533.085, 223194.405, 0.182, 40711.086, 79321104.960, 2372.178, 19896.667, 10498.667
422.360, 140105.811, 0.155, 21708.548, 39450092.039, 2915.780, 25569.333, 17949.333
395.150, 122634.764, 0.187, 22901.569, 32306075.380, 2645.071, 2286.000, 22182.667
595.678, 278685.046, 0.147, 41047.820, 110671118.569, 3077.258, 7789.333, 14901.333
310.326, 75635.735, 0.189, 14279.504, 15647838.367, 1545.022, 18457.333, 28871.333
426.209, 142671.012, 0.180, 25703.966, 40538475.755, 1545.022, 18203.333, 30395.333
231.907, 42239.383, 0.182, 7667.218, 6530405.526, 2645.071, 4318.000, 20489.333
453.012, 161179.221, 0.151, 24349.680, 48677400.454, 2689.416, 30141.333, 18457.333
423.626, 140946.486, 0.154, 21756.068, 39805691.931, 2012.504, 7620.000, 9567.333
239.393, 45010.249, 0.174, 7811.262, 7183414.406, 3319.322, 12784.667, 9144.000
387.364, 117849.551, 0.157, 18506.637, 30433766.252, 2409.656, 18542.000, 4148.667
239.393, 45010.249, 0.178, 7989.898, 7183414.406, 2814.450, 25823.333, 11684.000
419.583, 138268.960, 0.147, 20365.966, 38676827.646, 2777.273, 9906.000, 29887.333
386.527, 117340.805, 0.150, 17591.574, 30236909.150, 2158.585, 21251.333, 29633.333
293.189, 67512.521, 0.149, 10042.309, 13195938.543, 2915.780, 22944.667, 16679.333
498.517, 195186.469, 0.132, 25827.056, 64869173.260, 616.383, 33104.667, 20235.333
217.621, 37195.693, 0.119, 4416.559, 5396383.125, 883.946, 4826.000, 16256.000
484.912, 184677.876, 0.134, 24760.014, 59701618.557, 1949.173, 14393.333, 27855.333
223.867, 39361.483, 0.341, 13409.689, 5874500.904, 1135.923, 33528.000, 24130.000
318.009, 79427.349, 0.147, 11713.523, 16839100.993, 1019.522, 12107.333, 28194.000
489.498, 188188.161, 0.135, 25490.548, 61411859.393, 1643.929, 25569.333, 3894.667
405.473, 129125.789, 0.133, 17213.414, 34904649.428, 1780.015, 16764.000, 8636.000
217.621, 37195.693, 0.165, 6121.184, 5396383.125, 1258.660, 32596.667, 23283.333
405.983, 129451.333, 0.145, 18806.342, 35036731.875, 2893.569, 26416.000, 31580.667
262.537, 54134.167, 0.166, 9006.578, 9474820.465, 2846.110, 4318.000, 25738.667
231.907, 42239.383, 0.116, 4885.881, 6530405.526, 1100.667, 5418.667, 23114.000
509.880, 204186.006, 0.135, 27566.813, 69406918.019, 478.947, 21082.000, 1354.667
213.251, 35716.812, 0.162, 5800.430, 5077767.728, 1378.273, 19642.667, 23706.667
274.254, 59073.714, 0.154, 9092.525, 10800782.331, 1780.015, 18542.000, 8551.333
332.923, 87051.879, 0.141, 12306.391, 19321063.439, 567.961, 6604.000, 12022.667
410.971, 132651.672, 0.238, 31619.122, 36344014.284, 1033.488, 14732.000, 34544.000
532.975, 223102.017, 0.122, 27226.084, 79271859.662, 935.174, 32088.667, 25061.333
697.813, 382443.768, 0.152, 58172.642, 177916072.722, 455.944, 7958.667, 26754.667
422.360, 140105.811, 0.121, 17004.783, 39450092.039, 1292.381, 6858.000, 27686.000
403.830, 128081.720, 0.133, 17097.963, 34482165.214, 1378.273, 17610.667, 33697.333
392.592, 121052.340, 0.135, 16339.323, 31682802.033, 1019.522, 12784.667, 28956.000
221.012, 38363.968, 0.126, 4834.336, 5652610.797, 567.961, 6096.000, 11768.667
300.991, 71153.468, 0.147, 10486.514, 14277688.676, 359.210, 11430.000, 32850.667
377.262, 111783.229, 0.130, 14561.135, 28114397.055, 2409.656, 17780.000, 1862.667
463.245, 168543.160, 0.163, 27421.642, 52051170.378, 935.174, 33020.000, 25146.000
897.810, 633080.082, 0.185, 116836.496, 378923704.672, 1378.273, 16679.333, 34713.333
201.581, 31914.603, 0.143, 4548.146, 4288920.269, 1232.765, 30903.333, 24722.667
391.941, 120651.153, 0.125, 15120.599, 31525429.761, 616.383, 33274.000, 20828.000
349.174, 95757.880, 0.137, 13100.151, 22290796.335, 2039.043, 16933.333, 27516.667
286.141, 64305.607, 0.111, 7107.927, 12266963.144, 728.330, 23622.000, 4402.667
271.469, 57880.306, 0.128, 7402.628, 10475144.716, 5273.857, 17610.667, 17272.000
217.993, 37322.817, 0.138, 5153.021, 5424071.799, 2814.450, 27855.333, 13631.333
412.078, 133367.051, 0.124, 16532.633, 36638410.387, 1378.273, 20658.667, 24638.000
447.279, 157125.463, 0.111, 17413.351, 46852595.671, 1100.667, 6519.333, 23114.000
324.411, 82657.458, 0.132, 10942.387, 17876680.071, 2158.585, 22182.667, 31580.667
281.048, 62036.798, 0.133, 8246.719, 11623525.152, 359.210, 11684.000, 32596.667
220.815, 38295.598, 0.124, 4767.703, 5637506.947, 5273.857, 14054.667, 21166.667
202.970, 32355.953, 0.129, 4175.805, 4378194.922, 478.947, 20743.333, 1693.333
246.564, 47747.444, 0.124, 5944.432, 7848542.185, 1780.015, 4741.333, 14478.000
346.836, 94479.681, 0.132, 12507.440, 21845974.855, 1870.348, 23537.333, 28702.000
