Plate, 3
Well, 1
Count, 233
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5883.027, 0.000 to 11766.055, 0
17649.082, 11766.055 to 23532.110, 0
29415.137, 23532.110 to 35298.165, 4
41181.192, 35298.165 to 47064.220, 16
52947.247, 47064.220 to 58830.275, 8
64713.302, 58830.275 to 70596.330, 7
76479.357, 70596.330 to 82362.384, 8
88245.412, 82362.384 to 94128.439, 9
100011.467, 94128.439 to 105894.494, 11
111777.522, 105894.494 to 117660.549, 13
123543.577, 117660.549 to 129426.604, 15
135309.632, 129426.604 to 141192.659, 10
147075.687, 141192.659 to 152958.714, 20
158841.741, 152958.714 to 164724.769, 12
170607.796, 164724.769 to 176490.824, 13
182373.851, 176490.824 to 188256.879, 14
194139.906, 188256.879 to 200022.934, 8
205905.961, 200022.934 to 211788.989, 7
217672.016, 211788.989 to 223555.043, 4
229438.071, 223555.043 to 235321.098, 3
241204.126, 235321.098 to 247087.153, 5
252970.181, 247087.153 to 258853.208, 3
264736.236, 258853.208 to 270619.263, 5
276502.291, 270619.263 to 282385.318, 1
288268.346, 282385.318 to 294151.373, 3
300034.400, 294151.373 to 305917.428, 3
311800.455, 305917.428 to 317683.483, 4
323566.510, 317683.483 to 329449.538, 4
335332.565, 329449.538 to 341215.593, 3
347098.620, 341215.593 to 352981.648, 1
358864.675, 352981.648 to 364747.703, 3
370630.730, 364747.703 to 376513.757, 0
382396.785, 376513.757 to 388279.812, 3
394162.840, 388279.812 to 400045.867, 0
405928.895, 400045.867 to 411811.922, 2
417694.950, 411811.922 to 423577.977, 1
429461.005, 423577.977 to 435344.032, 1
441227.060, 435344.032 to 447110.087, 2
452993.114, 447110.087 to 458876.142, 1
464759.169, 458876.142 to 470642.197, 2
476525.224, 470642.197 to 482408.252, 0
488291.279, 482408.252 to 494174.307, 0
500057.334, 494174.307 to 505940.362, 0
511823.389, 505940.362 to 517706.417, 0
523589.444, 517706.417 to 529472.471, 0
535355.499, 529472.471 to 541238.526, 1
547121.554, 541238.526 to 553004.581, 1
558887.609, 553004.581 to 564770.636, 0
570653.664, 564770.636 to 576536.691, 1
582419.719, 576536.691 to 588302.746, 1


Plate, 3
Well, 2
Count, 224
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
13334.569, 0.000 to 26669.137, 0
40003.706, 26669.137 to 53338.274, 31
66672.843, 53338.274 to 80007.412, 17
93341.980, 80007.412 to 106676.549, 23
120011.117, 106676.549 to 133345.686, 23
146680.254, 133345.686 to 160014.823, 27
173349.392, 160014.823 to 186683.960, 24
200018.529, 186683.960 to 213353.097, 26
226687.666, 213353.097 to 240022.235, 17
253356.803, 240022.235 to 266691.372, 8
280025.940, 266691.372 to 293360.509, 7
306695.078, 293360.509 to 320029.646, 5
333364.215, 320029.646 to 346698.783, 5
