Plate, 4
Well, 1
Count, 85
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
39.176, 0.000 to 78.352, 0
117.528, 78.352 to 156.704, 0
195.880, 156.704 to 235.056, 0
274.232, 235.056 to 313.409, 0
352.585, 313.409 to 391.761, 0
430.937, 391.761 to 470.113, 2
509.289, 470.113 to 548.465, 4
587.641, 548.465 to 626.817, 0
665.993, 626.817 to 705.169, 2
744.345, 705.169 to 783.521, 8
822.697, 783.521 to 861.873, 2
901.049, 861.873 to 940.226, 6
979.402, 940.226 to 1018.578, 2
1057.754, 1018.578 to 1096.930, 3
1136.106, 1096.930 to 1175.282, 0
1214.458, 1175.282 to 1253.634, 2
1292.810, 1253.634 to 1331.986, 4
1371.162, 1331.986 to 1410.338, 4
1449.514, 1410.338 to 1488.690, 4
1527.866, 1488.690 to 1567.043, 1
1606.219, 1567.043 to 1645.395, 0
1684.571, 1645.395 to 1723.747, 1
1762.923, 1723.747 to 1802.099, 5
1841.275, 1802.099 to 1880.451, 0
1919.627, 1880.451 to 1958.803, 3
1997.979, 1958.803 to 2037.155, 2
2076.331, 2037.155 to 2115.507, 3
2154.683, 2115.507 to 2193.860, 3
2233.036, 2193.860 to 2272.212, 1
2311.388, 2272.212 to 2350.564, 0
2389.740, 2350.564 to 2428.916, 1
2468.092, 2428.916 to 2507.268, 2
2546.444, 2507.268 to 2585.620, 0
2624.796, 2585.620 to 2663.972, 2
2703.148, 2663.972 to 2742.324, 3
2781.501, 2742.324 to 2820.677, 4
2859.853, 2820.677 to 2899.029, 0
2938.205, 2899.029 to 2977.381, 2
3016.557, 2977.381 to 3055.733, 0
3094.909, 3055.733 to 3134.085, 0
3173.261, 3134.085 to 3212.437, 6
3251.613, 3212.437 to 3290.789, 0
3329.965, 3290.789 to 3369.141, 2
3408.318, 3369.141 to 3447.494, 0
3486.670, 3447.494 to 3525.846, 0
3565.022, 3525.846 to 3604.198, 0
3643.374, 3604.198 to 3682.550, 0
3721.726, 3682.550 to 3760.902, 0
3800.078, 3760.902 to 3839.254, 0
3878.430, 3839.254 to 3917.606, 1


Plate, 4
Well, 2
Count, 89
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
44.059, 0.000 to 88.118, 0
132.178, 88.118 to 176.237, 0
220.296, 176.237 to 264.355, 0
308.415, 264.355 to 352.474, 0
396.533, 352.474 to 440.592, 0
484.651, 440.592 to 528.711, 0
572.770, 528.711 to 616.829, 0
660.888, 616.829 to 704.947, 0
749.007, 704.947 to 793.066, 0
837.125, 793.066 to 881.184, 4
925.244, 881.184 to 969.303, 9
1013.362, 969.303 to 1057.421, 4
1101.480, 1057.421 to 1145.540, 3
1189.599, 1145.540 to 1233.658, 12
1277.717, 1233.658 to 1321.777, 3
1365.836, 1321.777 to 1409.895, 4
1453.954, 1409.895 to 1498.013, 1
1542.073, 1498.013 to 1586.132, 0
1630.191, 1586.132 to 1674.250, 0
1718.310, 1674.250 to 1762.369, 3
1806.428, 1762.369 to 1850.487, 4
1894.546, 1850.487 to 1938.606, 5
1982.665, 1938.606 to 2026.724, 1
2070.783, 2026.724 to 2114.842, 0
2158.902, 2114.842 to 2202.961, 2
2247.020, 2202.961 to 2291.079, 7
2335.139, 2291.079 to 2379.198, 1
2423.257, 2379.198 to 2467.316, 8
2511.375, 2467.316 to 2555.435, 3
2599.494, 2555.435 to 2643.553, 1
2687.612, 2643.553 to 2731.672, 0
2775.731, 2731.672 to 2819.790, 0
2863.849, 2819.790 to 2907.908, 2
2951.968, 2907.908 to 2996.027, 3
3040.086, 2996.027 to 3084.145, 0
3128.205, 3084.145 to 3172.264, 0
3216.323, 3172.264 to 3260.382, 1
3304.441, 3260.382 to 3348.501, 0
3392.560, 3348.501 to 3436.619, 1
3480.678, 3436.619 to 3524.737, 0
3568.797, 3524.737 to 3612.856, 1
3656.915, 3612.856 to 3700.974, 0
3745.034, 3700.974 to 3789.093, 1
3833.152, 3789.093 to 3877.211, 0
3921.270, 3877.211 to 3965.330, 2
