,Plate,Experiment Title,Treatment,Well,Label,Cells Plated,Mask Area (mm^2),Mask Area Total Density (OD),Count,Diameter Average (um),Diameter StdDev,Area Average (um^2),Area StdDev,Area Total (um^2),Density Average (OD),Density StdDev,Density Total (OD),Volume Average (OD*um^2),Volume StdDev,Volume Total (OD*um^2),Volume 2 Average (4/3PIr^3),Volume 2 StdDev,Volume 2  Total (4/3PIr^3),Nearest Neighbour Average (um),Nearest Neighbour StdDev,Read-date,Read-time,Plate Type,Resolution Setting,CHARM Settings File,Mask Settings File,Image File,Drug,Cell_line,Experimenter,PE,SF
0,1,PEO4 TX,0.0,1,A01,1500,905.3229927372973,14491.055239684523,233,437.4852600097656,127.96137237548828,163180.171875,100975.5234375,38020981.488912284,0.18982727825641632,0.052726536989212036,44.22975696530408,31751.03515625,23611.564453125,7397990.97878826,55956040,59370352,13037757421.79428,1063.9033203125,431.0582580566406,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,1.03878733838609
1,1,PEO4 TX,0.0078125,2,A02,1500,905.3229927372973,12962.073677219683,229,433.1365966796875,130.10067749023438,160640.234375,99669.1484375,36786615.068261206,0.174040287733078,0.055461060255765915,39.85522648800295,29262.59765625,25287.435546875,6701134.666200837,54797276,56389140,12548576412.036062,1037.716552734375,436.05438232421875,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,1.0209540793580025
2,1,PEO4 TX,0.015625,3,A03,1500,905.3229927372973,10124.896560636613,216,436.30560302734375,129.26702880859375,162634.390625,97766.875,35129028.474700995,0.1521420180797577,0.04148878529667854,32.862675816888604,24939.0546875,17252.86328125,5386835.846715274,55575072,52303592,12004215291.709597,1017.7921752929688,452.6263122558594,2020-08-02,22:10:39,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,0.9629959875167186
3,1,PEO4 TX,0.03125,4,B01,1500,905.3229927372973,14170.612457117819,151,403.54620361328125,128.64315795898438,140899.328125,93843.0,21275799.676649097,0.1856113225221634,0.04712551832199097,28.027309756708732,27538.4375,23165.63671875,4158304.00081136,45720080,51384280,6903732343.912974,1244.953857421875,656.86865234375,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,0.6732055283102986
4,1,PEO4 TX,0.0625,5,B02,1500,905.3229927372973,12706.53078400337,205,439.4712219238281,156.9024658203125,171023.0625,135017.84375,35059729.09222286,0.16965629160404205,0.0501919761300087,34.77953943291943,30260.642578125,32748.470703125,6203431.642642025,63785044,87432272,13075933841.767206,1199.7001953125,546.8544921875,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,0.9139545251894782
5,1,PEO4 TX,0.125,6,B03,1500,905.3229927372973,9739.026020262068,125,410.2677917480469,130.07199096679688,145485.890625,92719.4375,18185735.994723096,0.1539023220539093,0.05019647628068924,19.23778981827892,23726.908203125,19909.48046875,2965863.4303233777,47690384,46658400,5961297838.365497,1347.5172119140625,724.4965209960938,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics,Olaparib,PEO4,TX,0.14953333333333335,0.5572893446277306
6,2,PEO4 TX,0.25,1,A01,1500,905.3229927372973,11668.910130714874,162,415.46673583984375,130.05137634277344,148853.34375,97926.8125,24114241.35323141,0.1585647463798523,0.04219736531376839,25.68748844950155,24183.98046875,19684.0546875,3917804.9529329375,49458308,55505688,8012245673.95596,1196.7152099609375,656.7451171875,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.7222469906375388
7,2,PEO4 TX,0.5,2,A02,1500,905.3229927372973,13350.094125754193,127,392.7521057128906,123.80159759521484,133188.640625,84352.7578125,16914957.683309373,0.1835402101278305,0.049944739788770676,23.309605981103168,25562.94921875,20103.119140625,3246494.671051545,41703000,41105176,5296281217.72281,1317.947998046875,598.6182250976562,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.5662059741417743
8,2,PEO4 TX,1.0,3,A03,1500,905.3229927372973,13893.6778965891,57,368.25433349609375,103.90158081054688,114987.6328125,61171.734375,6554294.956919001,0.18529215455055237,0.03970566391944885,10.56165251844464,22219.005859375,15001.296875,1266483.3094506687,32429986,24443546,1848509216.4642348,1864.3245849609375,1221.845458984375,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.25412394115024517
9,2,PEO4 TX,2.0,4,B01,1500,905.3229927372973,11184.806762238346,27,329.97900390625,100.58953094482422,93465.84375,56577.03515625,2523577.762735854,0.1473766267299652,0.028242366388440132,3.979168959420128,13770.5302734375,9205.7412109375,371804.3164244357,24312154,21968338,656428140.2855955,3165.5712890625,2102.15625,2020-08-02,22:10:39,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.12037449843958982
10,2,PEO4 TX,4.0,5,B02,1500,905.3229927372973,12953.480579647103,11,347.015625,89.32788848876953,100844.578125,50023.6875,1109290.3636234086,0.13119231164455414,0.011469702236354351,1.4431154273812048,13448.76953125,6975.31494140625,147936.46145515091,26277906,19075338,289056963.1989254,6095.66064453125,2408.214599609375,2020-08-02,22:10:39,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.04904146232724029
11,2,PEO4 TX,0.0,6,B03,1500,905.3229927372973,15067.913020153655,220,429.5608215332031,110.37933349609375,154492.609375,76480.4765625,33988372.561606996,0.19521044194698334,0.050526123493909836,42.946298032937136,30883.982421875,19997.9140625,6794476.223451624,49783512,36851664,10952372267.66062,1129.6165771484375,470.554931640625,2020-08-02,22:10:39,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate2_2\Plate2.ics,Olaparib,PEO4,TX,0.14953333333333335,0.9808292465448059
0,1,PEO4 TX,0.0,1,A01,1500,900.8132961733297,14854.942215686242,251,458.6929626464844,143.6459503173828,181453.203125,114710.421875,45544752.61371885,0.20912781357765198,0.0637345090508461,52.49108116922223,40379.58203125,35618.72265625,10135274.790905522,66211324,66407068,16619042510.268559,1052.205322265625,481.8336181640625,2020-08-02,21:36:26,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,1.119037004012483
1,1,PEO4 TX,0.0078125,2,A02,1500,900.8132961733297,12527.549609699137,213,463.87530517578125,150.8511505126953,186874.78125,153654.640625,39804329.37937064,0.16412003338336945,0.04999443516135216,34.957565599717505,31928.3046875,32296.01953125,6800728.714873439,72168528,139936336,15371896476.487816,1118.283203125,558.23388671875,2020-08-02,21:36:26,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,0.949621043245653
2,1,PEO4 TX,0.015625,3,A03,1500,900.8132961733297,9775.101827060445,165,433.910888671875,134.97616577148438,162182.546875,104208.1875,26760120.839206703,0.150117889046669,0.060154594480991364,24.769451045164722,26324.701171875,28516.025390625,4343575.75158565,56064928,58607912,9250713324.043959,1139.0418701171875,570.1242065429688,2020-08-02,21:36:26,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,0.7356219349086044
3,1,PEO4 TX,0.03125,4,B01,1500,900.8132961733297,13878.62395907801,128,433.9629211425781,189.02427673339844,175971.59375,208703.75,22524364.97086092,0.19365213811397552,0.055933959782123566,24.787474218108397,36519.26953125,48002.19921875,4674466.622311842,75917016,185623104,9717378488.024523,1374.8447265625,681.6422119140625,2020-08-02,21:36:26,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,0.5706642888987962
4,1,PEO4 TX,0.0625,5,B02,1500,900.8132961733297,12066.006159655713,125,417.8925476074219,123.97782135009766,149229.3125,84320.015625,18653664.87593786,0.161982923746109,0.04144575819373131,20.247866294413623,25079.02734375,18256.9765625,3134878.4801927404,48436100,40126240,6054512544.096599,1313.4559326171875,643.5714721679688,2020-08-02,21:36:26,6-Well,300,PEO4_300.charm,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,0.5572893446277306
5,1,PEO4 TX,0.125,6,B03,1500,900.8132961733297,9387.314807714396,111,403.0479431152344,182.42849731445312,153724.265625,186815.34375,17063393.10400337,0.13855616748332977,0.040272053331136703,15.379735211661574,21903.296875,29632.43359375,2431266.042478466,62768108,158554800,6967260000.753023,1363.4532470703125,753.0564575195312,2020-08-02,21:36:26,6-Well,300,unsaved settings,Tao_PEO1.mask,C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-20\Plate1\Plate1.ics,Rucaparib,PEO4,TX,0.14953333333333335,0.4948729380294248
